"","Acacia.melanoceras","Acalypha.diversifolia","Acalypha.macrostachya","Adelia.triloba","Aegiphila.panamensis","Alchornea.costaricensis","Alchornea.latifolia","Allophylus.psilospermus","Alseis.blackiana","Amaioua.corymbosa","Anacardium.excelsum","Andira.inermis","Annona.spraguei","Apeiba.aspera","Apeiba.tibourbou","Aspidosperma.cruenta","Astrocaryum.standleyanum","Astronium.graveolens","Attalea.butyracea","Banara.guianensis","Beilschmiedia.pendula","Brosimum.alicastrum","Calophyllum.longifolium","Casearia.aculeata","Casearia.arborea","Casearia.commersoniana","Casearia.guianensis","Casearia.sylvestris","Cassipourea.elliptica","Cavanillesia.platanifolia","Cecropia.insignis","Cecropia.obtusifolia","Cedrela.odorata","Ceiba.pentandra","Celtis.schippii","Cespedezia.macrophylla","Chamguava.schippii","Chimarrhis.parviflora","Chrysochlamys.eclipes","Chrysophyllum.argenteum","Chrysophyllum.cainito","Coccoloba.coronata","Coccoloba.manzanillensis","Cordia.alliodora","Cordia.bicolor","Cordia.lasiocalyx","Coussarea.curvigemmia","Croton.billbergianus","Cupania.latifolia","Cupania.rufescens","Cupania.sylvatica","Dendropanax.arboreus","Desmopsis.panamensis","Diospyros.artanthifolia","Dipteryx.panamensis","Drypetes.standleyi","Elaeis.oleifera","Enterolobium.schomburgkii","Erythrina.costaricensis","Erythroxylum.macrophyllum","Eugenia.coloradensis","Eugenia.galalonensis","Eugenia.nesiotica","Eugenia.oerstedeana","Faramea.occidentalis","Ficus.costaricana","Ficus.insipida","Ficus.maxima","Ficus.obtusifolia","Ficus.popenoei","Ficus.tonduzii","Ficus.trigonata","Ficus.yoponensis","Garcinia.intermedia","Garcinia.madruno","Genipa.americana","Guapira.standleyana","Guarea.fuzzy","Guarea.grandifolia","Guarea.guidonia","Guatteria.dumetorum","Guazuma.ulmifolia","Guettarda.foliacea","Gustavia.superba","Hampea.appendiculata","Hasseltia.floribunda","Heisteria.acuminata","Heisteria.concinna","Hirtella.americana","Hirtella.triandra","Hura.crepitans","Hyeronima.alchorneoides","Inga.acuminata","Inga.cocleensis","Inga.goldmanii","Inga.laurina","Inga.marginata","Inga.nobilis","Inga.oerstediana","Inga.pezizifera","Inga.punctata","Inga.ruiziana","Inga.sapindoides","Inga.spectabilis","Inga.umbellifera","Jacaranda.copaia","Lacistema.aggregatum","Lacmellea.panamensis","Laetia.procera","Laetia.thamnia","Lafoensia.punicifolia","Licania.hypoleuca","Licania.platypus","Lindackeria.laurina","Lonchocarpus.latifolius","Luehea.seemannii","Macrocnemum.roseum","Maquira.costaricana","Margaritaria.nobilis","Marila.laxiflora","Maytenus.schippii","Miconia.affinis","Miconia.argentea","Miconia.elata","Miconia.hondurensis","Mosannona.garwoodii","Myrcia.gatunensis","Myrospermum.frutescens","Nectandra.cissiflora","Nectandra.lineata","Nectandra.purpurea","Ochroma.pyramidale","Ocotea.cernua","Ocotea.oblonga","Ocotea.puberula","Ocotea.whitei","Oenocarpus.mapora","Ormosia.amazonica","Ormosia.coccinea","Ormosia.macrocalyx","Pachira.quinata","Pachira.sessilis","Perebea.xanthochyma","Phoebe.cinnamomifolia","Picramnia.latifolia","Piper.reticulatum","Platymiscium.pinnatum","Platypodium.elegans","Posoqueria.latifolia","Poulsenia.armata","Pourouma.bicolor","Pouteria.fossicola","Pouteria.reticulata","Pouteria.stipitata","Prioria.copaifera","Protium.costaricense","Protium.panamense","Protium.tenuifolium","Pseudobombax.septenatum","Psidium.friedrichsthalianum","Psychotria.grandis","Pterocarpus.rohrii","Quararibea.asterolepis","Quassia.amara","Randia.armata","Sapium.broadleaf","Sapium.glandulosum","Schizolobium.parahyba","Simarouba.amara","Siparuna.guianensis","Siparuna.pauciflora","Sloanea.terniflora","Socratea.exorrhiza","Solanum.hayesii","Sorocea.affinis","Spachea.membranacea","Spondias.mombin","Spondias.radlkoferi","Sterculia.apetala","Swartzia.simplex.var.grandiflora","Swartzia.simplex.var.ochnacea","Symphonia.globulifera","Tabebuia.guayacan","Tabebuia.rosea","Tabernaemontana.arborea","Tachigali.versicolor","Talisia.nervosa","Talisia.princeps","Terminalia.amazonia","Terminalia.oblonga","Tetragastris.panamensis","Tetrathylacium.johansenii","Theobroma.cacao","Thevetia.ahouai","Tocoyena.pittieri","Trattinnickia.aspera","Trema.micrantha","Trichanthera.gigantea","Trichilia.pallida","Trichilia.tuberculata","Triplaris.cumingiana","Trophis.caucana","Trophis.racemosa","Turpinia.occidentalis","Unonopsis.pittieri","Virola.multiflora","Virola.sebifera","Virola.surinamensis","Vochysia.ferruginea","Xylopia.macrantha","Zanthoxylum.ekmanii","Zanthoxylum.juniperinum","Zanthoxylum.panamense","Zanthoxylum.setulosum","Zuelania.guidonia"
"1",0,0,1,0,1,2,0,0,25,0,0,0,0,16,3,0,0,5,0,0,5,6,0,0,1,0,0,1,0,0,95,0,0,0,0,0,0,0,0,5,0,0,0,3,8,8,0,5,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,2,19,0,0,0,1,0,0,0,1,0,4,0,3,1,0,2,6,69,0,2,0,5,0,6,0,24,0,0,1,3,1,0,0,0,0,0,2,0,1,0,0,3,0,1,0,0,0,1,0,0,7,79,0,5,0,1,2,0,3,0,1,0,1,0,0,0,2,0,0,0,0,1,26,0,0,0,0,0,0,0,1,0,5,4,84,22,6,0,4,0,10,5,1,6,0,0,0,2,10,0,0,0,0,2,18,1,0,0,18,0,4,0,2,0,0,5,2,0,0,1,6,5,0,0,2,0,5,0,0,0,0,3,0,0,0,15,84,1,2,0,1,0,14,5,0,2,3,0,1,0,0
"2",0,0,1,0,0,1,0,0,21,0,0,0,0,16,1,0,0,0,2,0,1,3,0,0,2,1,1,0,0,0,75,0,0,2,0,0,1,0,0,3,0,0,0,3,14,4,0,3,0,0,2,3,0,1,0,2,2,0,0,0,3,0,0,2,34,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,16,73,5,4,0,5,0,5,0,13,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,9,1,0,2,1,0,1,2,0,6,88,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,24,0,1,0,0,0,2,0,0,1,2,3,79,23,2,1,8,0,9,7,0,6,1,0,0,0,12,0,1,0,0,0,5,1,0,0,26,1,0,0,0,0,1,0,6,0,0,4,6,3,0,0,0,0,5,0,1,0,0,0,0,0,1,23,79,0,3,1,4,0,10,5,0,0,2,1,2,0,0
"3",0,0,0,0,0,1,0,0,16,0,0,0,1,5,1,0,0,2,0,0,6,6,0,0,0,0,0,0,1,1,88,0,0,0,0,0,0,0,0,1,0,0,0,5,37,10,0,0,0,0,1,8,7,0,4,1,1,0,0,0,0,1,3,7,35,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,8,67,1,0,1,5,0,5,0,5,0,0,0,3,0,0,2,1,0,0,1,0,3,0,0,9,0,0,3,0,0,0,0,0,1,75,0,6,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,3,0,1,14,0,0,0,0,0,0,3,1,0,10,4,89,28,0,0,2,2,21,1,1,3,0,0,1,0,15,0,2,0,0,0,24,1,3,3,39,1,1,0,0,0,0,0,3,1,1,1,4,1,0,0,0,0,8,1,0,1,0,0,1,0,2,21,94,0,0,2,18,0,10,2,0,0,4,0,2,0,0
"4",0,1,1,0,0,23,0,0,19,0,0,0,0,1,0,0,0,2,0,0,5,2,2,1,2,0,0,0,1,0,95,0,2,0,1,0,0,0,0,1,1,0,0,7,22,11,1,10,1,0,0,0,0,5,0,1,0,0,0,0,7,0,0,1,43,0,1,0,0,0,2,0,0,2,0,0,2,0,0,5,2,77,0,0,0,12,0,12,0,4,0,0,0,7,0,0,2,3,0,0,0,0,1,1,0,2,2,5,0,0,0,0,0,0,6,84,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,25,0,1,0,0,0,0,0,0,1,1,0,96,18,0,1,6,0,6,3,8,8,0,0,0,2,21,0,5,0,0,0,12,5,0,1,11,1,0,1,2,3,0,2,4,3,0,3,12,5,0,0,0,0,8,0,0,0,1,0,2,1,1,27,84,1,0,3,2,0,12,2,0,1,17,2,4,0,1
"5",0,0,0,2,1,3,0,2,19,0,0,2,0,5,0,1,3,0,0,0,11,3,0,0,5,1,0,0,4,0,101,3,0,2,3,0,0,0,1,6,1,1,0,1,10,6,0,5,0,0,4,8,0,0,0,0,0,0,0,0,1,0,0,4,21,0,0,1,0,0,2,0,0,1,0,0,2,3,0,0,7,72,1,2,0,8,1,6,0,6,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,4,1,1,0,0,0,0,0,0,3,85,0,15,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,9,20,0,0,0,0,0,1,0,0,1,2,0,81,20,1,0,8,0,1,10,0,3,0,1,1,3,9,0,0,0,3,0,8,0,2,2,58,0,0,1,2,8,0,1,1,3,1,2,13,0,0,0,2,0,9,1,1,0,0,0,1,0,0,14,71,2,0,3,5,0,31,6,0,1,3,0,4,0,0
"6",0,0,0,1,0,0,2,0,12,0,1,2,0,13,0,0,2,2,1,0,11,4,0,0,0,0,1,2,3,0,93,0,0,0,0,0,0,0,0,1,1,0,0,2,4,4,3,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,1,3,14,0,0,0,0,0,0,0,2,0,0,0,4,0,0,4,6,93,0,2,0,4,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,2,72,0,5,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,2,3,19,1,0,0,0,0,0,0,0,0,1,2,74,13,0,0,2,0,18,1,3,3,0,0,0,3,3,0,7,1,0,3,3,2,0,1,49,0,0,1,0,1,0,12,7,0,2,0,10,0,0,1,1,0,20,0,0,0,0,0,0,0,0,38,87,0,0,2,5,2,25,2,0,1,2,0,3,0,2
"7",0,0,0,0,0,0,0,1,15,0,0,0,1,6,0,0,2,2,0,0,4,7,4,0,0,0,1,0,6,0,81,0,0,0,0,0,1,0,0,1,0,0,0,3,8,7,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,5,0,30,0,0,1,0,2,0,0,1,4,0,1,3,0,0,5,9,67,0,7,0,3,0,2,0,8,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,4,0,0,0,0,0,1,4,83,0,4,0,0,3,1,0,0,0,2,0,0,1,0,1,2,3,0,0,0,15,0,0,1,1,0,0,3,1,0,6,2,81,8,0,0,5,0,19,0,0,8,0,0,0,0,24,0,18,0,0,0,14,1,0,0,24,0,0,0,0,3,1,11,3,0,0,1,9,3,0,0,0,0,14,0,0,0,0,0,0,0,1,17,73,0,3,0,2,0,17,0,0,0,3,0,1,0,0
"8",0,0,1,0,0,0,0,0,11,0,2,0,3,3,1,0,0,1,0,0,9,8,0,1,0,0,1,0,0,0,92,1,0,2,0,1,0,0,0,3,0,2,3,0,10,1,0,6,0,0,0,4,0,0,5,0,0,0,0,0,1,2,2,5,47,0,0,0,0,0,0,0,0,1,0,0,2,3,1,0,7,79,2,3,0,5,0,7,1,8,0,0,0,9,1,0,3,2,0,0,0,0,0,0,1,7,0,4,0,1,0,1,0,0,1,76,0,2,1,0,1,1,1,0,0,0,0,0,4,1,0,4,0,0,2,1,24,0,0,0,0,0,0,0,1,0,0,3,77,18,1,0,4,0,5,0,1,7,0,0,0,2,6,0,5,1,0,0,15,0,0,3,23,0,0,1,1,0,0,5,0,0,0,0,2,0,0,0,0,0,11,0,1,0,0,7,0,0,0,31,79,0,0,0,1,0,26,0,0,0,3,0,2,0,0
"9",1,1,0,4,0,3,0,0,19,0,1,0,2,3,0,0,2,0,0,0,13,5,2,0,8,1,0,1,1,1,90,0,0,0,0,0,0,0,0,2,0,2,0,1,9,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,5,30,0,0,0,0,0,0,0,0,1,0,4,1,0,1,1,4,89,1,5,4,5,0,0,0,8,0,2,0,4,0,0,2,2,0,0,0,1,1,0,1,4,0,0,0,2,0,0,0,2,4,92,2,5,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,1,0,1,27,0,0,0,0,0,7,4,1,1,2,0,69,5,1,0,0,0,1,3,0,2,0,0,0,0,2,0,3,0,0,0,17,0,0,1,16,0,0,1,0,0,0,4,0,0,0,0,16,4,0,0,0,0,3,0,0,0,0,3,0,0,0,61,83,1,0,2,2,0,16,0,1,0,9,1,4,0,0
"10",0,0,0,0,0,1,0,0,12,1,0,0,1,7,0,0,1,0,0,0,17,7,0,1,5,0,0,2,0,0,103,4,0,2,0,0,0,0,0,1,0,0,0,2,15,6,2,0,0,0,0,4,1,1,2,0,0,0,0,0,2,0,0,6,50,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,2,77,2,4,2,4,0,4,0,4,0,1,1,5,3,0,1,3,0,0,0,0,1,1,3,10,4,0,0,1,0,3,0,1,5,75,0,4,0,0,2,1,1,0,0,3,0,0,1,1,0,0,0,2,1,5,25,0,0,0,0,0,7,2,1,0,0,0,85,25,0,0,1,0,5,5,1,3,0,0,0,0,17,0,0,0,0,0,19,0,0,5,4,3,3,0,1,0,0,0,0,0,0,1,13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,52,86,0,5,2,10,2,17,0,0,4,6,13,5,0,0
