"","Acalypha.macrostachya","Annona.spraguei","Simarouba.amara","Elaeis.oleifera","Virola.multiflora","Ficus.colubrinae","Acacia.melanoceras","Aegiphila.panamensis","Jacaranda.copaia","Cupania.latifolia","Maquira.costaricana","Zanthoxylum.setulosum","Cordia.lasiocalyx","Lacistema.aggregatum","Garcinia.madruno","Abarema.macradenium","Casearia.sylvestris","Apeiba.tibourbou","Senna.dariensis","Guatteria.dumetorum","Beilschmiedia.pendula","Siparuna.guianensis","Guazuma.ulmifolia","Cedrela.odorata","Erythrina.costaricensis","Inga.ruiziana","Lacmellea.panamensis","Vochysia.ferruginea","Trattinnickia.aspera","Pouteria.reticulata","Chimarrhis.parviflora","Cupania.rufescens","Schizolobium.parahyba","Garcinia.intermedia","Alseis.blackiana","Heisteria.acuminata","Eugenia.galalonensis","Ficus.maxima","Cordia.alliodora","Inga.acuminata","Brosimum.guianense","Hasseltia.floribunda","Protium.panamense","Ceiba.pentandra","Genipa.americana","Cupania.sylvatica","Solanum.hayesii","Brosimum.alicastrum","Casearia.commersoniana","Ocotea.oblonga","Ormosia.amazonica","Calophyllum.longifolium","Talisia.nervosa","Pterocarpus.rohrii","Hirtella.americana","Celtis.schippii","Margaritaria.nobilis","Miconia.affinis","Miconia.hondurensis","Spachea.membranacea","Inga.marginata","Dripetes.standleyi","Ficus.yoponensis","Miconia.argentea","Virola.sebifera","Thevetia.aouai","Pouteria.fossicola","Chamguava.schippii","Zanthoxylum.ekmanii","Heisteria.concinna","Eugenia.coloradensis","Theobroma.cacao","Pouteria.stipitata","Andira.inermis","Hyeronima.alchorneoides","Tachigali.versicolor","Eugenia.oerstedeana","Ficus.costaricana","Ormosia.coccinea","Swartzia.simplex.var.ochnacea","Oenocarpus.mapora","Psychotria.grandis","Hampea.appendiculata","Cecropia.insignis","Socratea.exorrhiza","Trema.micrantha","Ficus.tonduzii","Triplaris.cumingiana","Hura.crepitans","Licania.platypus","Lindackeria.laurina","Tetragastris.panamensis","Maytenus.schippii","Coccoloba.manzanillensis","Alchornea.latifolia","Phoebe.cinnamomifolia","Chrysochlamys.eclipes","Vismia.baccifera","Ficus.popenoei","Licania.hypoleuca","Spondias.radlkoferi","Zuelania.guidonia","Ficus.obtusifolia","Virola.surinamensis","Chrysophyllum.cainito","Pseudobombax.septenatum","Trichospermum.galeottii","Adelia.triloba","Protium.tenuifolium","Sterculia.apetala","Inga.laurina","Tocoyena.pittieri","Quassia.amara","Trichilia.tuberculata","Coccoloba.coronata","Ormosia.macrocalyx","Randia.armata","Faramea.occidentalis","Picramnia.latifolia","Ocotea.cernua","Cordia.bicolor","Gustavia.superba","Inga.spectabilis","Terminalia.oblonga","Eugenia.nesiotica","Casearia.guianensis","Cassipourea.elliptica","Desmopsis.panamensis","Astronium.graveolens","Alibertia.edulis","Luehea.seemannii","Cavanillesia.platanifolia","Unonopsis.pittieri","Turpinia.occidentalis","Terminalia.amazonia","Alchornea.costaricensis","Inga.goldmanii","Macrocnemum.roseum","Trichilia.pallida","Psidium.friedrichsthalianum","Astrocaryum.standleyanum","Cecropia.obtusifolia","Nectandra.cissiflora","Laetia.procera","Diospyros.artanthifolia","Myrcia.gatunensis","Trophis.caucana","Trichanthera.gigantea","Dendropanax.arboreus","Zanthoxylum.panamense","Croton.billbergianus","Ficus.insipida","Miconia.elata","Poulsenia.armata","Nectandra.purpurea","Apeiba.aspera","Sloanea.terniflora","Xylopia.macrantha","Protium.costaricense","Myrospermum.frutescens","Prioria.copaifera","Tabebuia.rosea","Piper.reticulatum","Cupania.cinerea","Chrysophyllum.argenteum","Lafoensia.punicifolia","Platymiscium.pinnatum","Guapira.standleyana","Inga.umbellifera","Tabernaemontana.arborea","Allophylus.psilospermus","Talisia.princeps","Erythroxylum.macrophyllum","Pachira.sessilis","Attalea.butyracea","Amaioua.corymbosa","Acalypha.diversifolia","Ochroma.pyramidale","Enterolobium.schomburgkii","Casearia.arborea","Chlorophora.tinctoria","Quararibea.asterolepis","Dipteryx.panamensis","Ficus.trigonata","Inga.punctata","Inga.nobilis","Cespedezia.macrophylla","Inga.sapindoides","Ocotea.whitei","Tabebuia.guayacan","Zanthoxylum.juniperinum","Pachira.quinata","Inga.oerstediana","Anacardium.excelsum","Inga.cocleensis","Marila.laxiflora","Sorocea.affinis","Hirtella.triandra","Guarea.guidonia","Laetia.thamnia","Coussarea.curvigemmia","Sapium.glandulosum","Symphonia.globulifera","Trophis.racemosa","Casearia.aculeata","Posoqueria.latifolia","Lonchocarpus.latifolius","Guarea.grandifolia","Aspidosperma.cruenta","Mosannona.garwoodii","Platypodium.elegans","Colubrina.glandulosa","Banara.guianensis","Spondias.mombin","Swartzia.simplex.var.grandiflora","Inga.pezizifera","Siparuna.pauciflora","Tetrathylacium.johansenii","Ocotea.puberula","Guettarda.foliacea","Guarea.fuzzy","Sapium.broadleaf","Perebea.xanthochyma","Pourouma.bicolor","Nectandra.lineata"
"1",1,3,16,0,0,0,0,0,6,0,4,0,10,0,5,0,5,3,0,3,4,2,10,0,0,0,0,0,6,5,0,0,0,1,27,0,0,0,1,0,0,8,3,0,0,2,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,12,0,0,0,2,3,1,1,0,0,0,14,6,0,0,1,28,0,2,27,22,0,0,10,0,0,0,4,3,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,7,5,0,0,0,14,0,1,4,13,0,0,10,5,0,0,0,0,0,0,8,0,12,0,2,0,0,3,0,0,0,1,0,0,0,0,3,0,3,0,0,1,3,0,0,27,0,6,0,1,2,1,6,1,0,0,5,0,1,0,0,8,1,2,0,0,0,0,0,0,0,0,0,9,3,0,3,0,0,0,0,2,0,0,0,0,2,2,1,20,3,1,0,0,0,2,0,11,6,0,0,1,0,0,0,1,2,0,0,1,0,0,3,1,0,5,0
"2",0,0,6,1,0,0,0,0,9,0,1,0,4,0,0,0,1,0,0,7,6,2,9,0,0,0,0,0,2,10,0,0,0,0,30,0,0,0,2,0,0,6,0,1,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,15,0,0,0,9,4,0,0,0,0,2,2,4,0,0,4,21,0,0,18,27,1,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,1,0,31,1,0,1,46,0,0,14,5,3,0,0,0,0,0,0,0,13,0,6,2,0,1,0,0,0,0,1,0,1,0,3,0,0,0,4,1,1,0,0,13,1,15,2,0,1,1,14,0,0,0,2,0,4,0,0,4,0,0,1,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,14,7,3,0,0,0,3,0,10,4,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,3,0
"3",0,0,14,0,0,0,0,0,7,1,10,0,6,0,0,0,0,1,0,5,6,1,12,0,0,0,0,0,1,5,0,0,0,1,19,0,0,0,3,0,1,1,0,1,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,15,0,0,0,5,8,0,0,0,0,0,1,8,0,0,0,15,0,2,17,30,0,0,12,0,0,0,6,0,0,0,3,0,0,0,1,3,0,0,4,0,0,0,0,3,0,0,0,0,29,0,0,2,40,1,0,41,0,0,0,0,1,2,5,0,0,12,0,13,1,0,1,2,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,29,0,7,1,0,2,0,11,1,0,0,1,0,3,0,0,10,0,0,0,1,0,0,0,0,1,3,0,11,2,1,0,2,0,6,2,1,4,0,0,0,7,0,0,4,1,1,1,1,0,0,0,17,2,1,0,0,5,1,0,0,0,0,2,0,0,4,0,0,0,0,0
"4",0,1,5,0,0,1,0,0,4,0,5,0,12,1,0,0,0,1,0,6,10,1,12,0,0,0,0,0,0,6,0,0,0,2,25,0,0,1,1,0,0,8,1,0,0,0,0,6,0,3,0,2,0,4,0,2,0,1,1,0,6,0,0,0,14,0,0,0,11,7,10,1,0,1,1,3,1,0,0,2,26,0,0,31,10,1,2,8,1,1,0,15,3,0,0,0,0,0,0,0,2,0,0,3,1,0,0,2,5,0,0,0,0,27,1,0,6,34,1,1,18,2,2,0,1,0,2,0,1,0,6,0,2,6,0,18,1,1,1,0,8,1,2,0,1,1,0,0,0,4,13,0,0,15,0,6,2,0,2,0,5,3,0,0,1,0,2,1,0,6,1,0,0,1,0,1,1,0,0,1,1,12,0,0,0,3,0,0,1,0,1,0,0,0,4,0,2,4,9,0,2,0,0,0,0,9,7,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0
"5",0,1,9,0,0,0,0,1,5,1,9,0,5,0,3,0,1,0,1,7,10,0,7,0,0,0,1,0,2,1,0,0,0,1,11,3,0,0,1,0,0,13,1,2,2,2,2,1,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,29,0,0,0,3,4,2,2,0,0,0,0,1,0,0,0,16,0,0,28,55,0,0,9,0,0,0,5,1,0,0,0,0,0,0,4,6,0,0,7,1,0,0,2,7,1,1,0,0,15,3,0,0,23,0,0,14,2,0,0,0,0,2,0,0,0,14,0,4,0,1,4,3,0,0,0,4,2,1,2,0,0,5,0,4,2,4,0,1,28,0,6,3,0,6,0,4,4,1,0,5,0,0,0,1,19,3,0,1,0,0,0,0,0,0,6,0,7,0,0,0,0,1,0,13,0,0,1,2,0,0,0,0,8,7,0,0,3,3,0,0,10,0,0,2,0,0,0,0,1,3,0,1,0,0,2,4,0,2,0,1
"6",0,0,4,0,4,0,0,0,6,0,6,0,9,2,0,0,7,0,0,3,7,0,8,0,2,0,0,0,1,3,0,0,2,1,17,1,0,0,2,0,0,2,2,0,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,2,9,1,0,3,0,0,1,1,0,0,10,23,0,0,17,49,1,0,8,4,0,0,17,1,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,1,2,0,1,0,35,0,0,20,16,0,1,10,0,0,0,0,0,1,0,1,0,12,0,4,2,1,2,2,1,0,0,5,0,0,1,0,0,0,0,2,3,0,0,0,14,1,15,3,0,0,5,25,1,2,0,3,0,0,4,0,6,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,3,2,0,0,0,1,0,0,2,7,3,0,1,0,0,0,0,4,1,0,0,0,5,0,0,1,7,0,0,0,0,0,0,0,0,0,1
"7",0,0,9,0,0,0,0,1,2,0,3,0,7,2,0,1,1,0,0,7,4,2,9,0,0,0,2,0,0,5,0,1,0,1,19,0,0,1,2,0,0,5,0,0,0,2,0,9,0,0,0,1,0,2,0,1,0,0,1,0,0,0,1,1,9,0,0,0,1,1,0,0,0,0,0,2,2,0,1,10,25,0,0,11,22,0,0,7,2,1,2,6,1,0,0,3,0,1,1,0,8,0,0,0,0,1,0,0,1,1,0,0,0,19,0,0,10,34,0,0,6,5,0,0,4,0,4,0,2,0,15,0,5,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,2,11,0,0,0,0,16,1,0,0,5,0,4,2,0,9,0,0,0,1,3,0,0,0,0,1,1,21,0,1,0,4,0,1,0,0,0,1,0,0,1,0,0,8,4,0,3,0,0,0,0,11,7,0,0,0,1,0,0,0,9,0,1,0,0,0,0,0,0,1,0
"8",0,1,18,0,0,0,0,0,6,1,3,0,2,1,0,1,0,1,0,5,13,0,16,0,0,0,1,0,1,2,0,0,0,2,11,0,1,0,0,0,0,7,0,3,0,2,0,2,0,0,0,3,1,2,0,0,0,0,0,0,5,0,0,4,26,0,0,0,4,3,0,0,0,0,0,0,0,0,1,1,16,0,0,18,27,0,0,9,0,0,0,6,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,1,0,39,3,0,4,39,2,0,12,5,0,0,5,0,0,0,2,0,13,1,2,0,0,3,1,0,0,0,0,5,2,0,0,1,0,0,8,5,6,0,0,15,0,3,5,0,0,0,5,0,0,0,1,1,0,0,3,12,1,0,1,0,0,1,0,3,0,3,0,9,2,0,0,3,0,0,0,0,0,0,0,0,5,0,0,22,0,1,0,0,0,0,2,10,1,2,0,0,2,1,0,1,4,0,0,0,1,5,5,0,0,0,0
"9",0,3,9,0,0,0,0,0,3,1,9,0,1,0,0,0,1,1,0,4,14,0,6,0,0,0,0,0,2,3,0,0,1,0,16,0,1,0,0,0,0,3,0,0,0,1,0,5,2,0,0,5,0,1,0,1,0,0,0,0,1,0,0,0,8,0,0,1,9,0,2,1,0,2,1,2,1,0,0,0,19,0,0,12,16,0,0,12,0,0,2,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,5,3,0,0,0,0,68,3,0,7,38,0,0,12,6,0,1,5,0,2,0,0,0,6,0,8,2,0,4,1,0,0,0,2,0,5,0,0,1,1,0,1,4,3,0,0,8,0,2,4,0,4,0,4,0,0,0,1,0,1,1,1,9,0,0,4,0,0,0,0,0,0,7,0,1,0,0,0,1,0,1,1,0,1,0,0,0,3,0,0,5,0,2,1,1,0,0,0,13,2,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,7,0,0
"10",0,0,12,1,1,0,0,1,8,0,3,0,6,3,1,0,3,0,0,2,17,1,4,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,1,1,0,4,1,3,0,1,3,5,0,0,0,0,0,0,0,1,0,3,0,0,3,0,1,0,8,1,0,0,10,7,2,0,0,1,0,0,2,0,0,0,24,0,0,30,16,0,0,11,0,0,2,2,0,0,1,1,0,0,0,3,2,0,0,3,0,0,0,0,8,0,0,0,0,49,2,0,1,47,0,1,11,5,0,0,0,0,3,1,0,0,10,0,8,0,0,1,0,0,0,1,1,1,7,0,0,0,0,0,2,7,0,0,0,25,0,3,4,6,3,0,3,0,0,0,3,0,0,1,1,8,0,0,0,0,0,0,0,0,0,3,0,14,3,0,0,3,0,0,7,0,15,0,0,1,3,0,1,2,7,4,1,0,0,4,0,10,0,0,1,1,0,0,1,3,0,0,2,0,2,2,4,0,3,0,0
