"","Abarema.macradenium","Acacia.melanoceras","Acalypha.diversifolia","Acalypha.macrostachya","Adelia.triloba","Aegiphila.panamensis","Alchornea.costaricensis","Alchornea.latifolia","Allophylus.psilospermus","Alseis.blackiana","Amaioua.corymbosa","Anacardium.excelsum","Andira.inermis","Annona.spraguei","Apeiba.aspera","Apeiba.tibourbou","Aspidosperma.cruenta","Astrocaryum.standleyanum","Astronium.graveolens","Attalea.butyracea","Banara.guianensis","Beilschmiedia.pendula","Brosimum.alicastrum","Brosimum.guianense","Calophyllum.longifolium","Casearia.aculeata","Casearia.arborea","Casearia.commersoniana","Casearia.guianensis","Casearia.sylvestris","Cassipourea.elliptica","Cavanillesia.platanifolia","Cecropia.insignis","Cecropia.obtusifolia","Cedrela.odorata","Ceiba.pentandra","Celtis.schippii","Cespedezia.macrophylla","Chamguava.schippii","Chimarrhis.parviflora","Chlorophora.tinctoria","Chrysochlamys.eclipes","Chrysophyllum.argenteum","Chrysophyllum.cainito","Coccoloba.coronata","Coccoloba.manzanillensis","Cordia.alliodora","Cordia.bicolor","Cordia.lasiocalyx","Coussarea.curvigemmia","Croton.billbergianus","Cupania.cinerea","Cupania.latifolia","Cupania.rufescens","Cupania.sylvatica","Dendropanax.arboreus","Desmopsis.panamensis","Diospyros.artanthifolia","Dipteryx.panamensis","Drypetes.standleyi","Elaeis.oleifera","Enterolobium.schomburgkii","Erythrina.costaricensis","Erythroxylum.macrophyllum","Eugenia.coloradensis","Eugenia.galalonensis","Eugenia.nesiotica","Eugenia.oerstedeana","Faramea.occidentalis","Ficus.costaricana","Ficus.insipida","Ficus.maxima","Ficus.obtusifolia","Ficus.popenoei","Ficus.tonduzii","Ficus.trigonata","Ficus.yoponensis","Garcinia.intermedia","Garcinia.madruno","Genipa.americana","Guapira.standleyana","Guarea.fuzzy","Guarea.grandifolia","Guarea.guidonia","Guatteria.dumetorum","Guazuma.ulmifolia","Guettarda.foliacea","Gustavia.superba","Hampea.appendiculata","Hasseltia.floribunda","Heisteria.acuminata","Heisteria.concinna","Hirtella.americana","Hirtella.triandra","Hura.crepitans","Hyeronima.alchorneoides","Inga.acuminata","Inga.cocleensis","Inga.goldmanii","Inga.laurina","Inga.marginata","Inga.nobilis","Inga.oerstediana","Inga.pezizifera","Inga.punctata","Inga.ruiziana","Inga.sapindoides","Inga.spectabilis","Inga.umbellifera","Jacaranda.copaia","Lacistema.aggregatum","Lacmellea.panamensis","Laetia.procera","Laetia.thamnia","Lafoensia.punicifolia","Licania.hypoleuca","Licania.platypus","Lindackeria.laurina","Lonchocarpus.latifolius","Luehea.seemannii","Macrocnemum.roseum","Maquira.costaricana","Margaritaria.nobilis","Marila.laxiflora","Maytenus.schippii","Miconia.affinis","Miconia.argentea","Miconia.elata","Miconia.hondurensis","Mosannona.garwoodii","Myrcia.gatunensis","Myrospermum.frutescens","Nectandra.cissiflora","Nectandra.lineata","Nectandra.purpurea","Ochroma.pyramidale","Ocotea.cernua","Ocotea.oblonga","Ocotea.puberula","Ocotea.whitei","Oenocarpus.mapora","Ormosia.amazonica","Ormosia.coccinea","Ormosia.macrocalyx","Pachira.quinata","Pachira.sessilis","Perebea.xanthochyma","Phoebe.cinnamomifolia","Picramnia.latifolia","Piper.reticulatum","Platymiscium.pinnatum","Platypodium.elegans","Posoqueria.latifolia","Poulsenia.armata","Pourouma.bicolor","Pouteria.fossicola","Pouteria.reticulata","Pouteria.stipitata","Prioria.copaifera","Protium.costaricense","Protium.panamense","Protium.tenuifolium","Pseudobombax.septenatum","Psidium.friedrichsthalianum","Psychotria.grandis","Pterocarpus.rohrii","Quararibea.asterolepis","Quassia.amara","Randia.armata","Sapium.broadleaf","Sapium.glandulosum","Schizolobium.parahyba","Simarouba.amara","Siparuna.guianensis","Siparuna.pauciflora","Sloanea.terniflora","Socratea.exorrhiza","Solanum.hayesii","Sorocea.affinis","Spachea.membranacea","Spondias.mombin","Spondias.radlkoferi","Sterculia.apetala","Swartzia.simplex.var.grandiflora","Swartzia.simplex.var.ochnacea","Symphonia.globulifera","Tabebuia.guayacan","Tabebuia.rosea","Tabernaemontana.arborea","Tachigali.versicolor","Talisia.nervosa","Talisia.princeps","Terminalia.amazonia","Terminalia.oblonga","Tetragastris.panamensis","Tetrathylacium.johansenii","Theobroma.cacao","Thevetia.ahouai","Tocoyena.pittieri","Trattinnickia.aspera","Trema.micrantha","Trichanthera.gigantea","Trichilia.pallida","Trichilia.tuberculata","Triplaris.cumingiana","Trophis.caucana","Trophis.racemosa","Turpinia.occidentalis","Unonopsis.pittieri","Virola.multiflora","Virola.sebifera","Virola.surinamensis","Vochysia.ferruginea","Xylopia.macrantha","Zanthoxylum.ekmanii","Zanthoxylum.juniperinum","Zanthoxylum.panamense","Zanthoxylum.setulosum","Zuelania.guidonia"
"1",0,0,0,0,1,0,3,1,0,26,1,0,0,1,19,1,0,0,3,0,0,6,6,0,0,0,4,0,0,2,2,0,61,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,12,0,1,0,0,0,3,0,0,0,1,4,0,0,0,1,0,0,0,5,14,0,0,4,0,0,0,0,0,0,4,0,5,1,0,3,4,55,1,10,0,6,0,4,0,13,0,0,0,2,0,0,0,0,0,0,2,0,2,0,1,10,2,2,1,0,0,0,0,0,10,35,0,6,0,1,3,0,3,1,0,0,1,0,1,0,0,0,0,0,1,2,28,0,0,0,0,0,0,0,0,0,5,3,38,27,3,0,3,0,13,0,3,12,0,0,0,0,14,0,4,0,0,0,11,6,0,0,18,0,1,0,0,2,2,4,0,0,3,1,7,5,0,0,1,0,6,0,0,0,0,4,0,0,0,17,42,2,0,0,3,0,18,4,0,1,6,2,2,0,0
"2",0,0,0,0,0,0,3,1,0,18,0,0,0,0,15,0,0,1,0,2,0,3,2,0,3,0,0,1,0,1,0,0,53,0,0,0,0,0,0,0,0,0,1,0,0,1,2,17,5,0,0,0,1,0,0,3,1,2,2,0,0,0,0,0,0,1,0,2,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,15,41,6,3,1,12,0,4,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,7,1,0,0,2,0,0,0,0,5,32,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,1,48,19,2,0,9,0,15,4,0,11,0,0,0,0,14,0,2,1,0,0,9,2,0,0,23,0,0,0,0,0,0,3,5,1,0,4,6,1,0,0,1,1,3,0,1,0,0,0,0,0,1,27,33,0,4,3,9,0,11,3,0,0,7,0,2,0,0
"3",0,0,0,0,0,0,0,0,0,16,1,0,0,1,1,0,0,2,1,0,0,8,5,0,1,0,4,0,0,0,1,0,48,0,1,1,0,0,0,1,0,0,0,0,0,0,5,35,3,0,0,1,0,0,0,6,6,0,6,2,0,0,1,0,0,0,1,12,39,0,0,1,0,0,2,0,0,1,0,0,0,0,0,3,6,42,3,0,1,3,1,4,0,8,0,0,0,3,0,0,4,1,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,1,57,0,7,0,0,0,0,2,2,0,0,0,0,2,1,0,0,1,0,0,4,21,0,0,0,1,0,0,3,1,0,5,3,38,34,0,0,2,1,11,1,1,5,0,0,1,1,20,1,0,0,1,0,25,2,1,2,31,0,1,1,0,7,0,0,1,0,2,0,2,4,0,0,0,0,8,0,0,0,0,1,0,0,0,17,54,0,0,0,11,0,13,4,0,0,11,2,1,0,0
"4",0,0,0,0,1,0,16,0,0,31,1,0,0,0,2,2,2,8,8,0,0,1,5,0,3,1,5,0,0,0,1,1,62,0,0,0,1,0,0,0,1,0,1,0,2,0,4,22,16,0,9,0,2,0,0,0,0,3,0,0,0,0,0,0,11,0,0,1,44,0,0,0,0,0,3,0,0,3,0,0,2,3,0,4,6,37,2,0,0,13,0,8,0,6,0,0,1,4,0,0,5,1,1,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,11,39,0,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,1,2,22,0,0,0,0,0,0,0,0,0,0,0,31,18,0,0,8,0,4,1,3,8,0,0,1,1,15,0,5,0,0,0,9,4,0,4,8,0,1,0,0,3,1,1,4,2,1,0,8,3,0,0,0,0,17,0,0,0,0,1,0,0,1,35,43,0,2,6,1,0,18,2,0,0,21,0,3,0,1
"5",0,0,0,1,4,1,2,0,2,16,1,0,0,0,4,0,0,7,0,0,0,9,2,0,0,0,1,1,0,0,3,0,64,1,0,1,2,0,0,0,0,0,8,1,3,0,1,9,6,0,5,0,0,0,1,2,2,0,0,0,0,1,0,0,4,0,1,5,28,0,0,0,0,0,3,0,0,3,1,0,1,3,1,1,11,39,0,4,0,8,1,4,0,4,0,0,0,0,3,1,0,0,0,0,0,0,6,0,0,4,0,2,2,0,0,1,0,0,2,43,0,9,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,12,10,0,0,0,0,0,3,0,1,5,1,0,40,24,1,0,7,0,4,7,1,3,0,0,0,2,8,0,4,0,3,0,3,0,5,4,58,1,0,1,0,5,0,0,0,1,0,2,19,0,1,0,0,2,8,0,0,0,1,2,1,0,1,14,51,1,0,1,5,0,34,11,0,0,4,0,2,0,0
"6",0,0,0,0,0,0,2,2,0,12,2,0,1,0,8,0,0,1,1,2,1,8,1,0,1,1,0,1,0,9,4,1,47,0,0,0,0,0,0,0,0,0,3,0,0,1,1,5,13,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,2,17,0,2,0,0,1,1,0,0,1,1,0,6,0,0,4,4,38,0,2,0,4,2,7,0,6,4,0,2,0,1,0,1,1,0,0,0,1,0,0,0,8,4,0,0,0,0,0,1,0,1,37,1,1,1,0,3,0,0,0,0,3,0,3,0,0,2,0,1,0,0,2,20,0,0,0,0,0,0,0,1,0,0,3,34,18,0,0,4,0,24,1,1,6,0,0,0,0,3,0,4,0,0,1,12,0,0,1,46,0,0,0,0,0,2,10,4,0,1,0,10,2,0,0,3,0,22,0,1,0,0,0,0,0,0,35,30,0,0,1,6,1,23,0,1,0,1,0,1,0,2
"7",0,0,0,0,0,2,0,1,0,16,0,0,0,1,8,0,0,3,3,1,0,2,7,0,3,0,2,0,0,0,6,0,42,0,0,0,1,0,0,0,0,1,1,0,0,0,1,3,10,2,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,6,3,30,0,0,0,0,0,0,1,0,0,2,1,2,0,0,6,8,41,0,4,0,10,0,2,0,9,1,0,0,2,0,0,0,2,0,0,0,0,0,0,1,2,0,4,0,0,0,0,1,0,5,51,0,4,0,0,6,0,1,0,0,3,0,0,0,0,0,1,3,0,0,0,21,0,0,0,1,0,0,2,0,0,5,3,52,11,0,0,6,0,22,1,0,9,0,0,0,1,30,0,9,0,0,0,8,1,0,1,25,0,0,0,0,7,2,9,6,0,0,3,12,1,0,0,0,1,6,0,0,0,0,0,0,0,1,29,38,0,2,0,5,1,7,0,0,0,2,0,0,0,0
"8",0,0,0,0,0,0,1,0,1,12,1,1,0,2,7,2,0,0,2,0,0,11,5,0,3,0,2,0,0,0,0,0,43,0,1,0,0,0,0,0,0,0,2,0,0,4,0,15,7,0,1,0,0,0,2,9,0,0,1,0,0,0,0,1,4,2,6,2,44,0,0,0,0,0,1,0,1,0,0,0,0,2,5,1,7,37,4,4,0,5,0,5,0,17,0,0,0,7,2,0,5,2,0,0,0,0,0,0,1,13,0,2,0,2,0,0,1,0,1,47,0,3,0,0,0,1,1,0,1,0,0,0,2,0,0,1,0,0,1,3,21,0,0,0,0,0,0,1,2,1,0,4,43,17,0,0,7,0,3,0,4,4,0,0,0,1,7,0,5,0,0,0,9,0,0,4,24,0,0,2,3,0,0,5,0,2,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,25,36,0,0,3,2,0,15,2,0,0,6,0,1,0,0
"9",0,0,0,0,5,0,1,0,0,24,0,0,1,0,5,0,0,1,0,0,0,7,5,0,1,0,5,0,0,2,5,0,44,0,0,1,0,1,0,0,0,0,2,0,1,0,0,14,1,1,1,0,0,0,1,2,1,0,0,0,1,0,4,0,1,0,4,3,38,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,31,0,5,4,1,0,1,0,6,0,1,0,3,2,0,0,4,0,0,0,0,1,0,5,3,0,0,0,2,0,1,0,1,1,38,0,6,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,17,0,0,0,0,0,3,0,0,0,1,0,46,4,0,0,3,0,1,6,0,6,1,0,0,0,3,0,4,0,0,0,12,0,0,4,15,0,0,0,0,4,0,7,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,1,0,1,0,60,43,0,0,1,8,0,12,1,0,0,15,3,3,0,0
"10",0,0,0,0,0,2,1,0,0,13,0,0,0,0,5,0,1,1,0,0,0,20,5,0,1,0,8,1,0,1,1,2,61,4,0,2,0,0,0,0,0,0,3,0,2,0,1,7,10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,38,1,0,0,0,0,0,0,0,0,2,0,0,3,0,5,0,31,2,4,1,7,0,4,0,5,0,0,0,4,0,0,1,5,0,0,0,0,0,0,4,10,1,0,0,1,0,0,0,1,3,46,0,3,0,0,2,2,0,0,0,3,0,0,7,1,0,0,0,0,2,2,24,0,0,0,0,0,3,1,0,0,0,1,42,17,1,0,0,0,2,2,1,8,1,0,0,0,22,0,1,0,0,0,23,0,2,0,10,2,1,0,0,3,0,0,0,0,0,0,7,1,0,1,0,0,9,0,0,0,0,0,0,0,0,47,45,0,1,1,9,1,22,1,0,2,6,8,2,0,0
