"","Acacia.melanoceras","Acalypha.diversifolia","Acalypha.macrostachya","Adelia.triloba","Aegiphila.panamensis","Alchornea.costaricensis","Alchornea.latifolia","Allophylus.psilospermus","Alseis.blackiana","Amaioua.corymbosa","Anacardium.excelsum","Andira.inermis","Annona.spraguei","Apeiba.aspera","Apeiba.tibourbou","Aspidosperma.cruenta","Astrocaryum.standleyanum","Astronium.graveolens","Attalea.butyracea","Banara.guianensis","Beilschmiedia.pendula","Brosimum.alicastrum","Calophyllum.longifolium","Casearia.aculeata","Casearia.arborea","Casearia.commersoniana","Casearia.guianensis","Casearia.sylvestris","Cassipourea.elliptica","Cavanillesia.platanifolia","Cecropia.insignis","Cecropia.obtusifolia","Cedrela.odorata","Ceiba.pentandra","Celtis.schippii","Cespedezia.macrophylla","Chamguava.schippii","Chimarrhis.parviflora","Chlorophora.tinctoria","Chrysochlamys.eclipes","Chrysophyllum.argenteum","Chrysophyllum.cainito","Coccoloba.coronata","Coccoloba.manzanillensis","Cordia.alliodora","Cordia.bicolor","Cordia.lasiocalyx","Coussarea.curvigemmia","Croton.billbergianus","Cupania.latifolia","Cupania.rufescens","Cupania.sylvatica","Dendropanax.arboreus","Desmopsis.panamensis","Diospyros.artanthifolia","Dipteryx.panamensis","Drypetes.standleyi","Elaeis.oleifera","Enterolobium.schomburgkii","Erythrina.costaricensis","Erythroxylum.macrophyllum","Eugenia.coloradensis","Eugenia.galalonensis","Eugenia.nesiotica","Eugenia.oerstedeana","Faramea.occidentalis","Ficus.costaricana","Ficus.insipida","Ficus.maxima","Ficus.obtusifolia","Ficus.popenoei","Ficus.tonduzii","Ficus.trigonata","Ficus.yoponensis","Garcinia.intermedia","Garcinia.madruno","Genipa.americana","Guapira.standleyana","Guarea.fuzzy","Guarea.grandifolia","Guarea.guidonia","Guatteria.dumetorum","Guazuma.ulmifolia","Guettarda.foliacea","Gustavia.superba","Hampea.appendiculata","Hasseltia.floribunda","Heisteria.acuminata","Heisteria.concinna","Hirtella.americana","Hirtella.triandra","Hura.crepitans","Hyeronima.alchorneoides","Inga.acuminata","Inga.cocleensis","Inga.goldmanii","Inga.laurina","Inga.marginata","Inga.nobilis","Inga.oerstediana","Inga.pezizifera","Inga.punctata","Inga.ruiziana","Inga.sapindoides","Inga.spectabilis","Inga.umbellifera","Jacaranda.copaia","Lacistema.aggregatum","Lacmellea.panamensis","Laetia.procera","Laetia.thamnia","Lafoensia.punicifolia","Licania.hypoleuca","Licania.platypus","Lindackeria.laurina","Lonchocarpus.latifolius","Luehea.seemannii","Macrocnemum.roseum","Maquira.costaricana","Margaritaria.nobilis","Marila.laxiflora","Maytenus.schippii","Miconia.affinis","Miconia.argentea","Miconia.elata","Miconia.hondurensis","Mosannona.garwoodii","Myrcia.gatunensis","Myrospermum.frutescens","Nectandra.cissiflora","Nectandra.lineata","Nectandra.purpurea","Ochroma.pyramidale","Ocotea.cernua","Ocotea.oblonga","Ocotea.puberula","Ocotea.whitei","Oenocarpus.mapora","Ormosia.amazonica","Ormosia.coccinea","Ormosia.macrocalyx","Pachira.quinata","Pachira.sessilis","Perebea.xanthochyma","Phoebe.cinnamomifolia","Picramnia.latifolia","Piper.reticulatum","Platymiscium.pinnatum","Platypodium.elegans","Posoqueria.latifolia","Poulsenia.armata","Pourouma.bicolor","Pouteria.fossicola","Pouteria.reticulata","Pouteria.stipitata","Prioria.copaifera","Protium.costaricense","Protium.panamense","Protium.tenuifolium","Pseudobombax.septenatum","Psidium.friedrichsthalianum","Psychotria.grandis","Pterocarpus.rohrii","Quararibea.asterolepis","Quassia.amara","Randia.armata","Sapium.broadleaf","Sapium.glandulosum","Schizolobium.parahyba","Simarouba.amara","Siparuna.guianensis","Siparuna.pauciflora","Sloanea.terniflora","Socratea.exorrhiza","Solanum.hayesii","Sorocea.affinis","Spachea.membranacea","Spondias.mombin","Spondias.radlkoferi","Sterculia.apetala","Swartzia.simplex.var.grandiflora","Swartzia.simplex.var.ochnacea","Symphonia.globulifera","Tabebuia.guayacan","Tabebuia.rosea","Tabernaemontana.arborea","Tachigali.versicolor","Talisia.nervosa","Talisia.princeps","Terminalia.amazonia","Terminalia.oblonga","Tetragastris.panamensis","Tetrathylacium.johansenii","Theobroma.cacao","Thevetia.ahouai","Tocoyena.pittieri","Trattinnickia.aspera","Trema.micrantha","Trichanthera.gigantea","Trichilia.pallida","Trichilia.tuberculata","Triplaris.cumingiana","Trophis.caucana","Trophis.racemosa","Turpinia.occidentalis","Unonopsis.pittieri","Virola.multiflora","Virola.sebifera","Virola.surinamensis","Vochysia.ferruginea","Xylopia.macrantha","Zanthoxylum.ekmanii","Zanthoxylum.juniperinum","Zanthoxylum.panamense","Zanthoxylum.setulosum","Zuelania.guidonia"
"1",0,0,0,0,0,1,1,0,25,0,0,0,0,8,2,0,0,9,1,0,0,5,0,1,0,0,0,4,2,0,87,0,0,0,0,0,1,1,0,0,4,1,0,0,1,12,7,0,1,0,0,2,0,0,1,3,1,0,1,0,0,0,0,0,3,11,0,0,5,0,0,0,0,1,1,2,0,3,0,0,3,6,73,2,9,0,4,0,3,0,24,0,0,0,4,0,0,0,0,0,0,1,0,3,0,1,8,0,1,0,0,0,1,0,0,6,74,0,7,0,2,0,0,3,1,0,2,3,0,0,0,3,1,1,0,0,1,16,0,0,0,0,0,0,0,0,0,5,1,72,14,4,0,8,0,14,4,1,9,0,0,0,2,6,1,3,0,1,0,20,1,0,0,22,0,1,0,1,2,2,6,2,0,2,1,7,6,0,0,1,0,5,0,0,0,1,0,0,0,0,17,79,1,3,1,1,0,15,4,0,0,2,0,3,0,0
"2",0,0,0,1,0,1,0,1,22,0,0,1,0,8,0,0,3,0,1,0,2,5,2,0,1,0,1,1,0,0,70,0,0,0,0,0,0,1,0,0,1,0,1,0,0,21,6,0,1,0,0,1,3,0,0,3,2,0,0,0,0,2,0,0,2,35,0,0,0,0,0,0,1,0,0,0,0,1,1,0,5,16,66,7,6,0,15,1,8,0,13,0,4,0,2,0,0,0,0,0,0,1,0,0,2,0,11,0,0,0,0,1,0,0,0,2,66,0,4,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,23,0,1,0,0,0,1,0,0,0,5,1,77,24,2,0,10,0,12,2,0,7,0,0,1,0,10,0,1,0,0,0,8,1,0,0,25,0,2,0,2,0,3,4,7,0,0,1,7,3,1,0,0,0,6,1,1,0,3,2,0,0,0,25,69,0,3,2,4,0,13,2,0,0,3,0,1,0,0
"3",1,0,0,0,0,3,0,0,18,0,0,0,0,5,1,1,0,0,0,0,6,4,0,0,1,2,1,1,1,0,78,0,0,0,0,0,0,0,0,0,3,0,0,0,5,41,2,0,0,0,0,0,5,6,1,0,0,0,1,1,0,0,0,3,4,35,0,0,0,0,0,2,0,0,3,1,0,0,0,0,2,8,58,1,0,0,4,0,6,0,2,0,0,0,5,1,0,4,0,0,0,0,0,5,0,0,11,0,0,4,0,0,0,0,0,2,81,0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,18,1,0,0,0,0,0,0,0,0,3,1,78,28,0,0,3,0,6,0,2,4,0,0,0,0,17,0,0,0,0,0,10,2,1,3,24,1,1,0,0,0,0,0,2,0,1,0,1,2,1,0,0,0,14,0,0,0,0,1,0,0,0,33,49,1,0,0,11,0,10,0,0,0,12,2,2,0,0
"4",0,0,0,5,0,23,0,0,20,0,0,0,0,2,0,0,10,3,0,0,1,5,5,0,2,0,0,0,1,0,86,0,1,0,1,0,1,0,1,0,3,0,0,0,9,22,4,1,12,0,1,0,0,0,1,0,0,0,0,0,0,10,0,0,3,37,0,0,0,0,0,3,0,0,3,0,0,0,1,2,5,1,76,4,1,0,13,0,5,0,2,0,0,0,4,0,0,5,2,1,0,0,1,3,0,3,2,1,2,0,0,0,0,0,0,8,79,0,10,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,3,1,3,17,0,0,0,0,0,0,1,0,0,2,0,71,19,0,1,9,0,8,2,5,9,1,0,0,1,13,0,6,0,0,0,8,3,0,1,9,0,0,0,1,2,0,1,0,1,0,3,9,2,0,0,0,1,9,0,0,1,0,0,2,0,1,31,72,0,0,5,2,0,12,0,0,0,8,1,2,0,1
"5",0,0,0,1,0,1,0,2,14,1,0,2,0,3,0,0,9,1,0,1,5,0,0,0,3,1,0,0,2,0,91,1,0,1,3,0,0,0,0,0,2,0,2,0,0,15,15,0,8,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,6,17,1,0,0,0,0,1,0,0,2,1,0,4,3,0,6,6,72,1,4,0,9,1,1,0,6,0,1,0,0,2,3,0,2,0,1,0,0,7,0,0,3,1,1,1,0,0,1,0,0,1,72,0,6,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,13,23,0,0,0,0,0,2,1,0,4,1,0,67,17,2,0,5,0,7,9,3,4,0,0,0,1,16,0,2,0,4,0,7,0,0,3,52,0,0,0,2,5,0,0,1,2,0,5,18,1,0,0,1,0,4,0,2,0,0,1,1,0,0,15,74,0,2,1,5,0,29,6,0,0,8,0,6,0,0
"6",0,0,1,0,0,3,1,0,9,0,0,1,0,5,0,1,0,1,1,0,4,1,1,0,3,0,0,6,4,0,75,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,8,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,4,12,0,0,0,0,0,0,0,1,1,1,0,9,0,0,3,4,71,0,0,0,1,0,6,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,2,0,0,0,1,84,0,3,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,3,15,0,1,0,0,0,0,0,0,0,1,5,66,15,0,0,5,0,15,1,2,1,0,0,0,0,2,1,12,1,1,1,8,0,1,2,41,0,1,0,0,0,0,12,5,1,2,0,14,1,0,1,1,0,20,0,0,0,1,1,0,0,0,31,62,0,0,1,3,2,18,2,0,0,2,0,5,0,2
"7",0,0,0,0,2,0,0,1,20,0,0,0,0,3,0,0,2,2,2,0,5,9,1,1,2,0,0,1,5,0,70,0,1,0,2,0,0,1,0,0,3,1,0,0,1,4,6,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,4,0,36,0,0,0,2,0,0,1,1,3,0,1,3,1,1,3,10,69,0,8,1,6,0,2,0,8,1,1,0,3,0,0,0,4,0,0,0,0,0,0,1,2,1,0,0,1,0,0,3,2,5,59,0,2,0,0,3,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,20,0,1,0,1,1,0,2,0,0,7,2,69,7,1,0,2,0,15,0,0,9,0,0,0,4,20,0,14,0,1,0,10,1,1,1,27,0,0,0,0,2,4,12,7,0,0,4,7,3,0,0,0,0,7,0,0,0,0,0,0,1,2,30,54,0,0,0,4,0,6,2,0,0,2,0,0,0,0
"8",0,0,0,0,1,1,0,0,14,0,0,0,0,1,0,0,0,0,0,1,11,3,2,1,1,0,1,0,0,0,88,4,0,3,0,0,0,0,1,0,1,0,3,0,0,9,5,0,4,0,0,1,6,0,0,2,0,0,0,0,1,1,0,4,1,45,1,1,1,0,0,0,0,0,3,0,1,1,1,1,0,3,80,7,3,1,3,0,7,0,13,0,0,0,10,0,0,3,0,1,0,0,0,0,0,2,10,0,1,2,0,1,1,0,0,1,65,0,9,0,0,0,0,4,0,0,0,0,0,4,0,1,2,0,0,3,1,26,0,1,0,0,0,0,0,1,0,0,2,75,22,0,0,2,0,10,0,2,7,0,0,0,2,4,0,5,0,0,0,14,0,0,2,18,0,0,0,1,0,0,2,0,3,0,0,6,0,0,0,0,0,12,0,0,0,0,1,0,0,0,30,76,0,0,3,1,0,19,3,0,0,3,0,2,0,0
"9",0,0,0,8,0,0,0,0,15,0,0,0,0,4,0,0,2,0,0,0,7,5,3,0,11,0,0,3,2,0,75,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,1,1,1,0,1,2,0,0,0,0,3,0,2,2,3,0,3,3,32,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,4,56,1,5,1,2,0,1,0,7,0,2,0,3,0,0,1,3,0,0,0,0,1,0,1,7,0,0,0,1,0,0,0,5,4,67,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,19,0,0,0,0,0,6,0,0,0,3,2,79,3,0,0,5,0,2,5,0,3,0,1,0,0,5,0,5,0,0,0,13,0,3,1,12,0,0,1,0,2,0,4,0,0,0,1,11,0,0,1,0,0,9,0,0,0,1,0,0,0,1,69,78,0,0,2,4,0,18,0,1,0,12,0,5,0,0
"10",0,0,0,0,3,4,0,0,19,0,0,0,0,7,0,0,2,0,0,0,12,4,0,0,12,0,0,1,2,1,86,2,0,1,0,1,0,0,0,0,4,0,3,1,4,11,7,1,0,0,1,0,2,1,0,1,0,0,0,0,2,7,0,0,9,42,0,1,0,0,0,0,0,0,0,4,1,0,4,0,9,2,70,4,8,0,10,0,4,0,15,1,0,0,2,4,0,0,1,0,0,0,0,0,0,0,6,1,1,1,2,0,0,0,1,10,65,0,6,0,0,3,1,0,0,0,0,0,0,4,0,0,0,0,2,1,5,20,0,1,0,1,0,3,0,0,0,0,0,67,23,0,0,0,1,2,5,0,5,0,1,0,0,15,0,0,1,0,0,21,0,0,0,13,2,0,0,2,0,0,0,0,0,0,0,1,2,2,0,0,0,2,0,0,0,0,1,0,0,0,50,72,0,0,0,6,0,7,3,0,3,9,14,3,0,0
"11",0,0,0,1,0,6,0,0,18,0,1,2,0,0,0,0,2,0,0,0,1,7,0,0,6,0,0,0,0,1,69,0,2,2,0,0,1,0,0,0,4,0,0,0,1,13,5,0,0,0,0,2,0,0,1,0,0,0,1,2,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,4,75,2,0,0,7,0,3,0,12,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,7,0,0,1,0,0,0,1,0,3,67,0,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,13,0,1,0,0,0,0,0,3,2,0,1,66,26,0,0,5,0,30,1,0,2,0,0,0,2,23,0,4,1,1,0,8,1,0,0,3,0,3,0,0,0,0,7,5,0,0,0,5,2,1,0,0,0,3,0,0,0,1,0,1,0,1,42,62,4,0,0,2,0,8,4,0,1,3,0,0,0,0
"12",0,0,0,3,1,6,0,1,17,0,0,0,0,2,0,0,1,0,0,0,0,7,0,0,0,0,0,1,2,0,73,2,0,0,2,0,0,0,0,0,1,0,0,0,1,3,3,4,3,0,0,0,2,0,0,0,5,0,0,0,2,1,2,3,4,42,0,0,0,0,0,2,0,0,5,0,2,4,1,0,4,0,81,0,2,0,0,0,5,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,3,0,0,0,0,0,5,81,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,23,1,0,2,0,0,0,2,0,0,0,1,65,3,0,0,3,0,19,0,0,8,0,0,1,4,13,0,2,0,0,0,11,0,1,0,11,0,0,0,1,0,0,19,14,1,0,0,3,3,0,0,0,0,10,0,0,0,2,0,0,1,1,44,72,0,0,2,0,0,4,2,3,0,0,0,0,0,0
"13",0,0,0,0,2,1,1,1,6,0,0,0,0,1,0,0,13,0,6,0,0,3,0,0,0,0,0,0,9,0,63,2,0,2,0,0,0,1,0,0,7,0,0,2,2,0,1,5,12,1,1,3,5,0,0,0,0,5,0,0,0,2,0,0,8,43,0,0,0,0,0,0,0,0,4,0,0,3,0,0,4,0,69,3,13,0,1,0,6,0,16,2,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,4,0,0,0,3,1,75,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,2,0,20,0,0,0,0,0,1,0,1,0,1,3,79,0,0,0,7,0,13,0,0,5,0,0,0,1,2,0,21,0,0,0,0,0,0,0,1,0,0,0,9,1,2,2,4,0,6,3,13,5,0,0,10,0,7,0,1,0,0,0,0,0,3,32,69,0,0,0,0,0,0,0,3,4,6,3,0,0,0
"14",0,0,1,0,0,8,0,0,24,0,0,1,1,10,0,1,1,0,3,0,3,2,0,0,1,0,0,0,4,0,89,3,0,0,0,0,0,0,0,0,3,1,0,0,1,12,9,0,9,0,0,0,5,0,0,2,0,0,0,0,0,0,0,5,1,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,70,0,3,0,6,1,0,0,14,0,1,0,2,2,0,1,0,0,0,0,0,2,3,0,12,0,2,1,0,2,0,0,4,6,66,0,0,0,0,0,0,3,0,2,0,1,0,1,1,0,2,1,2,0,1,20,0,0,0,0,0,5,0,0,0,1,0,63,17,0,0,10,1,3,1,3,5,0,0,0,4,10,1,7,0,0,0,2,0,0,0,8,0,0,0,1,0,0,5,3,1,0,0,24,1,0,0,1,0,2,0,0,0,0,0,0,0,2,32,79,0,3,0,1,0,21,0,2,0,13,4,3,0,0
