time			temp
0:11:40			20.7
0:11:50			19.8
0:12:0			21
0:12:10			20
0:12:20			21.4
0:12:30			21.6
0:12:40			21.7
0:12:50			22
0:13:0			21.9
0:13:10			20.6
0:13:20			21.8
0:13:30			21.5
0:13:40			22.1
0:13:50			20.8
0:14:0			21.8
0:14:10			22
0:14:20			21.1
0:14:30			20.8
0:14:40			20.8
0:14:50			20.5
0:15:0			20.7
0:15:10			20.5
0:15:20			19.9
0:15:30			20.3
0:15:40			19
0:15:50			19.8
0:16:0			20.7
0:16:10			19.8
0:16:20			20.8
0:16:30			19.5
0:16:40			18.9
0:16:50			17
0:17:0			18.3
0:17:10			17.9
0:17:20			17.2
0:17:30			18.1
0:17:40			17.8
0:17:50			17.3
0:18:0			17
0:18:10			17.8
0:18:20			16.1
0:18:30			16.8
0:18:40			15.9
0:18:50			15.5
0:19:0			16.3
0:19:10			16.1
0:19:20			15.3
0:19:30			14.6
0:19:40			13.8
0:19:50			13.5
0:20:0			14
0:20:10			13.9
0:20:20			13.2
0:20:30			13.5
0:20:40			12.6
0:20:50			12.3
0:21:0			12.2
0:21:10			11.3
0:21:20			11.6
0:21:30			10.8
0:21:40			10.5
0:21:50			10.2
0:22:0			10.2
0:22:10			9.9
0:22:20			9.7
0:22:30			9.4
0:22:40			9.6
0:22:50			9.1
0:23:0			7.5
0:23:10			8.8
0:23:20			7
0:23:30			7.5
0:23:40			7.3
0:23:50			7.7
1:0:0			7.7
1:0:10			7.3
1:0:20			6.7
1:0:30			6.8
1:0:40			6.1
1:0:50			6.9
1:1:0			7.1
1:1:10			7.5
1:1:20			7
1:1:30			6.8
1:1:40			6
1:1:50			7.1
1:2:0			5.1
1:2:10			5.3
1:2:20			5.3
1:2:30			5.3
1:2:40			5.1
1:2:50			5.6
1:3:0			5.6
1:3:10			7.2
1:3:20			5.7
1:3:30			5.9
1:3:40			6.9
1:3:50			7.1
1:4:0			8.6
1:4:10			7
1:4:20			7.8
1:4:30			7.6
1:4:40			8
1:4:50			8.2
1:5:0			8.3
1:5:10			7.2
1:5:20			8.5
1:5:30			8.4
1:5:40			7.9
1:5:50			7.7
1:6:0			8.3
1:6:10			8.6
1:6:20			10.6
1:6:30			10.6
1:6:40			10.4
1:6:50			10.8
1:7:0			10.8
1:7:10			10.7
1:7:20			11.4
1:7:30			13
1:7:40			12.3
1:7:50			12.8
1:8:0			13.5
1:8:10			13.5
1:8:20			14.7
1:8:30			13.6
1:8:40			14.1
1:8:50			14
1:9:0			14.9
1:9:10			15.3
1:9:20			15.7
1:9:30			15.3
1:9:40			15.7
1:9:50			15.5
1:10:0			14.5
1:10:10			14.8
1:10:20			16.1
1:10:30			16.2
1:10:40			17.5
1:10:50			16.6
1:11:0			17.5
1:11:10			18.9
1:11:20			18
1:11:30			17.7
1:11:40			16.6
1:11:50			18
1:12:0			18.9
1:12:10			18.8
1:12:20			19.4
1:12:30			17.7
1:12:40			19
1:12:50			18.5
1:13:0			20.2
1:13:10			20.1
