"Genus","Subfamily","Family","Order","Rosid","Asterid","Eudicot","Angiosperm","Kingdom"
"Cupania",NA,"Sapindaceae","Sapindales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Miconia",NA,"Melastomataceae","Myrtales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Eugenia","Myrtoideae","Myrtaceae","Myrtales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Chamguava",NA,"Myrtaceae","Myrtales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Inga","Mimosoideae","Fabaceae","Fabales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Zanthoxylum","Toddalioideae","Rutaceae","Sapindales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Casearia",NA,"Salicaceae","Malpighiales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Ocotea",NA,"Lauraceae","Laurales","FALSE","FALSE","FALSE","TRUE","Plantae"
"Ficus",NA,"Moraceae","Rosales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Psidium","Myrtoideae","Myrtaceae","Myrtales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Cordia","Cordioideae","Boraginaceae","Lamiales","FALSE","TRUE","TRUE","TRUE","Plantae"
"Guarea",NA,"Meliaceae","Sapindales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Virola",NA,"Myristicaceae","Magnoliales","FALSE","FALSE","FALSE","TRUE","Plantae"
"Pouteria","Chrysophylloideae","Sapotaceae","Ericales","FALSE","TRUE","TRUE","TRUE","Plantae"
"Protium",NA,"Burseraceae","Sapindales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Ormosia","Faboideae","Fabaceae","Fabales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Nectandra",NA,"Lauraceae","Laurales","FALSE","FALSE","FALSE","TRUE","Plantae"
"Acalypha","Acalyphoideae","Euphorbiaceae","Malpighiales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Enterolobium","Mimosoideae","Fabaceae","Fabales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Alchornea","Acalyphoideae","Euphorbiaceae","Malpighiales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Hirtella",NA,"Chrysobalanaceae","Malpighiales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Heisteria",NA,"Olacaceae","Santalales","FALSE","FALSE","TRUE","TRUE","Plantae"
"Hasseltia",NA,"Salicaceae","Malpighiales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Hampea",NA,"Malvaceae","Malvales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Talisia","Sapindoideae","Sapindaceae","Sapindales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Terminalia",NA,"Combretaceae","Myrtales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Trichilia",NA,"Meliaceae","Sapindales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Trophis",NA,"Moraceae","Rosales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Gustavia",NA,"Lecythidaceae","Ericales","FALSE","TRUE","TRUE","TRUE","Plantae"
"Swartzia","Faboideae","Fabaceae","Fabales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Apeiba","Grewioideae","Malvaceae","Malvales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Brosimum",NA,"Moraceae","Rosales","TRUE","FALSE","TRUE","TRUE","Plantae"
"Trophis",NA,"Moraceae","Rosales","TRUE","FALSE","TRUE","TRUE","Plantae"
