"record","study","author","environment","method","spn","planttype","nreps","p","meanbase","meancon","effsz","stderr","lb","ub","sig"
1,"1","O","grassland","a",1,"monocot",9,0.05774,1.35,1.643,0.293,0.137,-0.012,0.598,FALSE
2,"1","O","grassland","a",2,"monocot",9,0.00196,1.186,1.617,0.431,0.112,0.189,0.673,TRUE
3,"1","O","grassland","a",3,"dicot",9,0.78081,1.669,1.708,0.04,0.14,-0.258,0.337,FALSE
4,"1","O","grassland","a",4,"dicot",9,0.01746,1.738,2.176,0.438,0.164,0.088,0.787,TRUE
5,"1","O","grassland","a",5,"monocot",9,0.01134,1.35,1.732,0.382,0.133,0.1,0.664,TRUE
6,"2","T","heath","c",1,"dicot",8,0.78827,1.31,1.264,-0.046,0.166,-0.41,0.319,FALSE
7,"2","T","heath","c",2,"monocot",8,0.11699,1.649,2.003,0.353,0.208,-0.104,0.811,FALSE
8,"3","T","arid","a",1,"monocot",19,0.01008,1.278,1.512,0.234,0.086,0.059,0.408,TRUE
9,"3","T","arid","a",2,"dicot",19,0.07064,1.49,1.699,0.208,0.111,-0.019,0.436,FALSE
10,"3","T","arid","a",3,"monocot",19,0.0024,1.731,2.093,0.363,0.111,0.138,0.588,TRUE
11,"3","T","arid","a",4,"monocot",19,0.00083,1.222,1.71,0.488,0.127,0.226,0.751,TRUE
12,"3","T","arid","a",5,"dicot",19,0.09862,1.729,1.923,0.194,0.113,-0.039,0.426,FALSE
13,"4","F","heath","a",1,"dicot",12,0.15443,1.509,1.664,0.155,0.104,-0.065,0.375,FALSE
14,"4","F","heath","a",2,"monocot",12,0.02398,1.342,1.64,0.298,0.121,0.044,0.551,TRUE
15,"5","B","heath","d",1,"monocot",17,0,1.275,2.639,1.364,0.134,1.086,1.641,TRUE
16,"6","O","arid","b",1,"dicot",16,0.00378,1.6,1.974,0.374,0.118,0.131,0.616,TRUE
17,"6","O","arid","b",2,"monocot",16,0.34481,1.333,1.429,0.096,0.1,-0.11,0.302,FALSE
18,"6","O","arid","b",3,"monocot",16,0.02393,1.609,1.936,0.327,0.138,0.046,0.608,TRUE
19,"6","O","arid","b",4,"dicot",16,0.12975,1.511,1.712,0.201,0.129,-0.063,0.464,FALSE
20,"7","Y","forest","a",1,"dicot",10,0.46934,1.546,1.464,-0.082,0.111,-0.317,0.153,FALSE
21,"7","Y","forest","a",2,"dicot",10,0.0118,1.735,1.4,-0.335,0.116,-0.584,-0.086,TRUE
22,"7","Y","forest","a",3,"monocot",10,0.88762,1.615,1.638,0.022,0.157,-0.307,0.352,FALSE
23,"7","Y","forest","a",4,"monocot",10,0.00967,1.485,1.185,-0.3,0.104,-0.518,-0.082,TRUE
24,"7","Y","forest","a",5,"dicot",10,0.68598,1.136,1.113,-0.023,0.055,-0.139,0.093,FALSE
25,"8","C","grassland","a",1,"dicot",21,0.00173,1.475,1.834,0.36,0.107,0.144,0.576,TRUE
26,"9","D","forest","c",1,"dicot",22,0,1.287,1.031,-0.257,0.039,-0.335,-0.178,TRUE
27,"9","D","forest","c",2,"monocot",22,0,1.707,1.165,-0.543,0.085,-0.716,-0.369,TRUE
28,"9","D","forest","c",3,"monocot",22,0.00074,1.241,1.037,-0.204,0.053,-0.313,-0.096,TRUE
29,"10","W","arid","a",1,"monocot",5,0.38131,1.568,1.736,0.168,0.182,-0.252,0.589,FALSE
30,"10","W","arid","a",2,"dicot",5,0.68594,1.501,1.561,0.06,0.142,-0.268,0.387,FALSE
