"record","study","author","environment","method","spn","planttype","nreps","p","meanbase","meancon","effsz","stderr","lb","ub","sig"
1,"1","G","forest","c",1,"monocot",17,0.391243666831818,1.451,1.369,-0.082,0.095,-0.276,0.111,FALSE
2,"1","G","forest","c",2,"dicot",17,3.08996566083639e-05,1.81,1.282,-0.528,0.109,-0.75,-0.306,TRUE
3,"1","G","forest","c",3,"monocot",17,0.198710411164644,1.473,1.333,-0.14,0.107,-0.358,0.078,FALSE
4,"2","K","grassland","c",1,"dicot",20,1.41082654998492e-06,1.874,1.239,-0.636,0.107,-0.854,-0.417,TRUE
5,"2","K","grassland","c",2,"monocot",20,0.00114087902292945,1.591,1.262,-0.329,0.093,-0.518,-0.14,TRUE
6,"2","K","grassland","c",3,"monocot",20,3.21139884973957e-05,1.752,1.243,-0.51,0.108,-0.728,-0.291,TRUE
7,"3","K","forest","c",1,"dicot",5,0.0530857765841289,1.123,1.575,0.452,0.191,-0.008,0.912,FALSE
8,"3","K","forest","c",2,"dicot",5,0.474386335909831,1.635,1.461,-0.174,0.223,-0.764,0.417,FALSE
9,"3","K","forest","c",3,"monocot",5,0.375974231561752,1.676,1.488,-0.187,0.191,-0.691,0.316,FALSE
10,"3","K","forest","c",4,"monocot",5,0.0360396243487147,1.044,1.707,0.663,0.256,0.057,1.269,TRUE
11,"3","K","forest","c",5,"monocot",5,0.913981137775478,1.56,1.537,-0.023,0.202,-0.552,0.506,FALSE
12,"4","G","arid","b",1,"monocot",8,0.000162300951334907,1.54,0.973,-0.567,0.11,-0.804,-0.329,TRUE
13,"4","G","arid","b",2,"dicot",8,0.00237738299115002,1.533,0.963,-0.569,0.154,-0.899,-0.239,TRUE
14,"4","G","arid","b",3,"monocot",8,0.0297513879974026,1.166,0.926,-0.24,0.098,-0.453,-0.028,TRUE
15,"4","G","arid","b",4,"monocot",8,0.000212153778713838,1.863,1.004,-0.859,0.149,-1.193,-0.525,TRUE
16,"4","G","arid","b",5,"dicot",8,4.42876779917889e-05,1.713,0.963,-0.75,0.12,-1.01,-0.489,TRUE
17,"5","K","heath","b",1,"monocot",18,0.442707112125426,1.449,1.523,0.074,0.095,-0.12,0.268,FALSE
18,"5","K","heath","b",2,"monocot",18,8.89906877148146e-06,2.111,1.486,-0.625,0.117,-0.864,-0.385,TRUE
19,"5","K","heath","b",3,"dicot",18,0.0208376046615025,1.751,1.481,-0.269,0.111,-0.495,-0.044,TRUE
20,"5","K","heath","b",4,"dicot",18,0.325882309349222,1.522,1.42,-0.102,0.102,-0.309,0.106,FALSE
21,"5","K","heath","b",5,"monocot",18,0.198309188384292,1.419,1.524,0.105,0.08,-0.058,0.267,FALSE
22,"6","E","grassland","c",1,"monocot",6,0.00801711356349677,2.047,1.491,-0.556,0.168,-0.931,-0.181,TRUE
23,"6","E","grassland","c",2,"monocot",6,0.223163457442989,1.879,1.618,-0.261,0.196,-0.721,0.199,FALSE
24,"6","E","grassland","c",3,"monocot",6,0.293027273354897,1.769,1.464,-0.305,0.263,-0.959,0.35,FALSE
25,"6","E","grassland","c",4,"dicot",6,0.0199049287056162,1.84,1.445,-0.395,0.141,-0.712,-0.078,TRUE
26,"6","E","grassland","c",5,"monocot",6,0.264254174682887,1.9,1.613,-0.288,0.242,-0.835,0.259,FALSE
27,"7","C","arid","b",1,"monocot",15,0.00660911514584724,1.422,1.095,-0.327,0.11,-0.554,-0.099,TRUE
28,"7","C","arid","b",2,"dicot",15,0.696673106934147,1.149,1.105,-0.044,0.111,-0.272,0.185,FALSE
29,"8","A","arid","c",1,"monocot",16,0.00012278599655764,1.93,1.245,-0.684,0.144,-0.985,-0.384,TRUE
