"","Abarema.macradenium","Acacia.melanoceras","Acalypha.diversifolia","Acalypha.macrostachya","Adelia.triloba","Aegiphila.panamensis","Alchornea.costaricensis","Alchornea.latifolia","Allophylus.psilospermus","Alseis.blackiana","Amaioua.corymbosa","Anacardium.excelsum","Andira.inermis","Annona.spraguei","Apeiba.aspera","Apeiba.tibourbou","Aspidosperma.cruenta","Astrocaryum.standleyanum","Astronium.graveolens","Attalea.butyracea","Banara.guianensis","Beilschmiedia.pendula","Brosimum.alicastrum","Brosimum.guianense","Calophyllum.longifolium","Casearia.aculeata","Casearia.arborea","Casearia.commersoniana","Casearia.guianensis","Casearia.sylvestris","Cassipourea.elliptica","Cavanillesia.platanifolia","Cecropia.insignis","Cecropia.obtusifolia","Cedrela.odorata","Ceiba.pentandra","Celtis.schippii","Cespedezia.macrophylla","Chamguava.schippii","Chimarrhis.parviflora","Chlorophora.tinctoria","Chrysochlamys.eclipes","Chrysophyllum.argenteum","Chrysophyllum.cainito","Coccoloba.coronata","Coccoloba.manzanillensis","Cordia.alliodora","Cordia.bicolor","Cordia.lasiocalyx","Coussarea.curvigemmia","Croton.billbergianus","Cupania.cinerea","Cupania.latifolia","Cupania.rufescens","Cupania.sylvatica","Dendropanax.arboreus","Desmopsis.panamensis","Diospyros.artanthifolia","Dipteryx.panamensis","Drypetes.standleyi","Elaeis.oleifera","Enterolobium.schomburgkii","Erythrina.costaricensis","Erythroxylum.macrophyllum","Eugenia.coloradensis","Eugenia.galalonensis","Eugenia.nesiotica","Eugenia.oerstedeana","Faramea.occidentalis","Ficus.costaricana","Ficus.insipida","Ficus.maxima","Ficus.obtusifolia","Ficus.popenoei","Ficus.tonduzii","Ficus.trigonata","Ficus.yoponensis","Garcinia.intermedia","Garcinia.madruno","Genipa.americana","Guapira.standleyana","Guarea.fuzzy","Guarea.grandifolia","Guarea.guidonia","Guatteria.dumetorum","Guazuma.ulmifolia","Guettarda.foliacea","Gustavia.superba","Hampea.appendiculata","Hasseltia.floribunda","Heisteria.acuminata","Heisteria.concinna","Hirtella.americana","Hirtella.triandra","Hura.crepitans","Hyeronima.alchorneoides","Inga.acuminata","Inga.cocleensis","Inga.goldmanii","Inga.laurina","Inga.marginata","Inga.nobilis","Inga.oerstediana","Inga.pezizifera","Inga.punctata","Inga.ruiziana","Inga.sapindoides","Inga.spectabilis","Inga.umbellifera","Jacaranda.copaia","Lacistema.aggregatum","Lacmellea.panamensis","Laetia.procera","Laetia.thamnia","Lafoensia.punicifolia","Licania.hypoleuca","Licania.platypus","Lindackeria.laurina","Lonchocarpus.latifolius","Luehea.seemannii","Macrocnemum.roseum","Maquira.costaricana","Margaritaria.nobilis","Marila.laxiflora","Maytenus.schippii","Miconia.affinis","Miconia.argentea","Miconia.elata","Miconia.hondurensis","Mosannona.garwoodii","Myrcia.gatunensis","Myrospermum.frutescens","Nectandra.cissiflora","Nectandra.lineata","Nectandra.purpurea","Ochroma.pyramidale","Ocotea.cernua","Ocotea.oblonga","Ocotea.puberula","Ocotea.whitei","Oenocarpus.mapora","Ormosia.amazonica","Ormosia.coccinea","Ormosia.macrocalyx","Pachira.quinata","Pachira.sessilis","Perebea.xanthochyma","Phoebe.cinnamomifolia","Picramnia.latifolia","Piper.reticulatum","Platymiscium.pinnatum","Platypodium.elegans","Posoqueria.latifolia","Poulsenia.armata","Pourouma.bicolor","Pouteria.fossicola","Pouteria.reticulata","Pouteria.stipitata","Prioria.copaifera","Protium.costaricense","Protium.panamense","Protium.tenuifolium","Pseudobombax.septenatum","Psidium.friedrichsthalianum","Psychotria.grandis","Pterocarpus.rohrii","Quararibea.asterolepis","Quassia.amara","Randia.armata","Sapium.broadleaf","Sapium.glandulosum","Schizolobium.parahyba","Simarouba.amara","Siparuna.guianensis","Siparuna.pauciflora","Sloanea.terniflora","Socratea.exorrhiza","Solanum.hayesii","Sorocea.affinis","Spachea.membranacea","Spondias.mombin","Spondias.radlkoferi","Sterculia.apetala","Swartzia.simplex.var.grandiflora","Swartzia.simplex.var.ochnacea","Symphonia.globulifera","Tabebuia.guayacan","Tabebuia.rosea","Tabernaemontana.arborea","Tachigali.versicolor","Talisia.nervosa","Talisia.princeps","Terminalia.amazonia","Terminalia.oblonga","Tetragastris.panamensis","Tetrathylacium.johansenii","Theobroma.cacao","Thevetia.ahouai","Tocoyena.pittieri","Trattinnickia.aspera","Trema.micrantha","Trichanthera.gigantea","Trichilia.pallida","Trichilia.tuberculata","Triplaris.cumingiana","Trophis.caucana","Trophis.racemosa","Turpinia.occidentalis","Unonopsis.pittieri","Virola.multiflora","Virola.sebifera","Virola.surinamensis","Vismia.baccifera","Vochysia.ferruginea","Xylopia.macrantha","Zanthoxylum.ekmanii","Zanthoxylum.juniperinum","Zanthoxylum.panamense","Zanthoxylum.setulosum","Zuelania.guidonia"
"1",0,0,0,0,0,0,6,0,0,24,0,0,0,2,14,1,0,0,4,1,0,5,4,0,0,0,1,0,0,1,4,0,47,0,0,0,0,0,0,1,0,0,4,0,0,0,4,20,2,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,4,13,0,1,0,0,0,0,0,1,0,3,0,2,2,0,1,10,23,2,11,0,7,1,1,1,23,0,1,0,2,0,0,0,0,0,0,1,0,3,1,0,1,2,1,0,0,0,0,0,0,4,28,0,1,0,1,4,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,19,1,1,0,0,0,0,0,1,0,4,1,35,13,7,0,7,0,10,4,3,14,0,1,0,4,6,0,2,0,0,0,13,9,1,2,13,0,2,0,1,4,1,0,1,0,0,1,15,5,1,0,0,0,2,0,2,0,0,1,0,1,0,18,38,2,0,0,0,0,18,4,0,0,1,1,0,4,0,0
"2",0,0,0,0,0,0,2,0,0,24,0,0,0,0,16,0,1,2,1,0,2,6,0,0,1,0,1,0,0,2,0,0,42,0,0,0,0,0,0,0,0,0,2,0,0,0,2,17,9,0,0,0,0,0,1,3,2,0,0,2,0,0,0,0,1,0,0,3,27,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,22,39,4,2,0,13,0,5,0,15,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,4,0,0,3,0,0,0,0,0,5,36,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,0,0,1,3,25,15,4,0,6,0,13,5,0,11,0,0,0,0,13,0,1,0,0,0,8,1,0,0,23,0,2,1,1,0,1,5,5,1,0,3,5,2,0,0,0,0,10,0,0,0,2,1,0,0,2,24,28,0,1,2,5,1,10,4,0,0,1,5,0,4,0,0
"3",0,0,0,1,0,0,3,0,0,21,0,0,0,1,6,3,0,2,0,0,0,9,3,0,0,0,1,0,0,0,1,0,35,0,0,1,0,0,0,1,0,0,2,0,0,0,5,33,10,0,0,0,0,0,0,9,3,1,5,0,0,0,0,0,1,0,1,7,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,13,34,0,0,0,3,0,4,0,5,0,0,0,6,1,0,2,0,0,1,0,0,5,0,0,9,0,0,0,2,0,0,0,0,4,36,1,9,0,0,1,0,3,0,0,0,1,0,1,1,0,0,1,1,1,2,8,0,0,0,0,0,0,1,0,0,4,2,49,31,2,1,2,0,12,1,1,6,0,0,0,0,17,0,0,0,1,0,15,1,0,4,30,0,1,0,0,1,1,0,2,1,1,1,4,9,0,0,1,0,12,0,0,1,0,2,1,0,0,23,28,0,0,0,20,0,12,3,0,0,0,6,4,4,0,0
"4",0,1,0,1,13,0,18,0,0,33,0,0,0,1,4,1,3,9,0,0,0,6,2,0,0,0,0,0,0,0,1,0,45,0,0,1,0,0,0,2,0,0,1,0,0,0,9,32,8,0,13,1,1,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,42,0,0,0,0,0,2,0,0,6,0,0,0,0,0,3,1,25,2,0,0,14,0,5,0,3,0,0,0,9,0,0,0,2,0,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,5,34,0,10,0,0,0,2,0,0,0,0,0,0,2,1,0,0,1,4,3,2,23,0,0,0,0,0,0,0,0,0,0,0,30,15,0,0,3,0,7,3,3,14,0,0,0,2,8,0,5,0,0,0,9,2,1,1,7,0,1,0,1,3,0,1,3,0,0,1,12,4,0,0,0,0,7,0,0,0,0,0,2,0,2,36,27,0,0,3,5,0,22,4,0,0,0,13,0,6,0,1
"5",0,0,0,0,1,1,5,0,1,15,0,0,2,0,6,0,0,3,0,0,0,4,2,0,1,0,4,0,0,0,5,0,68,2,0,1,3,0,0,0,0,0,12,0,3,0,1,13,2,0,4,0,0,0,2,5,0,0,0,0,0,0,0,0,2,0,0,4,27,0,1,0,0,0,1,0,0,3,0,0,1,4,1,2,10,21,0,3,0,12,1,6,0,4,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,4,4,3,2,0,1,1,0,0,1,35,0,14,1,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,20,14,0,0,0,0,0,0,1,0,1,2,0,26,32,0,0,4,0,0,9,0,1,0,0,0,1,12,0,0,0,3,0,7,0,0,3,50,0,0,0,4,6,0,3,0,0,0,5,16,0,0,0,1,0,8,0,0,0,0,3,1,0,0,11,27,3,0,3,1,0,27,4,0,0,0,2,0,2,0,0
"6",0,0,0,0,0,0,2,3,0,13,0,0,0,0,12,0,0,2,0,1,0,5,2,1,1,0,2,0,0,1,5,0,28,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,9,2,0,0,0,0,1,2,0,0,0,0,0,1,5,2,0,1,0,3,14,0,0,0,0,1,0,0,1,1,0,0,3,0,0,5,6,26,0,0,0,2,2,8,0,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,2,0,0,0,0,0,0,2,23,0,2,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,2,2,19,1,0,0,0,0,0,0,0,0,0,4,32,18,0,0,5,0,13,1,1,1,0,0,0,3,2,0,10,1,0,1,9,3,0,1,52,0,0,0,0,0,0,11,2,0,3,0,12,1,0,0,0,0,8,0,0,0,0,0,0,0,0,32,40,0,0,1,3,0,19,3,0,0,0,0,0,5,0,2
"7",0,0,0,0,0,1,0,1,1,17,0,0,0,0,6,0,0,2,3,1,0,7,7,0,1,0,2,0,0,0,6,0,25,0,0,0,1,0,0,0,0,0,4,1,0,0,1,4,7,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,45,0,0,1,0,3,0,0,1,0,0,1,1,0,0,5,7,30,0,8,0,4,1,3,0,9,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,3,4,6,0,0,0,0,0,1,5,32,0,4,0,1,1,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,29,0,0,1,2,0,0,2,0,0,5,3,29,7,0,0,6,0,10,0,0,4,0,0,0,3,18,0,11,0,1,0,12,1,0,1,27,0,0,0,0,6,2,8,0,0,0,4,4,4,0,0,0,0,7,0,0,0,0,0,0,0,0,24,36,0,0,0,4,0,8,0,0,0,0,3,0,0,0,0
"8",0,0,0,0,0,0,1,0,0,15,0,0,0,0,4,0,0,0,2,0,0,9,4,0,3,0,3,0,0,0,0,0,38,1,0,1,0,0,0,1,0,0,1,0,0,2,1,8,5,0,4,0,0,0,2,8,0,0,2,0,0,0,0,1,0,0,4,6,27,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,7,36,10,1,0,8,0,7,1,14,1,0,0,5,0,0,2,0,0,0,0,0,0,0,2,7,0,1,1,2,0,0,0,0,2,42,0,9,0,0,1,3,2,1,0,0,0,0,1,0,0,3,0,0,1,0,19,0,0,1,0,0,0,0,0,0,0,2,23,14,0,0,5,0,1,1,6,4,0,0,0,1,8,0,4,1,0,0,9,0,0,6,26,0,0,0,3,0,0,4,0,1,0,0,9,0,0,0,0,0,6,0,1,0,0,4,0,0,0,37,23,0,0,0,2,0,22,3,0,0,0,7,0,4,0,0
"9",0,2,0,0,3,0,3,1,0,16,0,1,1,0,3,0,0,5,0,0,0,15,2,0,1,0,8,0,0,0,3,0,33,0,0,0,1,0,0,0,0,0,3,0,1,0,0,14,0,3,1,0,0,0,6,4,0,0,1,0,0,0,0,3,0,0,4,2,30,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,4,32,1,3,0,2,0,2,0,6,0,0,0,3,1,0,0,2,0,1,0,0,3,0,2,6,0,0,1,0,0,0,0,2,2,38,0,8,0,0,0,0,0,1,0,0,1,0,3,0,0,0,2,2,0,1,17,0,0,0,0,0,10,2,0,0,1,1,37,6,3,1,4,0,1,3,0,3,0,0,0,2,5,0,2,0,0,0,15,0,1,0,11,0,0,0,0,1,0,4,0,1,0,0,10,3,0,0,0,0,4,0,0,0,0,3,0,0,0,71,39,0,0,0,3,0,5,1,0,0,0,8,2,3,0,0
"10",0,0,0,0,0,2,4,0,0,15,0,0,2,0,9,0,1,0,0,0,0,12,8,0,0,0,5,0,0,0,0,0,46,0,0,0,0,0,0,0,1,0,4,0,0,0,2,7,6,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,6,0,0,4,42,0,1,0,0,0,0,0,0,0,3,1,0,4,0,5,1,32,3,3,0,7,0,3,0,7,0,0,0,5,0,0,1,3,0,0,0,1,0,0,0,9,2,1,0,2,0,0,0,2,4,36,0,7,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,3,5,18,0,0,0,0,0,8,0,0,0,0,0,22,26,0,0,0,1,0,9,1,6,0,0,0,0,15,0,0,0,0,0,22,0,2,2,11,0,1,0,2,3,0,1,0,0,0,0,8,2,0,0,0,0,5,0,0,0,0,1,0,0,0,43,30,0,4,0,6,2,12,6,0,0,2,9,7,1,0,0
