"","Acacia.melanoceras","Acalypha.diversifolia","Acalypha.macrostachya","Adelia.triloba","Aegiphila.panamensis","Alchornea.costaricensis","Alchornea.latifolia","Allophylus.psilospermus","Alseis.blackiana","Amaioua.corymbosa","Anacardium.excelsum","Andira.inermis","Annona.spraguei","Apeiba.aspera","Apeiba.tibourbou","Aspidosperma.cruenta","Astrocaryum.standleyanum","Astronium.graveolens","Attalea.butyracea","Banara.guianensis","Beilschmiedia.pendula","Brosimum.alicastrum","Brosimum.guianense","Calophyllum.longifolium","Casearia.aculeata","Casearia.arborea","Casearia.commersoniana","Casearia.guianensis","Casearia.sylvestris","Cassipourea.elliptica","Cavanillesia.platanifolia","Cecropia.insignis","Cecropia.obtusifolia","Cedrela.odorata","Ceiba.pentandra","Celtis.schippii","Cespedezia.macrophylla","Chamguava.schippii","Chimarrhis.parviflora","Chlorophora.tinctoria","Chrysochlamys.eclipes","Chrysophyllum.argenteum","Chrysophyllum.cainito","Coccoloba.coronata","Coccoloba.manzanillensis","Cordia.alliodora","Cordia.bicolor","Cordia.lasiocalyx","Coussarea.curvigemmia","Croton.billbergianus","Cupania.cinerea","Cupania.latifolia","Cupania.rufescens","Cupania.sylvatica","Dendropanax.arboreus","Desmopsis.panamensis","Diospyros.artanthifolia","Dipteryx.panamensis","Drypetes.standleyi","Elaeis.oleifera","Enterolobium.schomburgkii","Erythrina.costaricensis","Erythroxylum.macrophyllum","Eugenia.coloradensis","Eugenia.galalonensis","Eugenia.nesiotica","Eugenia.oerstedeana","Faramea.occidentalis","Ficus.costaricana","Ficus.insipida","Ficus.maxima","Ficus.obtusifolia","Ficus.popenoei","Ficus.tonduzii","Ficus.trigonata","Ficus.yoponensis","Garcinia.intermedia","Garcinia.madruno","Genipa.americana","Guapira.standleyana","Guarea.fuzzy","Guarea.grandifolia","Guarea.guidonia","Guatteria.dumetorum","Guazuma.ulmifolia","Guettarda.foliacea","Gustavia.superba","Hampea.appendiculata","Hasseltia.floribunda","Heisteria.acuminata","Heisteria.concinna","Hirtella.americana","Hirtella.triandra","Hura.crepitans","Hyeronima.alchorneoides","Inga.acuminata","Inga.cocleensis","Inga.goldmanii","Inga.laurina","Inga.marginata","Inga.nobilis","Inga.oerstediana","Inga.pezizifera","Inga.punctata","Inga.ruiziana","Inga.sapindoides","Inga.spectabilis","Inga.umbellifera","Jacaranda.copaia","Lacistema.aggregatum","Lacmellea.panamensis","Laetia.procera","Laetia.thamnia","Lafoensia.punicifolia","Licania.hypoleuca","Licania.platypus","Lindackeria.laurina","Lonchocarpus.latifolius","Luehea.seemannii","Macrocnemum.roseum","Maquira.costaricana","Margaritaria.nobilis","Marila.laxiflora","Maytenus.schippii","Miconia.affinis","Miconia.argentea","Miconia.elata","Miconia.hondurensis","Mosannona.garwoodii","Myrcia.gatunensis","Myrospermum.frutescens","Nectandra.cissiflora","Nectandra.lineata","Nectandra.purpurea","Ochroma.pyramidale","Ocotea.cernua","Ocotea.oblonga","Ocotea.puberula","Ocotea.whitei","Oenocarpus.mapora","Ormosia.amazonica","Ormosia.coccinea","Ormosia.macrocalyx","Pachira.quinata","Pachira.sessilis","Perebea.xanthochyma","Phoebe.cinnamomifolia","Picramnia.latifolia","Piper.reticulatum","Platymiscium.pinnatum","Platypodium.elegans","Posoqueria.latifolia","Poulsenia.armata","Pourouma.bicolor","Pouteria.fossicola","Pouteria.reticulata","Pouteria.stipitata","Prioria.copaifera","Protium.costaricense","Protium.panamense","Protium.tenuifolium","Pseudobombax.septenatum","Psidium.friedrichsthalianum","Psychotria.grandis","Pterocarpus.rohrii","Quararibea.asterolepis","Quassia.amara","Randia.armata","Sapium.broadleaf","Sapium.glandulosum","Schizolobium.parahyba","Simarouba.amara","Siparuna.guianensis","Siparuna.pauciflora","Sloanea.terniflora","Socratea.exorrhiza","Solanum.hayesii","Sorocea.affinis","Spachea.membranacea","Spondias.mombin","Spondias.radlkoferi","Sterculia.apetala","Swartzia.simplex.var.grandiflora","Swartzia.simplex.var.ochnacea","Symphonia.globulifera","Tabebuia.guayacan","Tabebuia.rosea","Tabernaemontana.arborea","Tachigali.versicolor","Talisia.nervosa","Talisia.princeps","Terminalia.amazonia","Terminalia.oblonga","Tetragastris.panamensis","Tetrathylacium.johansenii","Theobroma.cacao","Thevetia.ahouai","Tocoyena.pittieri","Trattinnickia.aspera","Trema.micrantha","Trichanthera.gigantea","Trichilia.pallida","Trichilia.tuberculata","Triplaris.cumingiana","Trophis.caucana","Trophis.racemosa","Turpinia.occidentalis","Unonopsis.pittieri","Virola.multiflora","Virola.sebifera","Virola.surinamensis","Vochysia.ferruginea","Xylopia.macrantha","Zanthoxylum.ekmanii","Zanthoxylum.juniperinum","Zanthoxylum.panamense","Zanthoxylum.setulosum","Zuelania.guidonia"
"1",0,0,0,0,0,3,0,0,34,0,0,0,0,16,1,0,0,6,0,0,3,4,0,1,0,1,0,0,0,0,0,66,1,0,0,0,0,0,0,0,0,2,0,0,0,1,15,8,0,4,0,1,0,2,0,0,0,2,3,0,0,0,0,1,0,0,3,16,0,0,0,0,0,0,0,3,0,6,0,3,1,0,1,4,46,0,9,0,3,0,4,0,23,0,1,1,5,0,0,1,0,0,0,4,0,0,0,0,5,4,0,0,0,0,0,0,0,7,49,0,4,0,0,2,0,2,0,0,3,0,0,0,0,1,0,0,0,0,3,19,0,0,0,0,0,0,1,0,0,1,4,56,25,10,1,5,0,9,2,2,13,0,0,0,0,7,0,2,0,0,1,22,3,0,2,17,0,1,0,0,1,1,7,0,0,0,2,10,8,0,0,1,0,3,0,0,0,0,3,0,0,0,12,53,1,2,0,2,0,23,5,0,1,3,0,3,0,0
"2",0,0,0,0,1,1,0,0,28,0,0,0,0,10,0,0,1,0,2,0,5,0,0,5,0,0,0,0,1,1,1,66,0,0,2,0,0,1,1,1,0,0,0,0,0,2,15,6,0,5,0,0,0,0,5,0,2,1,1,0,0,0,1,0,0,0,2,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,9,16,54,4,1,0,7,0,8,1,10,0,1,0,5,0,0,2,0,0,0,1,0,0,3,0,12,0,0,2,1,0,0,0,1,8,48,0,3,2,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,3,1,46,22,0,0,7,0,17,3,0,8,0,0,0,1,11,0,2,0,0,0,2,2,0,0,19,0,0,0,1,0,2,3,3,1,0,3,6,1,0,0,0,0,6,0,2,0,2,1,0,0,3,33,55,1,1,1,3,0,9,2,0,0,7,0,5,0,0
"3",0,0,0,0,0,3,0,1,20,1,0,0,1,6,1,0,2,0,0,1,7,2,0,0,0,2,1,0,0,1,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,8,0,0,0,1,0,0,9,2,0,2,1,0,0,0,0,0,0,1,3,48,0,0,0,0,1,4,0,0,1,0,1,0,0,0,2,2,52,0,0,3,4,0,4,0,5,0,0,0,2,1,0,3,2,0,1,0,0,2,0,0,12,0,0,0,1,0,0,0,0,2,66,0,5,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,3,13,0,1,0,0,0,0,2,1,0,8,3,51,22,0,0,0,1,11,3,0,2,0,0,0,0,17,0,1,0,3,0,19,1,0,2,30,0,1,0,0,2,0,0,3,1,4,0,5,4,0,0,0,0,5,0,0,0,0,1,1,0,0,27,51,0,0,1,8,0,13,0,0,0,13,0,3,0,0
"4",0,0,0,5,1,15,0,0,23,0,0,0,0,2,2,2,6,2,0,0,9,5,0,2,0,0,0,0,0,1,0,51,0,0,0,4,0,0,0,0,0,7,0,1,0,7,21,10,0,10,0,1,0,0,0,0,2,0,0,0,0,0,0,7,1,0,1,50,2,0,0,0,0,2,0,0,1,0,0,2,4,0,9,3,50,3,2,0,7,0,8,0,6,0,0,0,4,0,0,6,3,1,0,1,0,0,0,1,3,5,2,0,0,0,0,0,0,10,49,0,6,0,0,2,1,0,0,0,0,0,1,3,1,0,0,2,2,0,1,19,0,0,0,0,0,0,0,0,0,2,0,57,23,0,0,5,0,6,1,1,6,0,0,0,5,12,1,5,0,0,0,6,3,0,2,5,0,1,0,1,5,0,1,3,2,0,1,4,4,1,0,0,0,9,0,1,0,0,0,4,0,0,34,52,0,1,1,1,0,18,4,0,0,14,1,3,0,1
"5",0,0,0,1,1,2,1,1,14,1,0,1,0,7,0,3,4,0,0,1,6,3,0,1,0,5,0,0,0,6,0,77,1,0,1,4,0,0,0,0,0,6,0,1,0,3,10,5,0,6,0,0,0,2,8,0,0,0,0,0,0,0,0,2,0,0,5,21,0,0,0,0,0,0,1,0,1,1,0,2,5,0,1,9,56,2,5,0,12,3,4,0,5,1,0,0,0,4,2,0,2,0,0,1,0,3,0,0,3,2,3,1,0,1,1,0,0,8,61,0,10,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,20,15,1,0,1,0,0,1,2,0,3,0,1,52,23,2,0,8,1,2,12,1,2,0,0,0,0,16,0,0,0,3,0,4,1,3,2,58,1,0,0,1,6,0,1,0,3,0,0,21,0,1,0,3,0,4,0,4,0,0,2,0,0,0,18,46,1,0,1,2,0,33,2,0,0,4,0,5,0,0
"6",0,0,0,0,1,1,4,0,8,0,0,0,0,14,0,2,1,1,0,0,4,4,0,2,0,1,0,0,4,6,0,41,0,0,0,0,0,0,0,1,0,5,0,0,0,0,6,3,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,3,17,0,0,0,0,0,0,0,2,1,0,1,9,0,0,3,4,48,0,1,0,1,2,9,0,5,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,4,1,2,0,0,1,0,0,0,1,43,0,6,1,0,0,0,0,0,1,2,0,1,0,1,0,0,0,1,3,4,16,0,0,0,0,0,0,0,0,0,1,6,51,17,0,0,2,0,32,2,0,2,0,0,0,0,1,0,10,0,0,2,8,0,0,1,52,0,1,0,0,1,5,10,5,0,1,0,17,0,0,0,0,0,7,0,0,0,1,0,0,0,0,23,50,0,1,0,4,3,18,1,0,0,2,0,4,0,2
"7",0,0,0,0,0,0,0,0,18,0,0,0,0,5,0,0,4,2,1,1,3,9,0,1,0,2,0,0,1,6,0,53,0,0,0,4,0,0,1,0,0,1,1,0,1,1,8,4,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4,7,42,0,0,0,0,1,0,0,0,1,0,1,4,0,0,5,10,55,0,7,0,11,0,2,0,7,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,3,1,7,54,0,2,0,0,1,0,2,0,0,0,0,0,1,0,0,1,1,0,1,0,22,0,0,0,1,0,0,2,0,0,8,3,60,6,0,0,6,0,21,0,0,1,0,0,0,4,27,0,13,0,0,0,14,0,0,0,25,0,0,1,0,6,2,10,8,0,0,0,11,1,0,0,1,1,13,0,0,0,0,0,0,0,0,30,53,0,0,0,3,0,8,4,0,0,2,0,0,0,0
"8",1,0,0,0,1,3,1,0,19,0,2,0,0,5,1,0,0,3,0,0,10,3,0,5,2,4,0,0,0,0,0,53,1,1,0,0,0,0,0,0,0,4,0,1,6,0,10,2,0,3,0,0,0,0,6,0,0,1,0,0,0,0,1,2,0,4,9,36,0,0,0,0,0,0,1,0,2,0,0,1,4,1,0,5,52,3,3,0,5,0,8,0,13,0,0,0,7,1,0,8,2,0,0,0,0,1,0,0,9,0,3,2,1,0,3,0,0,5,49,0,3,0,0,0,0,5,0,0,0,0,0,3,0,0,4,0,0,2,3,26,0,0,0,0,0,0,0,2,0,0,0,44,12,1,0,7,0,5,0,4,8,0,0,0,6,11,0,3,0,1,0,14,0,0,2,23,0,1,2,0,0,1,6,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,4,0,0,0,36,53,1,0,0,4,1,22,0,0,0,6,0,0,0,0
"9",0,0,0,4,0,3,0,0,20,0,0,2,2,4,0,0,2,0,0,1,16,6,0,2,0,4,0,0,0,2,0,52,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,2,0,0,0,0,2,2,0,0,2,1,0,0,0,3,2,1,2,3,43,0,0,0,0,0,0,0,0,1,0,1,4,0,0,2,1,56,1,3,1,2,0,2,0,5,0,0,0,3,0,0,1,1,0,0,0,1,1,0,2,9,0,0,0,1,0,0,0,3,3,40,0,5,0,0,1,0,0,0,0,0,1,0,6,0,0,0,1,0,1,1,13,0,0,0,0,0,8,0,0,0,6,2,56,9,0,0,1,0,1,4,0,3,0,0,0,1,8,0,3,0,0,0,17,0,1,1,18,0,0,0,0,2,2,2,0,3,0,0,6,4,1,1,0,0,8,0,0,0,0,3,0,0,0,51,42,0,0,3,6,1,12,1,0,0,19,1,5,0,0
"10",1,0,0,0,1,5,0,0,17,0,0,0,0,3,0,2,2,0,0,0,11,5,0,0,0,9,0,0,1,1,0,58,3,1,4,0,0,0,0,0,0,1,0,1,0,1,17,5,1,0,0,0,0,0,2,1,0,4,0,0,0,0,2,3,0,0,3,45,0,0,0,0,0,0,0,2,0,1,1,1,1,0,2,4,35,3,4,2,2,0,6,1,6,0,0,0,6,1,1,3,6,1,0,0,0,0,0,2,11,3,0,0,0,0,3,0,3,2,54,0,2,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,1,2,5,15,0,0,0,0,0,7,0,0,0,1,0,64,21,0,0,0,1,0,7,1,4,0,0,0,0,20,0,1,0,0,0,12,0,0,0,18,1,0,0,4,0,0,1,0,0,0,0,7,0,0,0,0,0,8,0,1,0,0,1,0,0,0,53,60,0,2,1,13,1,19,4,0,7,3,10,1,0,0
