"","Acacia.melanoceras","Acalypha.diversifolia","Acalypha.macrostachya","Adelia.triloba","Aegiphila.panamensis","Alchornea.costaricensis","Alchornea.latifolia","Allophylus.psilospermus","Alseis.blackiana","Amaioua.corymbosa","Anacardium.excelsum","Andira.inermis","Annona.spraguei","Apeiba.aspera","Apeiba.tibourbou","Aspidosperma.cruenta","Astrocaryum.standleyanum","Astronium.graveolens","Attalea.butyracea","Banara.guianensis","Beilschmiedia.pendula","Brosimum.alicastrum","Brosimum.guianense","Calophyllum.longifolium","Casearia.aculeata","Casearia.arborea","Casearia.commersoniana","Casearia.guianensis","Casearia.sylvestris","Cassipourea.elliptica","Cavanillesia.platanifolia","Cecropia.insignis","Cecropia.obtusifolia","Cedrela.odorata","Ceiba.pentandra","Celtis.schippii","Cespedezia.macrophylla","Chamguava.schippii","Chimarrhis.parviflora","Chlorophora.tinctoria","Chrysochlamys.eclipes","Chrysophyllum.argenteum","Chrysophyllum.cainito","Coccoloba.coronata","Coccoloba.manzanillensis","Cordia.alliodora","Cordia.bicolor","Cordia.lasiocalyx","Coussarea.curvigemmia","Croton.billbergianus","Cupania.latifolia","Cupania.rufescens","Cupania.sylvatica","Dendropanax.arboreus","Desmopsis.panamensis","Diospyros.artanthifolia","Dipteryx.panamensis","Drypetes.standleyi","Elaeis.oleifera","Enterolobium.schomburgkii","Erythrina.costaricensis","Erythroxylum.macrophyllum","Eugenia.coloradensis","Eugenia.galalonensis","Eugenia.nesiotica","Eugenia.oerstedeana","Faramea.occidentalis","Ficus.costaricana","Ficus.insipida","Ficus.maxima","Ficus.obtusifolia","Ficus.popenoei","Ficus.tonduzii","Ficus.trigonata","Ficus.yoponensis","Garcinia.intermedia","Garcinia.madruno","Genipa.americana","Guapira.standleyana","Guarea.fuzzy","Guarea.grandifolia","Guarea.guidonia","Guatteria.dumetorum","Guazuma.ulmifolia","Guettarda.foliacea","Gustavia.superba","Hampea.appendiculata","Hasseltia.floribunda","Heisteria.acuminata","Heisteria.concinna","Hirtella.americana","Hirtella.triandra","Hura.crepitans","Hyeronima.alchorneoides","Inga.acuminata","Inga.cocleensis","Inga.goldmanii","Inga.laurina","Inga.marginata","Inga.nobilis","Inga.oerstediana","Inga.pezizifera","Inga.punctata","Inga.ruiziana","Inga.sapindoides","Inga.spectabilis","Inga.umbellifera","Jacaranda.copaia","Lacistema.aggregatum","Lacmellea.panamensis","Laetia.procera","Laetia.thamnia","Lafoensia.punicifolia","Licania.hypoleuca","Licania.platypus","Lindackeria.laurina","Lonchocarpus.latifolius","Luehea.seemannii","Macrocnemum.roseum","Maquira.costaricana","Margaritaria.nobilis","Marila.laxiflora","Maytenus.schippii","Miconia.affinis","Miconia.argentea","Miconia.elata","Miconia.hondurensis","Mosannona.garwoodii","Myrcia.gatunensis","Myrospermum.frutescens","Nectandra.cissiflora","Nectandra.lineata","Nectandra.purpurea","Ochroma.pyramidale","Ocotea.cernua","Ocotea.oblonga","Ocotea.puberula","Ocotea.whitei","Oenocarpus.mapora","Ormosia.amazonica","Ormosia.coccinea","Ormosia.macrocalyx","Pachira.quinata","Pachira.sessilis","Perebea.xanthochyma","Phoebe.cinnamomifolia","Picramnia.latifolia","Piper.reticulatum","Platymiscium.pinnatum","Platypodium.elegans","Posoqueria.latifolia","Poulsenia.armata","Pourouma.bicolor","Pouteria.fossicola","Pouteria.reticulata","Pouteria.stipitata","Prioria.copaifera","Protium.costaricense","Protium.panamense","Protium.tenuifolium","Pseudobombax.septenatum","Psidium.friedrichsthalianum","Psychotria.grandis","Pterocarpus.rohrii","Quararibea.asterolepis","Quassia.amara","Randia.armata","Sapium.broadleaf","Sapium.glandulosum","Schizolobium.parahyba","Simarouba.amara","Siparuna.guianensis","Siparuna.pauciflora","Sloanea.terniflora","Socratea.exorrhiza","Solanum.hayesii","Sorocea.affinis","Spachea.membranacea","Spondias.mombin","Spondias.radlkoferi","Sterculia.apetala","Swartzia.simplex.var.grandiflora","Swartzia.simplex.var.ochnacea","Symphonia.globulifera","Tabebuia.guayacan","Tabebuia.rosea","Tabernaemontana.arborea","Tachigali.versicolor","Talisia.nervosa","Talisia.princeps","Terminalia.amazonia","Terminalia.oblonga","Tetragastris.panamensis","Tetrathylacium.johansenii","Theobroma.cacao","Thevetia.ahouai","Tocoyena.pittieri","Trattinnickia.aspera","Trema.micrantha","Trichanthera.gigantea","Trichilia.pallida","Trichilia.tuberculata","Triplaris.cumingiana","Trophis.caucana","Trophis.racemosa","Turpinia.occidentalis","Unonopsis.pittieri","Virola.multiflora","Virola.sebifera","Virola.surinamensis","Vochysia.ferruginea","Xylopia.macrantha","Zanthoxylum.ekmanii","Zanthoxylum.juniperinum","Zanthoxylum.panamense","Zanthoxylum.setulosum","Zuelania.guidonia"
"1",0,0,0,0,0,0,0,1,19,0,0,0,0,12,0,0,0,4,0,0,7,4,0,0,0,2,0,0,3,5,0,84,0,0,0,0,1,0,0,0,1,7,1,1,0,7,11,12,0,2,0,1,3,0,0,1,0,4,0,0,1,0,0,3,1,5,14,0,0,2,0,0,0,0,0,0,1,0,6,2,0,0,7,43,0,11,0,10,0,3,0,27,0,0,0,1,0,0,0,0,0,0,5,0,5,0,0,8,0,0,0,0,0,0,0,0,11,77,1,6,0,1,1,0,3,0,0,1,2,1,0,0,2,1,0,0,0,0,25,0,1,0,0,0,0,1,0,0,1,2,62,34,7,0,7,1,5,2,1,11,0,0,0,0,13,0,2,0,0,0,19,0,1,2,17,0,0,0,1,1,1,2,0,0,0,0,9,12,0,1,2,0,8,0,0,0,0,4,0,0,0,25,64,3,1,0,0,0,16,5,0,1,3,0,6,0,0
"2",0,1,0,0,0,1,0,0,24,0,0,1,0,5,0,0,1,0,0,0,9,0,0,1,0,1,0,0,1,0,0,61,0,1,2,0,0,0,0,0,0,1,0,0,0,2,11,5,0,4,0,0,3,2,0,3,0,1,1,0,0,1,1,0,1,1,30,0,0,0,0,0,0,0,0,1,0,0,1,2,0,5,15,53,6,6,0,8,0,4,0,19,0,3,0,3,0,0,0,0,0,1,0,0,0,3,0,10,0,0,1,0,0,0,0,0,8,61,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,20,0,0,0,0,0,2,2,0,0,4,1,51,18,3,0,4,0,16,4,0,11,0,0,0,0,10,0,2,0,0,0,2,2,0,0,15,0,0,0,1,1,4,4,3,0,0,1,6,1,0,0,0,0,4,0,0,0,1,0,0,0,1,28,63,0,1,1,8,0,13,2,0,0,4,0,3,0,0
"3",0,0,0,0,0,2,0,0,22,1,0,0,1,7,2,0,0,1,0,0,6,6,0,0,0,4,0,0,0,0,0,65,0,1,0,0,0,0,0,0,1,1,0,0,0,4,35,4,0,0,0,1,0,8,4,0,0,1,0,2,0,1,0,0,1,8,35,0,0,0,1,0,3,0,0,0,1,0,0,0,0,4,7,55,2,0,0,4,1,1,0,11,1,0,0,3,2,0,1,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,1,1,66,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,2,9,0,0,1,0,0,1,2,0,0,5,1,63,21,0,0,7,0,14,2,1,1,0,0,0,0,13,0,2,0,1,0,10,2,1,2,25,0,2,0,0,4,1,0,5,1,0,0,6,7,0,0,0,1,7,0,0,1,1,1,0,0,0,28,65,0,0,0,14,0,6,1,0,2,11,2,2,0,0
"4",0,0,0,3,0,32,0,0,16,0,0,0,0,3,2,0,3,3,0,0,7,6,0,2,0,2,0,0,0,0,0,77,0,0,0,1,0,0,0,0,0,2,0,4,0,5,26,11,1,9,3,0,0,0,0,0,0,1,0,1,0,1,5,0,0,2,36,0,0,0,0,0,3,0,0,1,0,0,1,0,0,2,2,58,2,1,0,9,0,8,0,2,0,1,0,4,0,0,2,2,0,0,0,0,2,3,3,6,1,1,0,0,0,0,0,0,8,79,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,3,1,2,3,22,0,0,0,0,0,0,0,0,0,1,1,74,15,0,0,4,0,6,3,8,10,0,0,0,2,12,0,6,0,0,0,3,4,0,5,9,0,0,0,2,3,0,0,4,2,0,1,12,1,0,0,0,0,12,0,0,0,0,0,1,0,2,26,47,0,0,1,4,0,15,3,0,0,6,1,8,0,1
"5",0,0,0,0,1,2,0,3,16,0,0,0,0,4,0,0,6,0,0,0,6,4,0,0,1,2,2,0,0,4,0,83,1,0,5,3,0,0,0,1,0,3,0,1,0,1,14,6,0,4,1,0,3,6,0,0,0,0,0,0,0,1,2,0,0,2,22,0,0,0,0,0,2,0,0,3,0,0,3,4,0,3,3,61,3,3,0,12,2,1,0,5,0,0,2,0,0,2,0,0,0,0,0,0,5,0,0,2,1,2,0,0,0,0,0,1,2,51,0,11,2,0,1,0,1,0,0,4,1,0,1,1,0,0,0,0,0,13,24,0,0,0,0,0,2,0,0,2,1,0,59,24,0,1,4,0,3,4,3,1,0,0,0,1,10,0,1,0,3,0,8,0,2,2,58,1,0,0,0,4,0,2,2,3,0,4,12,0,2,0,0,0,8,0,1,0,0,1,3,0,0,15,59,2,0,2,4,0,36,4,0,0,1,1,0,0,0
"6",1,0,0,1,0,1,0,0,18,0,0,1,0,7,0,1,1,1,1,0,7,3,0,3,0,1,0,0,1,5,0,72,0,0,0,0,0,0,0,0,0,3,0,0,0,2,9,4,1,0,0,0,0,1,0,0,0,0,1,0,3,2,0,0,0,1,19,0,0,0,0,0,0,0,0,2,0,0,4,0,0,4,4,59,1,2,0,2,1,4,0,6,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,1,0,0,0,61,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,5,24,0,0,0,0,0,0,0,0,1,2,2,51,17,0,0,6,0,36,2,0,2,0,0,0,0,1,0,11,0,1,0,5,2,0,3,40,0,3,0,0,0,0,12,3,0,0,1,16,1,0,0,2,0,15,1,0,0,0,0,0,0,0,35,59,0,0,0,7,2,17,0,0,0,1,0,1,0,2
"7",0,0,0,0,1,0,1,0,14,0,0,1,0,7,0,0,4,2,2,0,1,9,0,0,0,2,0,0,2,3,0,70,0,0,0,1,0,0,0,0,0,3,2,0,0,2,6,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,11,4,36,0,0,1,0,0,0,0,0,1,1,3,2,1,0,7,0,60,0,8,0,3,0,0,0,8,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,6,0,4,0,0,0,0,0,1,7,63,0,3,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,21,0,1,1,1,0,0,1,0,0,5,3,74,8,0,1,6,0,14,0,0,3,0,0,0,2,20,0,22,1,0,0,15,2,0,0,29,1,0,0,0,8,2,11,6,0,0,0,6,4,1,0,0,0,7,0,0,0,1,0,0,0,1,37,60,0,1,0,3,0,12,1,0,0,3,0,1,0,0
"8",0,0,1,0,0,0,0,0,14,0,0,0,0,2,1,0,0,0,0,0,11,6,0,4,0,2,0,2,0,0,0,65,3,0,2,0,0,0,0,1,0,0,0,1,1,0,10,3,0,5,1,0,2,2,0,0,2,0,0,0,0,3,0,1,5,4,40,0,0,0,0,0,1,0,0,6,0,0,0,1,1,0,3,53,3,5,0,4,1,9,1,16,1,0,0,9,1,0,3,1,0,0,0,0,2,0,5,8,0,1,2,0,0,1,0,0,1,68,0,5,0,0,0,1,6,0,0,0,0,2,2,0,0,4,0,0,1,2,23,0,0,1,0,0,0,0,0,0,0,5,45,12,2,1,5,0,6,0,3,8,0,0,0,1,10,0,4,0,0,0,11,0,0,2,27,0,0,0,1,0,0,7,0,3,0,0,11,0,1,0,1,1,12,0,0,0,0,0,0,0,0,33,63,0,0,1,0,0,18,1,1,1,5,0,5,0,0
"9",0,0,0,6,0,2,0,1,15,0,0,2,0,7,0,0,3,0,0,0,11,2,0,1,0,7,2,0,0,1,0,50,0,0,0,0,0,0,0,0,0,2,0,3,0,0,14,0,0,1,0,1,1,2,0,0,1,0,0,0,0,2,0,0,3,4,27,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,73,1,3,2,2,0,1,0,10,0,2,0,2,1,0,0,3,0,0,0,2,0,0,1,7,0,0,0,0,0,0,0,1,2,60,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,19,0,0,0,1,0,8,0,0,0,2,2,64,5,0,1,3,0,0,5,0,6,0,0,0,3,5,0,1,0,0,0,16,1,2,0,20,0,0,0,0,1,0,4,0,1,1,0,10,2,0,1,0,0,7,0,0,0,0,1,0,0,0,58,45,1,0,0,6,0,24,1,0,1,9,2,3,0,0
"10",0,0,1,0,0,4,0,0,10,0,0,0,0,5,0,3,0,0,0,1,16,7,0,0,0,6,0,0,0,0,0,69,2,0,0,0,0,0,0,0,0,1,0,0,0,3,9,3,1,0,0,0,0,6,2,1,2,0,0,0,0,2,0,0,0,3,28,0,0,0,0,0,0,0,1,0,0,1,1,1,0,5,2,59,2,3,0,4,0,5,0,10,0,0,0,5,2,0,1,4,0,0,0,1,0,0,0,11,4,0,0,0,0,0,1,1,5,61,0,4,0,0,0,2,0,0,0,2,0,0,4,0,0,1,0,0,4,4,20,0,0,0,0,0,4,0,0,0,0,0,77,34,0,0,0,2,1,10,1,7,0,0,0,0,13,0,0,0,0,0,21,0,0,3,15,1,2,0,9,0,0,0,0,0,0,0,12,0,0,0,0,0,6,0,0,0,0,1,0,1,0,49,68,0,3,1,6,0,17,2,0,6,11,16,3,0,0
"11",0,0,0,0,1,8,0,0,9,0,2,0,1,2,0,0,5,0,0,0,3,5,0,0,0,2,0,1,0,0,0,70,0,0,4,0,0,0,0,1,0,3,1,0,0,4,5,10,0,0,0,0,0,5,0,1,0,6,0,1,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0,1,1,0,0,4,0,5,3,62,1,5,0,7,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,1,1,0,0,2,0,5,48,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,3,18,0,0,0,0,0,0,1,2,1,1,1,59,15,3,0,5,3,22,3,0,4,1,0,0,1,17,0,10,0,0,0,10,0,0,0,4,0,3,0,0,1,0,6,4,0,0,0,2,2,0,1,0,0,11,0,0,0,0,0,1,0,1,50,51,0,0,1,3,0,6,3,0,2,3,1,0,0,0
"12",0,1,0,0,0,3,0,1,20,0,0,0,0,2,0,0,1,1,0,0,1,4,0,0,0,2,0,0,1,0,1,76,3,0,0,2,0,0,0,0,2,1,0,0,1,0,4,6,2,2,0,1,2,1,0,0,0,1,0,0,0,1,1,0,0,1,43,0,0,0,0,1,2,0,0,7,0,0,2,1,0,2,5,65,0,2,2,0,1,9,0,9,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,1,1,0,0,0,0,0,0,2,43,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,21,0,0,1,0,0,0,1,0,0,0,0,67,15,0,0,1,0,26,1,0,8,1,0,0,1,8,0,1,0,1,0,9,0,0,3,5,0,0,0,1,1,0,11,10,2,0,0,7,1,0,1,0,0,10,0,0,0,0,1,1,0,1,45,69,0,0,1,0,1,4,3,1,0,1,0,0,0,0
"13",0,0,1,3,1,2,0,0,6,0,0,1,1,2,1,0,13,0,5,0,0,5,0,0,1,0,0,0,1,11,0,69,2,0,3,0,1,0,0,0,0,4,0,3,3,5,0,7,9,10,0,0,3,5,0,0,0,0,3,0,0,0,4,0,3,11,38,0,0,0,0,0,0,0,0,2,0,2,6,0,0,4,0,51,2,8,0,3,0,5,0,10,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,5,52,0,4,0,0,0,0,3,0,0,0,1,0,0,0,0,0,7,0,4,0,7,0,0,0,0,0,0,0,0,0,3,3,50,0,0,0,5,0,7,0,1,1,0,3,0,2,0,0,26,0,0,0,2,0,0,0,1,0,0,0,15,3,3,3,3,0,1,9,9,3,1,0,5,1,5,0,0,0,0,0,0,0,13,40,71,0,0,1,0,0,0,0,4,0,5,3,0,0,0
