time			temp
0:1:20			12.8
0:1:30			14.8
0:1:40			13
0:1:50			13.4
0:2:0			13.6
0:2:10			13.3
0:2:20			12.3
0:2:30			12.4
0:2:40			12.4
0:2:50			12.5
0:3:0			11.3
0:3:10			12
0:3:20			11.2
0:3:30			11.2
0:3:40			10.9
0:3:50			10.9
0:4:0			11
0:4:10			10.2
0:4:20			9.3
0:4:30			9.3
0:4:40			10.8
0:4:50			10.5
0:5:0			11.3
0:5:10			11.5
0:5:20			9.5
0:5:30			10.6
0:5:40			10.2
0:5:50			11
0:6:0			10.9
0:6:10			10.9
0:6:20			12.2
0:6:30			11.6
0:6:40			11.8
0:6:50			12.4
0:7:0			12.3
0:7:10			12.3
0:7:20			12.3
0:7:30			13.5
0:7:40			12.9
0:7:50			12.7
0:8:0			12.9
0:8:10			13.9
0:8:20			14
0:8:30			14.3
0:8:40			14.2
0:8:50			14.9
0:9:0			15.9
0:9:10			16.7
0:9:20			16.4
0:9:30			16.2
0:9:40			17.8
0:9:50			17.8
0:10:0			17.5
0:10:10			17.4
0:10:20			18.1
0:10:30			18.5
0:10:40			18.8
0:10:50			20
0:11:0			20.2
0:11:10			19.8
0:11:20			21.1
0:11:30			18.6
0:11:40			20.2
0:11:50			20.4
0:12:0			20.8
0:12:10			20.2
0:12:20			21.1
0:12:30			21
0:12:40			21.8
0:12:50			22.5
0:13:0			21.6
0:13:10			22.7
0:13:20			23.2
0:13:30			23.3
0:13:40			22.8
0:13:50			23.9
0:14:0			24
0:14:10			24.5
0:14:20			24.1
0:14:30			24.9
0:14:40			23.9
0:14:50			24.7
0:15:0			25.1
0:15:10			25.6
0:15:20			25.9
0:15:30			25
0:15:40			24.3
0:15:50			25.9
0:16:0			25.3
0:16:10			24.9
0:16:20			25.5
0:16:30			24.7
0:16:40			25.3
0:16:50			25.4
0:17:0			25
0:17:10			25.4
0:17:20			24.5
0:17:30			25
0:17:40			24.3
0:17:50			24.4
0:18:0			23.5
0:18:10			24.1
0:18:20			23.3
0:18:30			22.7
0:18:40			22.6
0:18:50			22.6
0:19:0			22.3
0:19:10			22.4
0:19:20			22.2
0:19:30			22.5
0:19:40			21.9
0:19:50			22.2
0:20:0			21.8
0:20:10			21.6
0:20:20			21.2
0:20:30			21.1
0:20:40			19.7
0:20:50			20.6
0:21:0			21.1
0:21:10			19.5
0:21:20			19.2
0:21:30			19.9
0:21:40			18.6
0:21:50			18.3
0:22:0			18.8
0:22:10			18.6
0:22:20			17.4
0:22:30			17.4
0:22:40			16.9
0:22:50			17.3
0:23:0			17.6
0:23:10			16.7
0:23:20			17.5
0:23:30			15.9
0:23:40			15.9
0:23:50			15.9
1:0:0			16.2
1:0:10			15.4
1:0:20			16.3
1:0:30			14.3
1:0:40			14.8
1:0:50			13.8
1:1:0			14.9
1:1:10			13.4
1:1:20			13.2
1:1:30			12.3
1:1:40			12.8
1:1:50			12
1:2:0			11.8
1:2:10			11.5
1:2:20			10.9
1:2:30			10
1:2:40			10.3
1:2:50			10.3
1:3:0			10.2
1:3:10			9.5
1:3:20			9.8
1:3:30			11.5
1:3:40			10.9
1:3:50			11.5
1:4:0			10.8
1:4:10			10.9
1:4:20			9.9
1:4:30			10
1:4:40			10
1:4:50			10.9
1:5:0			10.2
1:5:10			10.6
1:5:20			10
1:5:30			11.2
1:5:40			11.2
1:5:50			10.5
1:6:0			11.5
1:6:10			10.8
1:6:20			10.8
1:6:30			10.8
1:6:40			12.3
1:6:50			10.9
1:7:0			12.2
1:7:10			11.8
1:7:20			13.6
1:7:30			12.3
1:7:40			12.7
1:7:50			12
1:8:0			13.9
1:8:10			13
1:8:20			13.3
1:8:30			13.9
1:8:40			13.9
1:8:50			15
1:9:0			14.5
1:9:10			15.8
1:9:20			16.3
1:9:30			16.2
1:9:40			15.7
1:9:50			15.1
1:10:0			16.5
1:10:10			16.5
1:10:20			16.8
1:10:30			17.4
1:10:40			17.5
1:10:50			17.4
1:11:0			16.6
1:11:10			17.7
1:11:20			17.5
1:11:30			17.8
1:11:40			18.1
1:11:50			18.7
1:12:0			18
1:12:10			19.4
1:12:20			17.8
1:12:30			19.3
1:12:40			20.7
1:12:50			20.2
1:13:0			21.5
1:13:10			21.8
1:13:20			20.9
1:13:30			21.8
1:13:40			22.3
1:13:50			21.9
1:14:0			22.9
1:14:10			22.9
1:14:20			22.1
1:14:30			22.9
1:14:40			23.8
1:14:50			23.2
1:15:0			23.5
1:15:10			23.8
1:15:20			23.5
1:15:30			23.6
1:15:40			23.5
1:15:50			23.1
1:16:0			23.8
1:16:10			23.1
1:16:20			23.4
1:16:30			24.4
1:16:40			23.9
1:16:50			22.8
1:17:0			24.5
1:17:10			23.9
1:17:20			23.4
1:17:30			22.8
1:17:40			21.9
1:17:50			22.7
1:18:0			22.6
1:18:10			22
1:18:20			22.2
1:18:30			23.1
1:18:40			21.8
1:18:50			21.7
1:19:0			21.8
1:19:10			21.9
1:19:20			21.3
1:19:30			20.3
1:19:40			20.8
1:19:50			22
1:20:0			20.9
1:20:10			20.8
1:20:20			19.8
1:20:30			20.2
1:20:40			20.5
1:20:50			19
1:21:0			19.3
1:21:10			18.3
1:21:20			17.9
1:21:30			17.7
1:21:40			18
1:21:50			17.7
1:22:0			17.4
1:22:10			16.7
1:22:20			15.4
1:22:30			15.6
1:22:40			14.7
1:22:50			13.5
1:23:0			12.9
1:23:10			13.4
1:23:20			11.9
1:23:30			12.8
1:23:40			12.4
1:23:50			12.4
2:0:0			12.6
2:0:10			12
2:0:20			12.1
2:0:30			11.7
2:0:40			12.2
2:0:50			13
2:1:0			10.9
2:1:10			11.2
2:1:20			10.8
2:1:30			10.3
2:1:40			10.1
2:1:50			10
2:2:0			10.1
2:2:10			9.6
2:2:20			10.4
2:2:30			9.7
2:2:40			8.8
2:2:50			10
2:3:0			8.8
2:3:10			8.8
2:3:20			9.6
2:3:30			8.1
2:3:40			9.2
2:3:50			8.5
2:4:0			8.7
2:4:10			8.5
2:4:20			7.4
2:4:30			9.1
2:4:40			8.8
2:4:50			8.5
2:5:0			9.6
2:5:10			10.3
2:5:20			8.5
2:5:30			8.8
2:5:40			8.7
2:5:50			9.7
2:6:0			9.9
2:6:10			10.1
2:6:20			10.4
2:6:30			10.9
2:6:40			10.5
2:6:50			10.5
2:7:0			11.2
2:7:10			10.3
2:7:20			10.3
2:7:30			12
2:7:40			12.3
2:7:50			13.3
