"","x","y"
"1",150,200
"2",225,200
"3",300,200
"4",375,200
"5",450,200
"6",525,200
"7",600,200
"8",675,200
"9",750,200
"10",825,200
"11",150,280
"12",225,280
"13",300,280
"14",375,280
"15",450,280
"16",525,280
"17",600,280
"18",675,280
"19",750,280
"20",825,280
"21",150,360
"22",225,360
"23",300,360
"24",375,360
"25",450,360
"26",525,360
"27",600,360
"28",675,360
"29",750,360
"30",825,360
"31",150,440
"32",225,440
"33",300,440
"34",375,440
"35",450,440
"36",525,440
"37",600,440
"38",675,440
"39",750,440
"40",825,440
"41",150,520
"42",225,520
"43",300,520
"44",375,520
"45",450,520
"46",525,520
"47",600,520
"48",675,520
"49",750,520
"50",825,520
"51",150,600
"52",225,600
"53",300,600
"54",375,600
"55",450,600
"56",525,600
"57",600,600
"58",675,600
"59",750,600
"60",825,600
"61",150,680
"62",225,680
"63",300,680
"64",375,680
"65",450,680
"66",525,680
"67",600,680
"68",675,680
"69",750,680
"70",825,680
"71",150,760
"72",225,760
"73",300,760
"74",375,760
"75",450,760
"76",525,760
"77",600,760
"78",675,760
"79",750,760
"80",825,760
"81",150,840
"82",225,840
"83",300,840
"84",375,840
"85",450,840
"86",525,840
"87",600,840
"88",675,840
"89",750,840
"90",825,840
"91",150,920
"92",225,920
"93",300,920
"94",375,920
"95",450,920
"96",525,920
"97",600,920
"98",675,920
"99",750,920
"100",825,920
