sim,time,trap.id,nmales,ntrees,type,lure
1,146,30,8544,166,expert1,5
2,120,64,1219,103,expert1,5
3,78,11,251,189,expert1,5
4,147,24,11873,297,expert1,5
5,105,4,377,24,expert1,5
6,122,96,1848,106,expert1,5
7,147,81,2839,50,expert1,5
8,118,66,658,119,expert1,5
9,125,63,1765,99,expert1,5
10,59,37,16,12,expert1,5
11,188,21,2620,99,expert1,5
12,110,89,532,36,expert1,5
13,152,89,2771,66,expert1,5
14,131,4,1075,32,expert1,5
15,124,4,1409,86,expert1,5
16,172,21,2347,63,expert1,5
17,119,89,818,63,expert1,5
18,148,24,5148,193,expert1,5
19,129,1,2285,127,expert1,5
20,119,66,1126,98,expert1,5
21,193,4,3614,168,expert1,5
22,116,66,1154,84,expert1,5
23,96,63,296,26,expert1,5
24,95,34,392,254,expert1,5
25,139,24,1851,96,expert1,5
26,80,37,257,27,expert1,5
27,123,17,1657,117,expert1,5
28,110,37,459,76,expert1,5
29,136,100,1595,133,expert1,5
30,145,1,3535,238,expert1,5
31,144,64,3595,128,expert1,5
32,104,8,318,17,expert1,5
33,101,10,299,15,expert1,5
34,124,40,1144,50,expert1,5
35,161,20,6036,274,expert1,5
36,102,100,317,17,expert1,5
37,132,27,1767,124,expert1,5
38,160,8,2578,55,expert1,5
39,133,37,3203,152,expert1,5
40,112,24,755,93,expert1,5
41,103,20,359,41,expert1,5
42,107,50,1799,384,expert1,5
43,98,12,294,35,expert1,5
44,138,24,4149,179,expert1,5
45,135,48,4612,163,expert1,5
46,87,67,278,16,expert1,5
47,132,77,3076,137,expert1,5
48,160,40,4478,251,expert1,5
49,146,4,3283,68,expert1,5
50,141,35,1971,44,expert1,5
51,135,1,1836,140,expert1,5
52,115,18,1060,104,expert1,5
53,125,89,954,40,expert1,5
54,133,34,2522,123,expert1,5
55,76,1,174,14,expert1,5
56,98,27,395,267,expert1,5
57,134,10,1642,40,expert1,5
58,122,89,1166,36,expert1,5
59,77,81,57,71,expert1,5
60,95,37,313,19,expert1,5
61,106,10,381,18,expert1,5
62,128,1,1427,134,expert1,5
63,134,37,4411,150,expert1,5
64,143,4,2150,47,expert1,5
65,76,47,156,27,expert1,5
66,105,88,1255,410,expert1,5
67,151,63,5200,250,expert1,5
68,152,35,3497,231,expert1,5
69,92,18,358,57,expert1,5
70,153,1,2962,206,expert1,5
71,113,55,564,25,expert1,5
72,112,30,458,38,expert1,5
73,93,37,305,54,expert1,5
74,165,20,3944,131,expert1,5
75,157,48,4140,132,expert1,5
76,100,24,377,66,expert1,5
77,122,48,1691,122,expert1,5
78,88,64,279,39,expert1,5
79,123,16,2338,134,expert1,5
80,191,8,4210,179,expert1,5
81,143,37,4125,155,expert1,5
82,142,48,1984,114,expert1,5
83,140,89,1883,77,expert1,5
84,114,24,604,61,expert1,5
85,77,52,175,31,expert1,5
86,154,24,5885,188,expert1,5
