sim,time,trap.id,nmales,ntrees,type,lure
1,56,63,17,9,grid,50
2,51,37,14,6,grid,50
3,58,55,11,10,grid,50
4,55,53,16,5,grid,50
5,66,70,13,8,grid,50
6,54,59,11,6,grid,50
7,62,79,15,4,grid,50
8,51,28,18,9,grid,50
9,61,69,14,5,grid,50
10,51,39,16,7,grid,50
11,58,83,15,8,grid,50
12,40,27,4,1,grid,50
13,58,27,15,6,grid,50
14,69,38,44,10,grid,50
15,53,63,14,8,grid,50
16,35,62,2,2,grid,50
17,60,47,9,3,grid,50
18,39,18,5,1,grid,50
19,49,98,7,8,grid,50
20,59,26,15,8,grid,50
21,50,90,3,6,grid,50
22,57,53,8,5,grid,50
23,51,91,4,4,grid,50
24,73,82,31,35,grid,50
25,40,52,2,4,grid,50
26,56,62,19,10,grid,50
27,59,51,18,7,grid,50
28,41,68,1,5,grid,50
29,51,63,22,14,grid,50
30,43,69,7,3,grid,50
31,52,19,15,6,grid,50
32,45,48,4,4,grid,50
33,53,37,20,8,grid,50
34,54,72,5,8,grid,50
35,53,48,15,6,grid,50
36,70,43,65,24,grid,50
37,55,38,11,12,grid,50
38,46,28,7,9,grid,50
39,70,53,75,16,grid,50
40,54,69,14,4,grid,50
41,69,6,50,14,grid,50
42,69,69,50,17,grid,50
43,40,60,4,3,grid,50
44,50,39,16,8,grid,50
45,55,40,13,4,grid,50
46,59,52,14,13,grid,50
47,53,26,16,7,grid,50
48,46,79,4,5,grid,50
49,50,63,11,5,grid,50
50,57,19,11,12,grid,50
51,48,30,7,5,grid,50
52,57,51,11,8,grid,50
53,47,48,7,6,grid,50
54,53,73,15,9,grid,50
55,51,68,9,8,grid,50
56,45,79,3,3,grid,50
57,71,20,75,19,grid,50
58,59,68,16,9,grid,50
59,56,46,15,10,grid,50
60,40,26,3,4,grid,50
61,61,80,14,17,grid,50
62,73,69,105,14,grid,50
63,42,28,5,3,grid,50
64,71,70,86,12,grid,50
65,56,79,13,9,grid,50
66,71,62,67,18,grid,50
67,48,68,13,3,grid,50
68,50,26,11,8,grid,50
69,38,59,4,5,grid,50
70,42,26,6,4,grid,50
71,59,62,17,6,grid,50
72,45,27,3,2,grid,50
73,57,62,11,6,grid,50
74,68,69,33,11,grid,50
75,72,89,13,25,grid,50
76,49,38,9,5,grid,50
77,55,38,12,8,grid,50
78,59,38,7,7,grid,50
79,53,27,14,7,grid,50
80,58,80,10,4,grid,50
81,47,70,6,4,grid,50
82,62,58,19,9,grid,50
83,58,68,13,6,grid,50
84,39,38,3,3,grid,50
85,59,26,16,15,grid,50
86,61,58,10,5,grid,50
87,51,44,18,10,grid,50
88,69,62,45,18,grid,50
89,52,62,15,7,grid,50
90,45,63,5,5,grid,50
91,67,59,34,8,grid,50
92,50,69,7,5,grid,50
93,73,36,112,12,grid,50
94,40,59,2,2,grid,50
95,55,68,15,5,grid,50
96,53,52,22,6,grid,50
97,61,69,12,6,grid,50
98,43,49,4,5,grid,50
99,47,54,5,5,grid,50
100,71,69,89,14,grid,50
101,54,70,15,7,grid,50
102,51,41,14,8,grid,50
103,68,69,43,5,grid,50
104,70,26,87,10,grid,50
105,50,69,9,5,grid,50
106,52,41,12,15,grid,50
107,68,69,40,6,grid,50
108,50,36,17,5,grid,50
109,52,18,15,13,grid,50
110,55,68,15,4,grid,50
111,71,48,67,16,grid,50
112,44,32,3,5,grid,50
113,52,29,10,8,grid,50
114,57,50,14,8,grid,50
115,63,59,19,7,grid,50
116,58,69,9,7,grid,50
117,57,59,12,6,grid,50
118,40,39,1,5,grid,50
119,51,69,11,5,grid,50
120,44,79,3,2,grid,50
121,42,68,2,4,grid,50
122,67,69,22,7,grid,50
123,51,69,16,8,grid,50
124,50,69,10,9,grid,50
125,72,62,28,23,grid,50
126,51,30,10,7,grid,50
127,69,36,49,8,grid,50
128,49,28,1,6,grid,50
129,58,60,19,5,grid,50
130,52,35,18,7,grid,50
131,49,37,5,4,grid,50
132,55,38,12,11,grid,50
133,34,69,1,1,grid,50
134,51,63,12,10,grid,50
135,61,59,15,5,grid,50
136,69,69,54,10,grid,50
137,51,37,12,4,grid,50
138,62,52,13,3,grid,50
139,51,29,26,11,grid,50
140,57,62,13,10,grid,50
141,69,59,71,7,grid,50
142,46,100,4,4,grid,50
143,55,18,5,16,grid,50
144,56,39,18,15,grid,50
145,57,72,5,11,grid,50
146,51,70,13,6,grid,50
147,51,79,10,7,grid,50
148,60,67,11,7,grid,50
149,48,24,4,3,grid,50
150,66,47,12,9,grid,50
151,40,37,6,1,grid,50
152,42,82,2,5,grid,50
153,51,59,14,6,grid,50
154,50,39,14,7,grid,50
155,54,79,14,5,grid,50
156,53,25,19,4,grid,50
157,51,28,15,11,grid,50
158,45,8,6,3,grid,50
159,59,18,19,10,grid,50
160,65,15,14,4,grid,50
161,63,8,7,7,grid,50
162,63,38,12,16,grid,50
163,43,62,4,4,grid,50
164,70,92,12,21,grid,50
165,66,69,21,6,grid,50
166,42,69,2,3,grid,50
167,54,53,17,15,grid,50
168,53,29,14,5,grid,50
169,39,59,5,3,grid,50
170,53,92,6,6,grid,50
171,52,70,10,7,grid,50
172,63,49,7,8,grid,50
173,58,72,19,8,grid,50
174,68,69,42,6,grid,50
175,58,71,14,8,grid,50
176,43,72,5,4,grid,50
177,71,17,70,12,grid,50
178,67,67,32,5,grid,50
179,57,28,15,8,grid,50
180,54,68,23,5,grid,50
181,51,62,15,9,grid,50
182,45,28,5,7,grid,50
183,70,69,79,10,grid,50
184,66,79,26,7,grid,50
185,60,73,9,9,grid,50
186,45,81,5,5,grid,50
187,49,59,11,5,grid,50
188,76,62,58,61,grid,50
189,42,72,3,5,grid,50
190,52,59,13,9,grid,50
191,43,27,2,3,grid,50
192,75,72,53,39,grid,50
193,55,28,13,8,grid,50
194,55,69,13,9,grid,50
195,62,45,6,5,grid,50
196,68,62,35,13,grid,50
197,49,38,6,6,grid,50
198,56,38,22,10,grid,50
199,51,69,11,6,grid,50
200,53,28,12,12,grid,50
201,57,78,15,6,grid,50
202,50,69,19,6,grid,50
203,44,69,5,3,grid,50
204,47,69,6,4,grid,50
205,72,62,86,26,grid,50
206,55,38,6,5,grid,50
207,65,44,12,11,grid,50
208,56,73,18,6,grid,50
209,59,61,7,9,grid,50
210,60,42,10,8,grid,50
211,68,69,39,8,grid,50
212,44,49,4,3,grid,50
213,70,100,9,20,grid,50
214,56,26,11,6,grid,50
215,36,28,4,2,grid,50
216,78,72,247,180,grid,50
217,60,39,11,8,grid,50
218,41,81,2,1,grid,50
219,52,26,9,6,grid,50
220,60,48,15,6,grid,50
221,55,59,16,7,grid,50
222,40,72,4,5,grid,50
223,66,17,19,6,grid,50
224,51,51,13,11,grid,50
225,50,69,15,4,grid,50
226,47,79,7,3,grid,50
227,59,60,16,6,grid,50
228,44,72,10,3,grid,50
229,73,69,130,8,grid,50
230,38,26,5,2,grid,50
231,50,28,14,9,grid,50
232,56,62,16,9,grid,50
233,47,36,7,4,grid,50
234,58,15,8,4,grid,50
235,68,69,34,10,grid,50
236,56,26,18,7,grid,50
237,45,72,5,4,grid,50
238,43,59,7,4,grid,50
239,73,82,38,34,grid,50
240,51,28,10,6,grid,50
241,55,48,12,7,grid,50
242,51,62,4,10,grid,50
243,63,59,16,5,grid,50
244,72,28,108,34,grid,50
245,56,90,8,8,grid,50
246,77,83,58,63,grid,50
247,59,59,16,5,grid,50
248,52,69,14,8,grid,50
249,60,27,12,3,grid,50
250,53,68,15,5,grid,50
251,62,48,10,9,grid,50
252,54,28,17,7,grid,50
253,70,49,61,11,grid,50
254,57,70,19,7,grid,50
255,59,38,10,8,grid,50
256,70,69,58,8,grid,50
257,65,69,14,6,grid,50
258,57,49,10,5,grid,50
259,43,60,5,4,grid,50
260,56,29,13,9,grid,50
261,65,28,9,11,grid,50
262,48,78,7,5,grid,50
263,52,29,20,14,grid,50
264,54,21,11,7,grid,50
265,50,79,18,7,grid,50
266,72,26,120,8,grid,50
267,74,90,26,33,grid,50
268,74,69,131,13,grid,50
269,57,45,13,12,grid,50
270,70,53,67,14,grid,50
271,46,36,7,6,grid,50
272,59,62,10,8,grid,50
273,69,26,54,7,grid,50
274,55,52,8,9,grid,50
275,54,60,16,6,grid,50
276,60,37,12,5,grid,50
277,49,66,6,6,grid,50
278,48,72,5,7,grid,50
279,50,56,12,5,grid,50
280,43,23,4,3,grid,50
281,52,79,8,6,grid,50
282,47,26,7,6,grid,50
283,48,59,7,3,grid,50
284,46,27,9,6,grid,50
285,41,70,3,2,grid,50
286,70,38,67,25,grid,50
287,57,70,6,9,grid,50
288,59,72,17,6,grid,50
289,43,69,1,6,grid,50
290,58,19,10,8,grid,50
291,50,28,12,7,grid,50
292,44,82,3,1,grid,50
293,42,39,3,3,grid,50
294,68,79,38,7,grid,50
295,60,49,9,7,grid,50
296,44,29,3,4,grid,50
297,65,39,9,4,grid,50
298,38,40,2,2,grid,50
299,51,52,10,7,grid,50
300,62,49,15,8,grid,50
301,38,53,3,2,grid,50
302,48,85,6,4,grid,50
303,58,29,19,6,grid,50
304,50,38,11,7,grid,50
305,54,34,14,11,grid,50
306,52,27,16,15,grid,50
307,72,36,114,19,grid,50
308,57,19,11,5,grid,50
309,55,63,10,7,grid,50
310,72,36,86,16,grid,50
311,55,16,13,8,grid,50
312,52,62,18,7,grid,50
313,44,59,3,2,grid,50
314,58,53,13,11,grid,50
315,74,52,123,28,grid,50
316,45,69,8,4,grid,50
317,42,28,4,2,grid,50
318,50,28,18,13,grid,50
319,63,52,14,7,grid,50
320,59,53,12,6,grid,50
321,43,72,3,4,grid,50
322,51,48,17,9,grid,50
323,70,26,80,8,grid,50
324,50,69,14,9,grid,50
325,58,25,10,4,grid,50
326,55,35,15,8,grid,50
327,54,68,14,4,grid,50
328,43,36,3,3,grid,50
329,50,27,8,15,grid,50
330,53,69,10,8,grid,50
331,54,60,17,6,grid,50
332,52,48,10,4,grid,50
333,43,69,5,3,grid,50
334,69,78,47,9,grid,50
335,51,38,12,11,grid,50
336,55,67,15,7,grid,50
337,52,62,17,9,grid,50
338,55,79,19,6,grid,50
339,50,62,15,6,grid,50
340,38,72,3,2,grid,50
341,48,58,5,7,grid,50
342,38,69,3,3,grid,50
343,52,81,5,6,grid,50
344,58,80,18,6,grid,50
345,58,49,12,4,grid,50
346,49,59,3,5,grid,50
347,68,60,39,11,grid,50
348,68,59,35,7,grid,50
349,75,89,48,56,grid,50
350,50,36,15,12,grid,50
351,52,68,17,6,grid,50
352,72,36,87,27,grid,50
353,49,86,9,4,grid,50
354,49,38,6,8,grid,50
355,73,68,128,11,grid,50
356,46,52,5,1,grid,50
357,52,69,17,6,grid,50
358,39,39,2,4,grid,50
359,52,30,21,4,grid,50
360,45,59,7,3,grid,50
361,42,69,4,1,grid,50
362,54,62,15,7,grid,50
363,60,59,16,8,grid,50
364,39,69,4,1,grid,50
365,58,72,5,12,grid,50
366,50,69,17,7,grid,50
367,42,38,4,2,grid,50
368,46,79,5,3,grid,50
369,50,69,14,5,grid,50
370,47,79,5,3,grid,50
371,41,38,4,2,grid,50
372,50,52,23,11,grid,50
373,50,38,16,4,grid,50
374,69,36,44,6,grid,50
375,71,26,96,13,grid,50
376,58,26,16,6,grid,50
377,54,26,15,8,grid,50
378,59,51,17,7,grid,50
379,52,78,18,5,grid,50
380,57,60,18,9,grid,50
381,73,47,113,19,grid,50
382,56,79,18,7,grid,50
383,36,79,1,2,grid,50
384,51,85,5,7,grid,50
385,61,63,13,9,grid,50
386,50,18,22,10,grid,50
387,55,40,18,5,grid,50
388,44,69,7,2,grid,50
389,46,52,3,5,grid,50
390,74,82,29,33,grid,50
391,43,69,5,3,grid,50
392,43,69,4,2,grid,50
393,62,37,19,5,grid,50
394,52,36,9,9,grid,50
395,60,60,11,6,grid,50
396,61,17,14,6,grid,50
397,53,28,13,11,grid,50
398,52,28,18,11,grid,50
399,57,77,8,5,grid,50
400,43,52,2,4,grid,50
401,66,15,23,6,grid,50
402,42,49,4,5,grid,50
403,70,60,47,8,grid,50
404,67,70,22,9,grid,50
405,63,60,19,9,grid,50
406,62,59,10,5,grid,50
407,58,60,12,6,grid,50
408,56,39,19,6,grid,50
409,65,44,12,5,grid,50
410,67,29,25,9,grid,50
411,56,77,11,9,grid,50
412,71,29,86,10,grid,50
413,55,16,9,14,grid,50
414,45,18,4,2,grid,50
415,42,28,3,1,grid,50
416,59,69,13,6,grid,50
417,57,58,9,7,grid,50
418,52,52,8,8,grid,50
419,42,48,2,2,grid,50
420,51,28,14,16,grid,50
421,69,42,48,14,grid,50
422,56,70,10,3,grid,50
423,50,69,25,7,grid,50
424,48,63,5,5,grid,50
425,61,88,4,5,grid,50
426,60,38,11,7,grid,50
427,54,69,15,5,grid,50
428,73,10,122,18,grid,50
429,51,20,10,11,grid,50
430,74,63,118,23,grid,50
431,61,43,26,9,grid,50
432,56,36,19,11,grid,50
433,52,35,15,8,grid,50
434,52,23,19,11,grid,50
435,58,49,11,4,grid,50
436,35,69,1,2,grid,50
437,43,62,5,4,grid,50
438,69,6,57,4,grid,50
439,60,43,21,9,grid,50
440,63,73,7,13,grid,50
441,69,42,49,33,grid,50
442,46,27,9,2,grid,50
443,63,58,17,9,grid,50
444,55,63,18,5,grid,50
445,75,90,34,35,grid,50
446,51,54,16,10,grid,50
447,57,29,19,12,grid,50
448,60,49,14,5,grid,50
449,43,62,7,3,grid,50
450,67,8,31,14,grid,50
451,49,59,4,2,grid,50
452,69,27,52,9,grid,50
453,56,61,11,5,grid,50
454,47,72,7,6,grid,50
455,44,49,3,3,grid,50
456,58,69,17,7,grid,50
457,50,69,11,5,grid,50
458,54,63,13,4,grid,50
459,51,62,15,8,grid,50
460,66,48,15,8,grid,50
461,64,37,8,6,grid,50
462,59,79,18,8,grid,50
463,38,28,1,2,grid,50
464,43,68,5,3,grid,50
465,57,36,14,7,grid,50
466,50,39,16,14,grid,50
467,53,69,18,5,grid,50
468,38,79,2,1,grid,50
469,67,69,28,8,grid,50
470,74,89,39,34,grid,50
471,38,48,1,3,grid,50
472,49,80,5,6,grid,50
473,71,91,15,17,grid,50
474,53,62,22,6,grid,50
475,64,59,11,5,grid,50
476,64,39,10,5,grid,50
477,60,70,17,6,grid,50
478,51,79,21,4,grid,50
479,53,69,13,5,grid,50
480,50,62,8,10,grid,50
481,61,16,8,8,grid,50
482,51,26,11,6,grid,50
483,52,35,9,8,grid,50
484,47,37,4,4,grid,50
485,59,37,12,7,grid,50
486,69,62,55,20,grid,50
487,43,26,2,5,grid,50
488,69,79,40,8,grid,50
489,42,59,1,3,grid,50
490,67,26,23,9,grid,50
491,50,36,12,5,grid,50
492,68,88,38,8,grid,50
493,44,69,5,4,grid,50
494,59,60,7,4,grid,50
495,69,69,49,11,grid,50
496,69,59,57,10,grid,50
497,44,78,6,3,grid,50
498,53,14,11,7,grid,50
499,56,29,16,6,grid,50
500,49,69,7,5,grid,50
501,51,24,7,6,grid,50
502,61,89,11,6,grid,50
503,50,38,19,9,grid,50
504,47,39,4,5,grid,50
505,68,69,45,9,grid,50
506,62,62,14,7,grid,50
507,50,55,18,15,grid,50
508,62,58,26,7,grid,50
509,50,79,10,6,grid,50
510,52,29,9,11,grid,50
511,40,69,2,3,grid,50
512,45,27,2,8,grid,50
513,69,70,53,11,grid,50
514,67,28,36,20,grid,50
515,51,70,17,6,grid,50
516,50,27,14,10,grid,50
517,63,36,19,3,grid,50
518,61,70,16,6,grid,50
519,70,50,65,5,grid,50
520,65,52,13,8,grid,50
521,48,52,6,6,grid,50
522,70,38,65,25,grid,50
523,63,43,17,10,grid,50
524,51,69,7,5,grid,50
525,42,69,5,3,grid,50
526,55,62,7,10,grid,50
527,40,69,3,2,grid,50
528,67,69,28,6,grid,50
529,46,55,7,2,grid,50
530,49,69,6,3,grid,50
531,73,70,121,16,grid,50
532,71,79,99,12,grid,50
533,56,70,15,6,grid,50
534,44,58,7,3,grid,50
535,57,17,15,10,grid,50
536,58,48,12,6,grid,50
537,50,39,14,7,grid,50
538,62,38,15,4,grid,50
539,59,49,17,6,grid,50
540,51,69,21,5,grid,50
541,59,73,8,8,grid,50
542,46,59,3,3,grid,50
543,57,36,12,9,grid,50
544,65,57,12,7,grid,50
545,55,57,10,11,grid,50
546,57,71,11,4,grid,50
547,48,67,6,4,grid,50
548,65,54,12,6,grid,50
549,51,62,12,4,grid,50
550,47,68,6,5,grid,50
551,53,68,15,6,grid,50
552,51,69,16,5,grid,50
553,52,39,19,5,grid,50
554,40,36,2,2,grid,50
555,36,69,1,1,grid,50
556,46,69,7,4,grid,50
557,51,38,13,3,grid,50
558,62,18,18,11,grid,50
559,46,17,4,4,grid,50
560,42,59,5,2,grid,50
561,49,69,10,5,grid,50
562,64,36,12,5,grid,50
563,54,69,23,8,grid,50
564,54,26,16,4,grid,50
565,50,62,10,7,grid,50
566,72,38,84,20,grid,50
567,43,52,3,4,grid,50
568,53,57,12,12,grid,50
569,54,37,16,6,grid,50
570,35,38,1,1,grid,50
571,51,38,11,13,grid,50
572,46,79,6,4,grid,50
573,60,27,12,9,grid,50
574,51,69,17,8,grid,50
575,50,17,15,9,grid,50
576,60,52,13,8,grid,50
577,46,82,7,7,grid,50
578,72,49,97,10,grid,50
579,51,72,4,8,grid,50
580,48,53,10,3,grid,50
581,76,90,54,54,grid,50
582,59,39,14,3,grid,50
583,53,69,14,5,grid,50
584,54,68,15,6,grid,50
585,71,38,78,21,grid,50
586,53,38,13,6,grid,50
587,49,98,8,5,grid,50
588,50,36,14,9,grid,50
589,54,17,6,14,grid,50
590,54,52,15,5,grid,50
591,52,18,9,7,grid,50
592,49,48,7,6,grid,50
593,47,70,7,5,grid,50
594,53,36,15,4,grid,50
595,53,79,16,8,grid,50
596,70,62,67,20,grid,50
597,45,69,6,3,grid,50
598,36,72,1,2,grid,50
599,40,37,3,6,grid,50
600,44,79,8,4,grid,50
601,55,70,15,7,grid,50
602,57,80,9,8,grid,50
603,51,37,16,11,grid,50
604,52,27,12,11,grid,50
605,50,69,17,7,grid,50
606,54,63,16,8,grid,50
607,58,67,9,5,grid,50
608,63,77,13,3,grid,50
609,53,38,17,7,grid,50
610,62,34,16,4,grid,50
611,55,42,14,6,grid,50
612,68,16,32,11,grid,50
613,57,39,8,10,grid,50
614,46,36,10,3,grid,50
615,43,60,5,5,grid,50
616,50,50,11,7,grid,50
617,55,60,11,7,grid,50
618,66,38,11,14,grid,50
619,42,17,6,1,grid,50
620,65,38,12,6,grid,50
621,41,75,3,3,grid,50
622,70,80,71,14,grid,50
623,54,37,11,6,grid,50
624,46,79,4,8,grid,50
625,61,80,10,6,grid,50
626,51,46,21,5,grid,50
627,59,58,19,8,grid,50
628,44,62,2,10,grid,50
629,55,26,15,8,grid,50
630,56,52,16,9,grid,50
631,57,66,6,10,grid,50
632,46,28,8,11,grid,50
633,52,79,11,6,grid,50
634,73,88,111,10,grid,50
635,55,80,9,9,grid,50
636,64,67,17,7,grid,50
637,50,28,12,14,grid,50
