sim,time,trap.id,nmales,ntrees,type,lure
1,167,13,4957,225,ineff2,20
2,68,16,39,6,ineff2,20
3,70,96,12,11,ineff2,20
4,51,46,14,6,ineff2,20
5,75,46,137,30,ineff2,20
6,140,55,2418,122,ineff2,20
7,121,12,1638,123,ineff2,20
8,64,50,8,9,ineff2,20
9,69,25,55,7,ineff2,20
10,174,92,6226,277,ineff2,20
11,45,65,5,4,ineff2,20
12,79,62,260,183,ineff2,20
13,148,55,5358,244,ineff2,20
14,61,24,15,4,ineff2,20
15,72,68,107,11,ineff2,20
16,61,46,16,10,ineff2,20
17,104,48,293,52,ineff2,20
18,137,28,2736,165,ineff2,20
19,129,55,1880,127,ineff2,20
20,49,56,4,2,ineff2,20
21,69,16,56,9,ineff2,20
22,42,80,5,3,ineff2,20
23,134,84,2253,114,ineff2,20
24,152,46,4864,231,ineff2,20
25,162,28,10018,367,ineff2,20
26,80,16,245,12,ineff2,20
27,138,24,1627,93,ineff2,20
28,73,29,19,26,ineff2,20
29,92,58,265,18,ineff2,20
30,56,16,17,7,ineff2,20
31,141,82,1440,73,ineff2,20
32,132,27,3541,139,ineff2,20
33,34,16,1,1,ineff2,20
34,134,10,1732,123,ineff2,20
35,174,12,4374,243,ineff2,20
36,73,33,124,11,ineff2,20
37,149,27,10178,259,ineff2,20
38,139,27,2364,157,ineff2,20
39,73,82,131,11,ineff2,20
40,77,68,195,9,ineff2,20
41,165,92,5663,283,ineff2,20
42,114,23,521,60,ineff2,20
43,157,97,13222,263,ineff2,20
44,81,16,284,13,ineff2,20
45,168,55,5035,282,ineff2,20
46,82,56,311,204,ineff2,20
47,71,54,98,22,ineff2,20
48,49,58,7,4,ineff2,20
49,146,43,3487,158,ineff2,20
50,113,20,639,55,ineff2,20
51,80,68,238,15,ineff2,20
52,61,40,16,5,ineff2,20
53,185,58,17312,525,ineff2,20
54,77,16,186,14,ineff2,20
55,76,68,182,11,ineff2,20
56,139,58,1734,66,ineff2,20
57,75,69,160,17,ineff2,20
58,98,48,345,40,ineff2,20
59,102,28,392,75,ineff2,20
60,154,92,9565,247,ineff2,20
61,151,16,12231,293,ineff2,20
62,172,28,5469,259,ineff2,20
63,84,59,235,12,ineff2,20
64,78,51,270,181,ineff2,20
65,85,93,342,218,ineff2,20
66,153,43,3553,223,ineff2,20
67,68,16,27,8,ineff2,20
68,84,5,254,14,ineff2,20
69,76,46,158,38,ineff2,20
70,100,10,295,48,ineff2,20
71,73,69,120,13,ineff2,20
72,72,16,93,13,ineff2,20
73,72,54,103,26,ineff2,20
74,75,69,141,12,ineff2,20
75,55,2,13,5,ineff2,20
76,71,16,92,10,ineff2,20
77,71,16,79,10,ineff2,20
78,77,58,188,10,ineff2,20
79,72,84,98,10,ineff2,20
80,174,70,8382,355,ineff2,20
81,143,55,2224,125,ineff2,20
82,61,50,17,6,ineff2,20
83,64,16,15,7,ineff2,20
84,89,49,302,40,ineff2,20
85,70,16,71,10,ineff2,20
86,64,13,14,7,ineff2,20
87,147,87,5043,233,ineff2,20
88,73,16,121,15,ineff2,20
89,113,72,374,76,ineff2,20
90,107,10,705,81,ineff2,20
91,79,62,218,36,ineff2,20
92,74,16,142,11,ineff2,20
93,68,21,46,12,ineff2,20
94,73,58,97,13,ineff2,20
95,112,28,510,43,ineff2,20
96,76,62,160,25,ineff2,20
97,87,54,310,49,ineff2,20
98,70,46,68,20,ineff2,20
99,58,41,14,7,ineff2,20
100,73,16,123,16,ineff2,20
101,78,41,210,37,ineff2,20
102,62,54,14,7,ineff2,20
103,62,20,12,8,ineff2,20
104,145,23,7315,261,ineff2,20
105,156,58,3785,234,ineff2,20
106,137,48,2804,160,ineff2,20
107,146,24,5557,160,ineff2,20
108,141,55,1486,83,ineff2,20
109,76,16,179,10,ineff2,20
110,69,16,46,10,ineff2,20
111,156,13,11146,270,ineff2,20
112,144,58,3593,198,ineff2,20
113,117,58,651,65,ineff2,20
114,72,69,104,12,ineff2,20
115,73,16,112,9,ineff2,20
116,75,54,132,21,ineff2,20
117,90,16,277,19,ineff2,20
118,64,84,10,8,ineff2,20
119,196,13,12005,217,ineff2,20
120,77,35,71,58,ineff2,20
121,81,16,227,18,ineff2,20
122,55,65,10,6,ineff2,20
123,177,46,5917,122,ineff2,20
124,69,65,55,12,ineff2,20
125,56,68,15,6,ineff2,20
126,146,2,6331,228,ineff2,20
127,153,72,9517,335,ineff2,20
128,77,24,181,16,ineff2,20
129,75,21,41,47,ineff2,20
130,175,24,6753,343,ineff2,20
131,47,8,5,7,ineff2,20
132,84,13,256,30,ineff2,20
133,79,40,274,181,ineff2,20
134,123,16,1892,79,ineff2,20
135,142,87,2421,118,ineff2,20
136,148,55,2182,168,ineff2,20
137,70,12,58,14,ineff2,20
138,75,54,168,32,ineff2,20
139,73,69,116,13,ineff2,20
140,74,89,38,38,ineff2,20
141,104,82,353,30,ineff2,20
142,114,58,469,93,ineff2,20
143,160,60,4512,245,ineff2,20
144,45,65,5,3,ineff2,20
145,78,58,203,17,ineff2,20
146,185,72,12738,357,ineff2,20
147,42,54,4,3,ineff2,20
148,67,16,25,5,ineff2,20
149,277,68,24751,467,ineff2,20
150,78,16,223,12,ineff2,20
151,45,2,6,6,ineff2,20
152,174,65,14562,298,ineff2,20
153,98,28,326,27,ineff2,20
154,133,99,1976,106,ineff2,20
155,130,48,2293,162,ineff2,20
156,136,13,3146,174,ineff2,20
157,79,68,232,13,ineff2,20
158,50,16,19,4,ineff2,20
159,93,16,272,29,ineff2,20
160,171,24,16981,307,ineff2,20
161,171,61,14566,243,ineff2,20
162,138,2,2558,179,ineff2,20
163,92,29,294,59,ineff2,20
164,73,97,35,28,ineff2,20
165,70,85,14,20,ineff2,20
166,46,57,3,6,ineff2,20
167,72,41,126,19,ineff2,20
168,152,13,11924,202,ineff2,20
169,173,13,4417,140,ineff2,20
170,74,46,34,41,ineff2,20
171,60,32,17,5,ineff2,20
172,76,96,56,55,ineff2,20
173,106,72,414,86,ineff2,20
174,70,24,71,13,ineff2,20
175,72,84,79,18,ineff2,20
176,116,84,897,65,ineff2,20
177,177,72,6971,325,ineff2,20
178,171,55,11773,277,ineff2,20
179,54,59,17,5,ineff2,20
180,141,13,6279,245,ineff2,20
181,115,65,424,64,ineff2,20
182,71,65,90,12,ineff2,20
183,146,68,5540,229,ineff2,20
184,72,46,107,19,ineff2,20
185,78,47,198,36,ineff2,20
186,38,68,4,2,ineff2,20
187,104,28,396,48,ineff2,20
188,60,84,14,6,ineff2,20
189,75,1,156,27,ineff2,20
190,55,16,14,6,ineff2,20
191,109,10,423,62,ineff2,20
192,66,65,18,7,ineff2,20
193,60,46,12,6,ineff2,20
194,138,64,1639,74,ineff2,20
195,90,82,295,45,ineff2,20
196,98,66,265,55,ineff2,20
197,63,91,8,9,ineff2,20
198,145,68,8008,204,ineff2,20
199,74,80,37,42,ineff2,20
200,79,29,209,29,ineff2,20
201,79,91,223,35,ineff2,20
202,78,41,232,167,ineff2,20
203,154,28,11483,228,ineff2,20
204,144,99,6889,185,ineff2,20
205,67,22,22,8,ineff2,20
206,57,62,5,3,ineff2,20
207,72,54,104,24,ineff2,20
208,56,87,19,4,ineff2,20
209,171,48,13743,418,ineff2,20
210,142,65,3094,165,ineff2,20
211,70,58,78,10,ineff2,20
212,71,68,85,8,ineff2,20
213,45,84,2,5,ineff2,20
214,76,16,179,10,ineff2,20
215,72,97,118,10,ineff2,20
216,48,69,7,4,ineff2,20
217,55,88,11,6,ineff2,20
218,80,16,203,19,ineff2,20
219,70,49,80,19,ineff2,20
220,159,88,7354,186,ineff2,20
221,183,13,15742,370,ineff2,20
222,71,68,87,14,ineff2,20
223,59,49,18,7,ineff2,20
224,184,28,16994,488,ineff2,20
225,155,48,7785,172,ineff2,20
226,91,92,249,20,ineff2,20
227,73,16,112,9,ineff2,20
228,55,16,11,6,ineff2,20
229,69,16,54,11,ineff2,20
230,78,16,193,20,ineff2,20
231,166,97,4485,293,ineff2,20
232,72,84,97,13,ineff2,20
233,89,55,291,57,ineff2,20
234,58,69,11,6,ineff2,20
235,72,52,26,27,ineff2,20
236,60,69,18,10,ineff2,20
237,139,29,1600,94,ineff2,20
238,80,58,246,18,ineff2,20
239,75,47,149,27,ineff2,20
240,236,70,15202,302,ineff2,20
241,67,16,32,6,ineff2,20
242,77,56,203,38,ineff2,20
243,75,62,154,23,ineff2,20
244,139,84,1735,88,ineff2,20
245,77,65,205,18,ineff2,20
246,145,58,5350,195,ineff2,20
247,72,16,120,11,ineff2,20
248,155,58,3636,143,ineff2,20
249,50,86,6,6,ineff2,20
250,78,80,263,175,ineff2,20
251,70,46,63,22,ineff2,20
252,68,16,46,9,ineff2,20
253,73,68,105,12,ineff2,20
254,70,16,67,10,ineff2,20
255,75,84,133,10,ineff2,20
256,54,40,11,7,ineff2,20
257,57,59,15,7,ineff2,20
258,118,48,429,43,ineff2,20
259,55,57,10,11,ineff2,20
260,60,88,10,6,ineff2,20
261,71,16,90,9,ineff2,20
262,73,68,105,11,ineff2,20
263,188,13,16823,459,ineff2,20
264,57,65,19,7,ineff2,20
265,72,74,20,21,ineff2,20
266,60,62,4,7,ineff2,20
267,47,46,4,5,ineff2,20
268,74,16,128,11,ineff2,20
269,43,62,2,1,ineff2,20
270,53,16,14,5,ineff2,20
271,137,28,2358,102,ineff2,20
272,136,16,2243,105,ineff2,20
273,70,46,15,18,ineff2,20
274,68,68,37,10,ineff2,20
275,98,69,299,22,ineff2,20
276,74,54,43,40,ineff2,20
277,47,5,7,5,ineff2,20
278,65,29,9,6,ineff2,20
279,61,16,14,6,ineff2,20
280,71,69,94,10,ineff2,20
281,76,46,173,27,ineff2,20
282,72,5,99,12,ineff2,20
283,150,68,9068,236,ineff2,20
284,66,64,12,6,ineff2,20
285,67,58,31,6,ineff2,20
286,63,84,11,6,ineff2,20
287,72,54,102,25,ineff2,20
288,126,69,1727,97,ineff2,20
289,142,10,2188,163,ineff2,20
290,62,16,15,8,ineff2,20
291,74,68,135,12,ineff2,20
292,59,29,20,7,ineff2,20
293,124,72,876,67,ineff2,20
294,78,50,256,169,ineff2,20
295,70,41,67,15,ineff2,20
296,72,29,108,28,ineff2,20
297,48,16,2,4,ineff2,20
298,100,27,333,70,ineff2,20
299,55,96,7,9,ineff2,20
300,123,22,1470,73,ineff2,20
301,66,47,11,11,ineff2,20
302,68,55,38,14,ineff2,20
303,46,40,5,4,ineff2,20
304,96,44,276,29,ineff2,20
305,329,48,28463,662,ineff2,20
306,56,91,14,6,ineff2,20
307,79,16,219,13,ineff2,20
308,71,68,85,9,ineff2,20
309,169,91,6851,129,ineff2,20
310,137,22,1978,145,ineff2,20
311,44,68,2,1,ineff2,20
312,135,55,1980,129,ineff2,20
313,74,5,147,20,ineff2,20
314,255,99,22801,503,ineff2,20
315,149,10,9545,237,ineff2,20
316,183,12,6002,278,ineff2,20
317,82,64,265,38,ineff2,20
318,161,28,7347,282,ineff2,20
319,84,91,261,50,ineff2,20
320,61,53,12,7,ineff2,20
321,74,46,123,20,ineff2,20
322,183,16,10732,273,ineff2,20
323,72,16,100,10,ineff2,20
324,152,86,2848,134,ineff2,20
325,115,23,641,55,ineff2,20
326,59,58,15,8,ineff2,20
327,71,88,85,10,ineff2,20
328,157,43,3516,235,ineff2,20
329,147,92,8936,211,ineff2,20
330,104,53,315,25,ineff2,20
331,139,28,2841,204,ineff2,20
332,68,59,30,5,ineff2,20
333,82,40,268,39,ineff2,20
334,71,56,20,23,ineff2,20
335,131,68,2035,174,ineff2,20
336,147,92,3303,178,ineff2,20
337,77,45,63,52,ineff2,20
338,78,20,179,15,ineff2,20
339,61,69,13,6,ineff2,20
340,76,53,179,16,ineff2,20
341,81,16,225,14,ineff2,20
342,70,16,60,10,ineff2,20
343,83,4,310,208,ineff2,20
344,116,87,738,98,ineff2,20
345,73,68,114,15,ineff2,20
346,68,16,40,11,ineff2,20
347,55,47,15,9,ineff2,20
348,145,13,6201,234,ineff2,20
349,81,16,239,19,ineff2,20
350,49,4,7,7,ineff2,20
351,218,55,11587,278,ineff2,20
352,53,24,19,6,ineff2,20
353,54,96,11,13,ineff2,20
354,75,41,169,30,ineff2,20
355,67,8,38,7,ineff2,20
356,75,91,154,30,ineff2,20
357,140,72,5112,168,ineff2,20
358,67,46,27,10,ineff2,20
359,43,96,4,3,ineff2,20
360,100,22,357,65,ineff2,20
361,70,16,63,8,ineff2,20
362,151,70,3765,195,ineff2,20
363,136,22,1804,131,ineff2,20
364,72,16,92,12,ineff2,20
365,144,13,7029,204,ineff2,20
366,42,68,4,3,ineff2,20
367,215,49,12863,211,ineff2,20
368,172,97,13742,288,ineff2,20
369,50,16,15,7,ineff2,20
370,343,84,31904,790,ineff2,20
371,103,16,311,25,ineff2,20
372,74,54,149,20,ineff2,20
373,61,58,9,4,ineff2,20
374,50,91,22,6,ineff2,20
375,99,58,331,31,ineff2,20
376,148,13,5659,135,ineff2,20
377,69,16,65,9,ineff2,20
378,82,59,256,14,ineff2,20
379,143,59,3373,209,ineff2,20
380,48,46,4,6,ineff2,20
381,76,68,179,10,ineff2,20
382,178,24,4098,232,ineff2,20
383,100,87,299,23,ineff2,20
384,71,58,108,12,ineff2,20
385,74,47,155,27,ineff2,20
386,62,53,16,5,ineff2,20
387,77,46,47,53,ineff2,20
388,48,3,5,6,ineff2,20
389,49,65,9,4,ineff2,20
390,65,10,10,9,ineff2,20
391,150,27,10127,227,ineff2,20
392,49,31,9,2,ineff2,20
393,44,91,3,5,ineff2,20
394,73,84,129,12,ineff2,20
395,76,29,163,37,ineff2,20
396,78,2,203,17,ineff2,20
397,154,28,8801,290,ineff2,20
398,142,81,3028,68,ineff2,20
399,149,99,10928,254,ineff2,20
400,69,84,56,13,ineff2,20
401,120,47,2032,105,ineff2,20
402,75,68,143,13,ineff2,20
403,72,97,107,15,ineff2,20
404,128,59,1782,66,ineff2,20
405,49,16,7,6,ineff2,20
406,68,16,31,10,ineff2,20
407,104,22,435,60,ineff2,20
408,161,13,15103,315,ineff2,20
409,147,13,6899,257,ineff2,20
410,103,43,450,50,ineff2,20
411,74,59,142,12,ineff2,20
412,71,87,85,11,ineff2,20
413,138,28,3465,199,ineff2,20
414,150,84,5417,243,ineff2,20
415,134,43,1453,103,ineff2,20
416,114,9,1025,82,ineff2,20
417,87,91,279,54,ineff2,20
418,145,43,6104,163,ineff2,20
419,81,68,244,27,ineff2,20
420,156,10,4138,191,ineff2,20
421,68,77,12,13,ineff2,20
422,60,91,15,9,ineff2,20
423,78,58,181,19,ineff2,20
424,42,59,5,2,ineff2,20
425,108,72,701,93,ineff2,20
426,78,2,215,11,ineff2,20
427,191,58,13482,324,ineff2,20
428,176,65,13109,317,ineff2,20
429,78,6,243,186,ineff2,20
430,74,16,150,19,ineff2,20
431,117,91,1243,114,ineff2,20
432,222,13,17386,356,ineff2,20
433,144,13,3587,179,ineff2,20
434,49,59,7,2,ineff2,20
435,49,47,5,4,ineff2,20
436,61,64,10,10,ineff2,20
437,71,16,80,10,ineff2,20
438,78,16,162,16,ineff2,20
439,72,16,110,12,ineff2,20
440,82,18,305,209,ineff2,20
441,149,23,8226,195,ineff2,20
442,74,30,33,36,ineff2,20
443,89,43,275,45,ineff2,20
444,42,46,5,4,ineff2,20
445,52,47,15,5,ineff2,20
