sim,time,trap.id,nmales,ntrees,type,lure
1,50,72,5,11,ineff,50
2,48,70,11,4,ineff,50
3,66,52,16,8,ineff,50
4,47,18,5,5,ineff,50
5,70,72,14,12,ineff,50
6,69,79,56,10,ineff,50
7,68,60,46,10,ineff,50
8,50,52,17,13,ineff,50
9,50,60,13,6,ineff,50
10,61,70,13,8,ineff,50
11,48,60,7,7,ineff,50
12,53,9,16,12,ineff,50
13,77,79,189,14,ineff,50
14,51,29,22,11,ineff,50
15,73,70,120,13,ineff,50
16,56,49,18,6,ineff,50
17,77,7,179,32,ineff,50
18,69,39,67,11,ineff,50
19,51,8,16,12,ineff,50
20,57,5,8,5,ineff,50
21,67,49,25,6,ineff,50
22,42,27,5,4,ineff,50
23,56,70,10,5,ineff,50
24,39,19,3,5,ineff,50
25,53,64,9,11,ineff,50
26,63,44,12,10,ineff,50
27,58,69,12,6,ineff,50
28,58,82,5,13,ineff,50
29,39,29,3,5,ineff,50
30,52,52,13,8,ineff,50
31,56,17,11,8,ineff,50
32,51,24,11,11,ineff,50
33,37,51,2,1,ineff,50
34,53,16,13,8,ineff,50
35,79,9,203,25,ineff,50
36,72,9,89,17,ineff,50
37,34,17,1,1,ineff,50
38,58,51,16,10,ineff,50
39,55,16,20,3,ineff,50
40,51,30,11,13,ineff,50
41,74,50,144,14,ineff,50
42,63,61,9,8,ineff,50
43,72,81,27,29,ineff,50
44,50,34,13,12,ineff,50
45,50,52,13,3,ineff,50
46,47,16,7,2,ineff,50
47,53,70,10,8,ineff,50
48,51,86,5,6,ineff,50
49,47,70,9,1,ineff,50
50,46,23,3,3,ineff,50
51,51,17,13,6,ineff,50
52,52,61,14,8,ineff,50
53,45,72,4,7,ineff,50
54,45,39,2,4,ineff,50
55,37,3,1,1,ineff,50
56,40,70,5,4,ineff,50
57,36,60,1,1,ineff,50
58,39,79,4,2,ineff,50
59,48,9,5,2,ineff,50
60,52,60,15,4,ineff,50
61,52,70,12,6,ineff,50
62,51,15,11,8,ineff,50
63,42,29,2,1,ineff,50
64,56,20,10,7,ineff,50
65,55,61,8,14,ineff,50
66,70,70,54,13,ineff,50
67,57,19,15,11,ineff,50
68,39,24,4,3,ineff,50
69,67,57,27,9,ineff,50
70,38,40,3,3,ineff,50
71,55,17,13,8,ineff,50
72,45,18,1,4,ineff,50
73,56,20,11,6,ineff,50
74,66,60,18,6,ineff,50
75,48,60,2,5,ineff,50
76,70,80,73,11,ineff,50
77,78,71,247,179,ineff,50
78,46,28,5,3,ineff,50
79,52,30,15,5,ineff,50
80,42,70,2,2,ineff,50
81,39,70,1,2,ineff,50
82,78,81,215,184,ineff,50
83,54,27,14,7,ineff,50
84,68,50,49,9,ineff,50
85,50,20,15,13,ineff,50
86,42,71,3,2,ineff,50
87,39,60,3,1,ineff,50
88,51,90,18,13,ineff,50
89,48,10,9,5,ineff,50
90,66,98,14,7,ineff,50
91,41,18,6,4,ineff,50
92,47,27,5,3,ineff,50
93,56,60,17,6,ineff,50
94,69,8,68,34,ineff,50
95,41,7,4,3,ineff,50
96,51,71,4,6,ineff,50
97,62,9,15,14,ineff,50
98,54,9,11,9,ineff,50
99,50,56,9,5,ineff,50
100,71,60,87,12,ineff,50
101,51,19,11,11,ineff,50
102,40,19,4,2,ineff,50
103,68,60,44,12,ineff,50
104,50,51,15,7,ineff,50
105,57,60,18,6,ineff,50
106,53,11,21,10,ineff,50
107,61,40,16,6,ineff,50
108,51,26,19,5,ineff,50
109,51,40,14,6,ineff,50
110,50,17,15,6,ineff,50
111,54,60,15,5,ineff,50
112,45,60,4,4,ineff,50
113,42,71,5,6,ineff,50
114,50,60,17,5,ineff,50
115,44,80,5,4,ineff,50
