sim,time,trap.id,nmales,ntrees,type,lure
1,65,91,9,8,rand2,50
2,58,72,5,10,rand2,50
3,63,97,8,10,rand2,50
4,36,47,2,1,rand2,50
5,59,100,11,7,rand2,50
6,63,79,9,16,rand2,50
7,54,97,21,13,rand2,50
8,61,51,10,10,rand2,50
9,54,93,15,5,rand2,50
10,50,32,14,5,rand2,50
11,58,77,19,9,rand2,50
12,66,7,18,7,rand2,50
13,64,36,14,10,rand2,50
14,48,44,5,4,rand2,50
15,44,7,7,2,rand2,50
16,47,83,4,4,rand2,50
17,53,93,22,7,rand2,50
18,54,93,11,5,rand2,50
19,58,12,17,14,rand2,50
20,64,79,12,14,rand2,50
21,48,32,10,2,rand2,50
22,70,50,67,20,rand2,50
23,55,8,9,4,rand2,50
24,73,22,125,34,rand2,50
25,46,93,4,3,rand2,50
26,60,62,8,8,rand2,50
27,53,52,16,8,rand2,50
28,53,77,16,7,rand2,50
29,65,74,14,5,rand2,50
30,63,58,11,11,rand2,50
31,38,46,1,1,rand2,50
32,57,91,11,5,rand2,50
33,50,14,6,7,rand2,50
34,63,54,16,8,rand2,50
35,49,32,4,9,rand2,50
36,66,31,12,15,rand2,50
37,56,88,11,6,rand2,50
38,70,17,71,6,rand2,50
39,39,39,2,2,rand2,50
40,52,7,12,7,rand2,50
41,69,22,57,10,rand2,50
42,72,6,21,22,rand2,50
43,38,96,2,1,rand2,50
44,54,7,19,5,rand2,50
45,76,80,47,41,rand2,50
46,72,99,97,10,rand2,50
47,51,22,13,3,rand2,50
48,37,76,2,1,rand2,50
49,62,79,10,14,rand2,50
50,60,66,10,8,rand2,50
51,46,93,9,6,rand2,50
52,57,100,10,7,rand2,50
53,45,81,3,6,rand2,50
54,70,12,72,16,rand2,50
55,49,93,3,6,rand2,50
56,70,27,20,18,rand2,50
57,50,30,6,4,rand2,50
58,57,22,19,15,rand2,50
59,46,79,7,8,rand2,50
60,40,100,5,2,rand2,50
61,53,65,20,8,rand2,50
62,44,93,4,1,rand2,50
63,41,7,3,2,rand2,50
64,63,88,8,4,rand2,50
65,56,58,17,10,rand2,50
66,59,72,10,5,rand2,50
67,45,32,6,3,rand2,50
68,39,88,3,2,rand2,50
69,71,17,83,10,rand2,50
70,55,22,8,9,rand2,50
71,60,93,13,8,rand2,50
72,79,74,208,36,rand2,50
73,56,88,13,5,rand2,50
74,50,100,14,11,rand2,50
75,69,77,64,15,rand2,50
76,48,93,7,4,rand2,50
77,66,89,21,8,rand2,50
78,42,99,5,3,rand2,50
79,52,74,16,4,rand2,50
80,78,32,249,174,rand2,50
81,71,79,94,10,rand2,50
82,51,66,6,6,rand2,50
83,54,58,17,10,rand2,50
84,68,88,34,8,rand2,50
85,70,42,68,15,rand2,50
86,48,99,10,6,rand2,50
87,50,93,17,6,rand2,50
88,71,54,91,31,rand2,50
89,46,88,4,3,rand2,50
90,54,93,13,5,rand2,50
91,61,81,10,6,rand2,50
92,50,17,9,6,rand2,50
93,65,65,16,11,rand2,50
94,52,79,14,13,rand2,50
95,46,17,4,4,rand2,50
96,56,81,11,6,rand2,50
97,50,93,19,7,rand2,50
98,68,74,27,9,rand2,50
99,72,12,111,16,rand2,50
100,48,99,2,5,rand2,50
