sim,time,trap.id,nmales,ntrees,type,lure
1,134,20,1266,31,redgrid,5
2,167,14,2975,66,redgrid,5
3,148,17,6711,204,redgrid,5
4,160,20,4511,734,redgrid,5
5,115,11,674,80,redgrid,5
6,139,11,3454,187,redgrid,5
7,136,15,1910,89,redgrid,5
8,156,10,4692,119,redgrid,5
9,103,9,345,29,redgrid,5
10,173,15,2909,89,redgrid,5
11,158,8,5288,252,redgrid,5
12,119,8,741,44,redgrid,5
13,120,16,1692,110,redgrid,5
14,123,20,1083,30,redgrid,5
15,83,16,235,36,redgrid,5
16,144,10,2604,112,redgrid,5
17,156,14,8473,293,redgrid,5
18,131,4,3849,207,redgrid,5
19,211,20,3619,85,redgrid,5
20,128,17,1099,93,redgrid,5
21,137,4,4611,242,redgrid,5
22,137,15,1875,38,redgrid,5
23,109,22,2404,430,redgrid,5
24,149,3,4799,174,redgrid,5
25,111,5,758,100,redgrid,5
26,129,8,2933,131,redgrid,5
27,156,20,2966,104,redgrid,5
28,95,4,250,28,redgrid,5
29,147,15,3351,448,redgrid,5
30,132,8,3421,132,redgrid,5
31,142,10,2388,77,redgrid,5
32,98,20,267,17,redgrid,5
33,123,6,1510,102,redgrid,5
34,156,13,3563,125,redgrid,5
35,123,16,4499,629,redgrid,5
36,137,17,2548,128,redgrid,5
37,153,16,7503,172,redgrid,5
38,78,8,188,13,redgrid,5
39,132,9,2347,125,redgrid,5
40,139,8,3131,155,redgrid,5
41,145,4,7972,184,redgrid,5
42,107,8,597,88,redgrid,5
43,92,15,246,21,redgrid,5
44,95,16,300,39,redgrid,5
45,108,9,255,35,redgrid,5
46,75,10,145,23,redgrid,5
47,117,21,3475,502,redgrid,5
48,137,11,2636,148,redgrid,5
49,130,4,1691,139,redgrid,5
50,127,9,987,104,redgrid,5
51,168,15,2820,62,redgrid,5
52,164,4,6330,239,redgrid,5
53,116,9,1038,86,redgrid,5
54,128,10,2193,96,redgrid,5
55,132,9,2144,168,redgrid,5
56,151,20,2952,54,redgrid,5
57,104,11,974,325,redgrid,5
58,151,8,6689,106,redgrid,5
59,116,20,1018,35,redgrid,5
60,118,16,4711,569,redgrid,5
61,115,20,570,22,redgrid,5
62,174,24,3971,282,redgrid,5
63,137,21,7026,761,redgrid,5
64,135,25,6716,957,redgrid,5
65,135,15,1870,78,redgrid,5
66,132,4,4418,172,redgrid,5
67,93,16,429,243,redgrid,5
68,127,10,1002,105,redgrid,5
69,149,5,5655,252,redgrid,5
70,138,20,1569,39,redgrid,5
71,118,9,1267,130,redgrid,5
72,132,9,2087,184,redgrid,5
73,142,20,2247,350,redgrid,5
74,128,9,1370,104,redgrid,5
75,112,16,3058,479,redgrid,5
76,113,19,1039,35,redgrid,5
77,131,20,1847,45,redgrid,5
78,159,8,4368,164,redgrid,5
79,125,9,1346,126,redgrid,5
80,107,14,415,21,redgrid,5
81,177,13,7571,336,redgrid,5
82,120,20,1117,43,redgrid,5
83,126,20,1264,33,redgrid,5
84,79,24,217,15,redgrid,5
85,145,9,8872,260,redgrid,5
86,99,20,338,18,redgrid,5
87,155,18,20012,1053,redgrid,5
88,115,9,557,65,redgrid,5
89,157,15,2094,55,redgrid,5
90,126,20,995,33,redgrid,5
91,121,16,1119,104,redgrid,5
92,78,4,218,10,redgrid,5
93,99,4,366,37,redgrid,5
94,79,8,231,11,redgrid,5
95,149,10,3996,204,redgrid,5
96,112,9,713,122,redgrid,5
97,154,9,6096,218,redgrid,5
98,128,9,2802,144,redgrid,5
99,196,15,4353,96,redgrid,5
100,126,12,5160,612,redgrid,5
101,120,14,912,44,redgrid,5
102,115,10,696,72,redgrid,5
103,162,9,4672,153,redgrid,5
104,139,10,1898,83,redgrid,5
105,93,11,295,39,redgrid,5
106,125,15,1667,41,redgrid,5
107,145,15,2280,50,redgrid,5
108,169,19,2337,76,redgrid,5
109,116,16,574,76,redgrid,5
110,134,13,3648,171,redgrid,5
111,128,9,1953,160,redgrid,5
112,161,20,3841,166,redgrid,5
113,164,15,2774,62,redgrid,5
114,122,20,1294,36,redgrid,5
115,111,24,406,26,redgrid,5
116,133,19,2104,41,redgrid,5
117,85,9,255,14,redgrid,5
118,147,11,6366,186,redgrid,5
119,99,8,347,26,redgrid,5
120,112,16,3053,535,redgrid,5
121,151,19,1843,56,redgrid,5
122,134,17,7906,871,redgrid,5
123,148,19,3218,62,redgrid,5
124,125,13,2385,99,redgrid,5
125,132,20,1650,45,redgrid,5
126,170,15,2505,68,redgrid,5
127,131,6,507,13,redgrid,5
128,171,10,3811,201,redgrid,5
129,142,14,2054,41,redgrid,5
130,136,19,1553,111,redgrid,5
131,81,15,245,18,redgrid,5
132,147,8,2052,158,redgrid,5
133,166,20,8548,856,redgrid,5
134,123,8,1164,102,redgrid,5
135,138,10,2407,103,redgrid,5
136,129,11,2062,122,redgrid,5
137,143,11,4529,156,redgrid,5
138,140,8,1687,139,redgrid,5
139,190,19,3942,89,redgrid,5
140,146,20,2403,52,redgrid,5
141,160,11,9294,203,redgrid,5
142,129,9,1365,120,redgrid,5
143,121,8,768,78,redgrid,5
144,130,15,1606,275,redgrid,5
145,127,9,3489,157,redgrid,5
146,132,14,2036,43,redgrid,5
147,103,16,388,67,redgrid,5
148,129,10,1279,52,redgrid,5
149,121,12,1601,107,redgrid,5
150,84,14,248,20,redgrid,5
151,133,17,1460,110,redgrid,5
152,133,16,2686,121,redgrid,5
153,149,19,1810,39,redgrid,5
154,119,22,3472,674,redgrid,5
155,108,22,2091,385,redgrid,5
156,120,11,1336,126,redgrid,5
157,128,8,2027,150,redgrid,5
158,114,8,768,54,redgrid,5
159,144,20,1919,43,redgrid,5
160,212,15,9511,242,redgrid,5
161,111,9,473,93,redgrid,5
162,103,2,351,29,redgrid,5
163,202,15,5418,127,redgrid,5
164,112,9,928,101,redgrid,5
165,149,20,3152,93,redgrid,5
166,115,17,3064,483,redgrid,5
167,139,11,5880,209,redgrid,5
168,121,16,3917,594,redgrid,5
169,195,20,1887,55,redgrid,5
170,93,8,306,31,redgrid,5
171,125,9,1644,112,redgrid,5
172,95,20,304,17,redgrid,5
173,123,17,1035,96,redgrid,5
174,124,8,1377,75,redgrid,5
175,134,11,2976,137,redgrid,5
176,94,21,423,243,redgrid,5
177,130,4,2867,160,redgrid,5
178,129,9,2468,151,redgrid,5
179,122,20,620,35,redgrid,5
