"","time","trap.id","nmales","ntrees"
"1",80,16,237,10
"2",80,28,236,11
"3",110,16,428,27
"4",165,58,7206,192
"5",86,1,409,239
"6",211,9,35162,645
"7",114,24,823,32
"8",237,23,29711,646
"9",87,40,283,42
"10",208,22,31916,571
"11",85,21,278,28
"12",210,28,27005,500
"13",92,55,303,62
"14",134,58,1633,42
"15",84,20,263,14
"16",212,13,32705,605
"17",174,3,9917,272
"18",92,36,408,265
"19",155,12,4930,272
"20",60,27,19,4
"21",89,16,271,15
"22",129,54,2331,115
"23",100,48,337,19
"24",110,22,458,40
"25",70,69,70,10
"26",187,28,16605,314
"27",208,13,30309,543
"28",120,16,837,25
"29",363,43,31697,751
"30",273,10,52210,959
"31",204,13,26246,334
"32",88,47,247,50
"33",104,33,303,13
"34",121,2,864,40
"35",147,58,6439,244
"36",210,69,24865,494
"37",103,65,293,19
"38",118,16,734,31
"39",381,84,42807,1243
"40",237,28,32685,685
"41",84,87,295,19
"42",127,47,3379,162
"43",82,20,251,14
"44",85,25,270,21
"45",96,20,293,29
"46",78,50,237,190
"47",151,99,4284,218
"48",265,72,47667,837
"49",156,58,6769,212
"50",124,56,1089,108
"51",227,20,28353,524
"52",158,13,9126,271
"53",209,84,25153,595
"54",77,62,53,47
"55",74,84,120,20
"56",78,20,203,17
"57",179,92,7042,211
"58",223,16,22396,436
"59",198,48,20274,481
"60",171,13,18101,441
"61",129,88,1378,44
"62",83,87,269,19
"63",79,2,220,19
"64",82,41,286,200
"65",210,13,43813,756
"66",220,53,42560,697
"67",118,47,905,98
"68",121,24,942,40
"69",81,53,253,16
"70",215,72,38518,612
"71",94,13,265,16
"72",228,87,18998,427
"73",142,16,6988,197
"74",132,59,1120,33
"75",84,73,355,229
"76",136,35,2046,110
"77",73,5,127,11
"78",231,35,8518,219
"79",122,62,1605,107
"80",220,13,26011,567
"81",103,84,340,16
"82",164,55,8073,185
"83",126,91,1217,98
"84",94,97,272,18
"85",125,68,1245,40
"86",113,58,466,29
"87",214,72,31394,560
"88",130,63,1525,111
