sim,time,trap.id,nmales,ntrees,type,lure
1,54,69,8,7,eff,50
2,73,23,116,30,eff,50
3,50,80,8,10,eff,50
4,74,43,113,16,eff,50
5,67,74,22,7,eff,50
6,51,61,9,7,eff,50
7,53,92,16,11,eff,50
8,53,79,19,5,eff,50
9,79,75,250,190,eff,50
10,41,92,4,4,eff,50
11,47,61,4,4,eff,50
12,40,8,3,4,eff,50
13,54,92,16,7,eff,50
14,78,22,242,185,eff,50
15,54,6,9,10,eff,50
16,50,24,16,9,eff,50
17,40,4,3,4,eff,50
18,55,97,10,5,eff,50
19,70,43,61,10,eff,50
20,78,22,268,190,eff,50
21,37,43,2,3,eff,50
22,42,75,2,6,eff,50
23,54,84,9,10,eff,50
24,48,57,5,2,eff,50
25,43,22,5,7,eff,50
26,42,19,2,3,eff,50
27,47,92,4,5,eff,50
28,49,33,5,3,eff,50
29,70,80,66,19,eff,50
30,70,43,79,9,eff,50
31,68,13,38,14,eff,50
32,48,69,9,6,eff,50
33,79,97,239,165,eff,50
34,63,100,16,5,eff,50
35,35,69,1,2,eff,50
36,66,17,13,9,eff,50
37,70,43,62,15,eff,50
38,73,61,109,11,eff,50
39,51,19,8,5,eff,50
40,76,43,164,13,eff,50
41,73,69,122,51,eff,50
42,42,44,7,2,eff,50
43,39,41,1,1,eff,50
44,59,92,15,13,eff,50
45,51,82,10,4,eff,50
46,63,86,14,4,eff,50
47,50,41,11,5,eff,50
48,36,13,1,1,eff,50
49,51,6,19,9,eff,50
50,42,75,5,3,eff,50
51,52,92,13,11,eff,50
52,63,82,15,6,eff,50
53,54,100,17,7,eff,50
54,54,43,15,3,eff,50
55,54,16,11,12,eff,50
56,47,70,8,3,eff,50
57,71,43,100,10,eff,50
58,63,70,15,12,eff,50
59,55,43,11,7,eff,50
60,43,7,7,3,eff,50
61,60,19,14,11,eff,50
62,49,98,13,3,eff,50
63,68,48,37,18,eff,50
64,71,80,88,14,eff,50
65,43,43,5,4,eff,50
66,62,89,8,7,eff,50
67,58,21,13,7,eff,50
68,53,17,11,13,eff,50
69,48,62,5,3,eff,50
70,53,89,20,11,eff,50
71,75,74,147,11,eff,50
72,51,21,19,8,eff,50
73,40,92,2,3,eff,50
74,51,72,11,8,eff,50
75,66,98,19,9,eff,50
76,55,55,22,6,eff,50
77,73,61,122,16,eff,50
78,62,26,8,3,eff,50
79,50,74,13,8,eff,50
80,37,43,2,2,eff,50
81,53,24,15,7,eff,50
82,46,84,2,2,eff,50
83,73,8,24,33,eff,50
84,57,43,15,6,eff,50
85,66,18,22,6,eff,50
86,46,21,4,3,eff,50
87,53,46,11,7,eff,50
88,45,14,3,6,eff,50
89,55,57,17,15,eff,50
90,53,62,14,5,eff,50
91,69,79,44,10,eff,50
92,53,21,13,9,eff,50
93,58,34,13,16,eff,50
94,58,87,13,4,eff,50
95,36,2,1,2,eff,50
96,58,69,16,6,eff,50
97,54,98,12,15,eff,50
98,77,14,47,64,eff,50
99,66,74,12,6,eff,50
100,43,74,5,4,eff,50
101,53,92,17,8,eff,50
102,53,61,12,3,eff,50
103,52,19,12,7,eff,50
104,60,80,9,8,eff,50
105,71,36,84,14,eff,50
106,60,70,12,9,eff,50
107,75,61,129,13,eff,50
108,52,87,15,8,eff,50
109,50,6,17,6,eff,50
110,68,98,44,11,eff,50
111,63,1,15,4,eff,50
112,65,46,9,5,eff,50
113,58,62,16,5,eff,50
114,60,22,7,8,eff,50
115,56,46,8,4,eff,50
116,43,24,5,3,eff,50
117,56,87,17,6,eff,50
118,62,46,17,4,eff,50
119,50,43,17,7,eff,50
120,52,61,12,5,eff,50
121,51,92,18,6,eff,50
122,55,93,14,14,eff,50
123,42,41,5,3,eff,50
124,58,2,13,8,eff,50
125,51,84,11,4,eff,50
126,40,96,3,3,eff,50
127,70,100,65,11,eff,50
128,56,82,14,14,eff,50
129,45,100,5,5,eff,50
130,58,98,14,10,eff,50
131,41,43,5,5,eff,50
132,79,61,194,12,eff,50
133,53,61,3,6,eff,50
134,61,87,8,5,eff,50
135,44,24,5,2,eff,50
136,51,41,14,7,eff,50
137,55,24,13,9,eff,50
138,44,4,3,5,eff,50
139,41,61,8,3,eff,50
140,56,22,9,8,eff,50
141,44,46,6,2,eff,50
142,48,24,3,3,eff,50
143,60,92,10,10,eff,50
144,46,8,7,4,eff,50
145,59,87,16,7,eff,50
146,56,87,18,8,eff,50
147,51,10,15,9,eff,50
148,67,21,28,13,eff,50
149,80,43,233,17,eff,50
150,57,61,14,6,eff,50
151,44,75,2,4,eff,50
152,55,100,18,9,eff,50
153,69,13,49,13,eff,50
154,72,43,108,10,eff,50
155,56,7,11,9,eff,50
156,45,21,3,2,eff,50
157,50,24,16,6,eff,50
158,50,43,18,6,eff,50
159,51,43,17,5,eff,50
160,42,41,4,2,eff,50
161,60,24,16,4,eff,50
162,49,43,6,3,eff,50
163,59,61,16,8,eff,50
164,51,24,9,3,eff,50
165,50,48,17,13,eff,50
166,49,65,13,6,eff,50
167,55,21,21,8,eff,50
168,68,61,44,9,eff,50
169,71,43,89,13,eff,50
170,50,43,16,6,eff,50
171,44,30,6,6,eff,50
172,36,98,2,1,eff,50
173,74,62,117,12,eff,50
174,73,13,119,22,eff,50
175,52,22,9,6,eff,50
176,71,98,83,14,eff,50
177,55,4,13,7,eff,50
178,72,43,97,12,eff,50
179,51,36,17,5,eff,50
180,67,36,19,10,eff,50
181,75,36,48,40,eff,50
182,44,41,5,3,eff,50
